root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv
ES,GLOBEX,B0,1day,5,1.1098965354004973,0.998649349896021,0.5108651886093445,2.0238404313816707,1953,4.998463901689708,0.4903577561002349,0.6782993832966846,False
ES,GLOBEX,B0,1day,6,0.6314070781132951,0.9987998906745957,0.5039207216319923,2.0517307173727755,1953,5.972350230414746,0.39493406684822646,0.7235988306750146,False
ES,GLOBEX,B0,1day,10,0.6993124018806092,0.894112275420412,0.6050160767044198,1.708896116157472,1953,9.96979006656426,0.22132295573711533,0.8236797232927184,False
ES,GLOBEX,B0,1day,12,0.7248248735775292,0.9040999403298597,0.6088120305632273,1.698241118422904,1953,11.943164362519202,0.18132295573711532,0.8507915613798432,False
ES,GLOBEX,B0,1day,23,0.7858723576248321,0.9324284248173593,0.6821180916662294,1.5157340588452268,1953,22.8868407578085,0.09084666127454626,0.9192299145257353,False
ES,GLOBEX,B0,1day,46,0.823685895055302,0.9600078398764375,0.7269595214786883,1.4222382308026826,1953,45.77009728622632,0.044437133536578646,0.95879142470763,False
ES,GLOBEX,B0,1day,138,0.8581590744915197,0.985179783237264,0.7886623921512714,1.310966053386634,1953,136.63184843830004,0.014598280898442317,0.9860770902779884,False
ES,GLOBEX,B0,1day,276,0.8611896398864498,0.9919538681565023,0.8272250642225776,1.2498528736731134,1953,272.57654889912953,0.007272695217222512,0.9930149647327526,True
ES,GLOBEX,B0,1day,345,0.8617969663801521,0.9933324992034606,0.8478443339452354,1.21945690063407,1953,341.10240655401947,0.005813937111601127,0.9944081895123145,False
ES,GLOBEX,B0,1day,1379,0.8460494955211045,0.9980149611159255,0.9932567898516397,1.0409288255129339,1953,1354.31592421915,0.001451378555092054,0.9985981908223889,False
ES,GLOBEX,B1,1day,5,1.1098965354004973,0.998649349896021,0.5108651886093445,2.0238404313816707,1953,4.998463901689708,0.4903577561002349,0.6782993832966846,False
