root,geom,btag,horizon,range,n_grid,grid,c,A,b,rmse,M_5min,var_log_rv_at_M5,lam_intercept,lam_theory,valid,note
ES,GLOBEX,B0,1day,restricted_S05,5,23;46;138;345;1379,-1112.6321668332578,1114.4989513506753,-0.00010155035552409193,0.00894583474417717,276,1.2498528736731134,-890.2105121888576,1.0000065365203092,True,
ES,GLOBEX,B0,1day,extended,10,5;6;10;12;23;46;138;276;345;1379,1.0339096236930143,2.0584522509024437,-0.44267230886995196,0.04989400116717227,276,1.2498528736731134,0.8272250642225776,0.9930149647327526,True,
ES,GLOBEX,B1,1day,restricted_S05,5,23;46;138;345;1379,-1112.6321668332578,1114.4989513506753,-0.00010155035552409193,0.00894583474417717,276,1.2498528736731134,-890.2105121888576,1.0000065365203092,True,
ES,GLOBEX,B1,1day,extended,10,5;6;10;12;23;46;138;276;345;1379,1.0339096236930143,2.0584522509024437,-0.44267230886995196,0.04989400116717227,276,1.2498528736731134,0.8272250642225776,0.9930149647327526,True,
NQ,GLOBEX,B0,1day,restricted_S05,5,23;46;138;345;1379,0.9810541007973034,1.1453517174766168,-0.34557575872672397,0.0008278855117473501,276,1.1546778485307938,0.8496344690820835,0.9926414064188587,True,
NQ,GLOBEX,B0,1day,extended,10,5;6;10;12;23;46;138;276;345;1379,1.0853359165419991,2.586044239474271,-0.6885818703023351,0.03647513162287847,276,1.1546778485307938,0.9399469453085768,0.9933437324775314,True,
NQ,GLOBEX,B1,1day,restricted_S05,5,23;46;138;345;1379,0.9810541007973034,1.1453517174766168,-0.34557575872672397,0.0008278855117473501,276,1.1546778485307938,0.8496344690820835,0.9926414064188587,True,
NQ,GLOBEX,B1,1day,extended,10,5;6;10;12;23;46;138;276;345;1379,1.0853359165419991,2.586044239474271,-0.6885818703023351,0.03647513162287847,276,1.1546778485307938,0.9399469453085768,0.9933437324775314,True,
ES,RTH,B0,1day,restricted_S05,5,13;26;78;195;389,0.4461843323719618,1.5501798440252499,-0.14453993907213566,0.018131300668533853,78,1.2871686279157712,0.3466401547514712,0.9449916624649066,True,
ES,RTH,B0,1day,extended,8,5;6;10;13;26;78;195;389,1.0809384805098678,2.3278820007632417,-0.6274444402914557,0.029115212345218845,78,1.2871686279157712,0.8397800078923314,0.9765359952651714,True,
ES,RTH,B0,1h,restricted_S05,1,60,,,,,12,1.7888437170876814,,,False,"single grid point, fit undefined"
ES,RTH,B0,1h,extended,9,4;5;6;10;12;15;20;30;60,1.0519367964516115,2.326387548297944,-0.4658063390118118,0.015092670186823661,12,1.7888437170876814,0.588054052124918,0.8529726155294435,True,
ES,RTH,B0,30min,restricted_S05,1,30,,,,,6,2.059807974863609,,,False,"single grid point, fit undefined"
ES,RTH,B0,30min,extended,5,5;6;10;15;30,0.8153215093016217,2.5881134806179196,-0.4111082142208998,0.004457446926741688,6,2.059807974863609,0.3958240376050629,0.6736771351183367,True,
ES,RTH,B1,1day,restricted_S05,5,13;26;78;195;389,0.4461843323719618,1.5501798440252499,-0.14453993907213566,0.018131300668533853,78,1.2871686279157712,0.3466401547514712,0.9449916624649066,True,
ES,RTH,B1,1day,extended,8,5;6;10;13;26;78;195;389,1.0809384805098678,2.3278820007632417,-0.6274444402914557,0.029115212345218845,78,1.2871686279157712,0.8397800078923314,0.9765359952651714,True,
ES,RTH,B1,1h,restricted_S05,1,60,,,,,12,1.7888437170876814,,,False,"single grid point, fit undefined"
ES,RTH,B1,1h,extended,9,4;5;6;10;12;15;20;30;60,1.0519367964516115,2.326387548297944,-0.4658063390118118,0.015092670186823661,12,1.7888437170876814,0.588054052124918,0.8529726155294435,True,
ES,RTH,B1,30min,restricted_S05,1,30,,,,,6,2.059807974863609,,,False,"single grid point, fit undefined"
ES,RTH,B1,30min,extended,5,5;6;10;15;30,0.8153215093016217,2.5881134806179196,-0.4111082142208998,0.004457446926741688,6,2.059807974863609,0.3958240376050629,0.6736771351183367,True,
NQ,RTH,B0,1day,restricted_S05,5,13;26;78;195;389,1.0185465738505763,1.552839151165014,-0.6258742802787031,0.01098151708483723,78,1.1347471175685595,0.8975978507290965,0.9751344278478182,True,
NQ,RTH,B0,1day,extended,8,5;6;10;13;26;78;195;389,1.0567722612196038,3.5897308405926833,-0.9743997456786048,0.0162496697379852,78,1.1347471175685595,0.9312843759268288,0.9760122926626974,True,
NQ,RTH,B0,1h,restricted_S05,1,60,,,,,12,1.758752058556736,,,False,"single grid point, fit undefined"
NQ,RTH,B0,1h,extended,9,4;5;6;10;12;15;20;30;60,1.4248965273456762,2.440780214875596,-0.8032152189778061,0.011876103992107825,12,1.758752058556736,0.8101747602302579,0.887111968415982,True,
NQ,RTH,B0,30min,restricted_S05,1,30,,,,,6,2.022715624096093,,,False,"single grid point, fit undefined"
NQ,RTH,B0,30min,extended,5,5;6;10;15;30,1.3684356848201322,2.329910031201251,-0.7009504764461806,0.005302468130272782,6,2.022715624096093,0.6765338975574761,0.7760344553519921,True,
NQ,RTH,B1,1day,restricted_S05,5,13;26;78;195;389,1.0185465738505763,1.552839151165014,-0.6258742802787031,0.01098151708483723,78,1.1347471175685595,0.8975978507290965,0.9751344278478182,True,
NQ,RTH,B1,1day,extended,8,5;6;10;13;26;78;195;389,1.0567722612196038,3.5897308405926833,-0.9743997456786048,0.0162496697379852,78,1.1347471175685595,0.9312843759268288,0.9760122926626974,True,
NQ,RTH,B1,1h,restricted_S05,1,60,,,,,12,1.758752058556736,,,False,"single grid point, fit undefined"
NQ,RTH,B1,1h,extended,9,4;5;6;10;12;15;20;30;60,1.4248965273456762,2.440780214875596,-0.8032152189778061,0.011876103992107825,12,1.758752058556736,0.8101747602302579,0.887111968415982,True,
NQ,RTH,B1,30min,restricted_S05,1,30,,,,,6,2.022715624096093,,,False,"single grid point, fit undefined"
NQ,RTH,B1,30min,extended,5,5;6;10;15;30,1.3684356848201322,2.329910031201251,-0.7009504764461806,0.005302468130272782,6,2.022715624096093,0.6765338975574761,0.7760344553519921,True,
