cell,n_grid,n_windows,c,c_lo,c_hi,c_se,A,A_lo,A_hi,A_se,b,b_lo,b_hi,b_se,rmse,cond,b_trigamma_ref,ref_inside_95,p_b_above_ref,n_boot_ok,screen_old,screen_tight
ES/GLOBEX/B0/1day,10,1953,1.033909620188399,0.9310585411291387,1.116288574536073,0.04792215237681385,2.0584522490557693,1.760375918086367,2.477151948121537,0.184683424931586,-0.4426723058533993,-0.5508020721772262,-0.33975501273144226,0.053695103532422586,0.04989400116717758,24.95950357749797,-1.13767466962387,False,1.0,2000,True,True
ES/GLOBEX/B1/1day,10,1953,1.033909620188399,0.9338853599795303,1.1199377271430113,0.04767929838575911,2.0584522490557693,1.7530322876417996,2.4668763077071136,0.1841074262094386,-0.4426723058533993,-0.5460931612437697,-0.3412275284319387,0.05345290471470648,0.04989400116717758,24.95950357749797,-1.13767466962387,False,1.0,2000,True,True
NQ/GLOBEX/B0/1day,10,1948,1.0853359132503864,1.0150992478502532,1.1579095735563536,0.036627289379958274,2.5860441879745837,2.062667190262255,3.233997594376986,0.30846745743195353,-0.6885818583672129,-0.802167808848199,-0.5779906947524147,0.057904150862657745,0.03647513162288594,38.9856757921873,-1.13767466962387,False,1.0,2000,True,True
NQ/GLOBEX/B1/1day,10,1948,1.0853359132503864,1.0141537337297502,1.155019656130149,0.03689219413936965,2.5860441879745837,2.0443399884463136,3.2392555444248945,0.3030780428548422,-0.6885818583672129,-0.7998549192061557,-0.5761496781957492,0.05752526696217731,0.03647513162288594,38.9856757921873,-1.13767466962387,False,1.0,2000,True,True
ES/RTH/B0/1day,8,1901,1.0809384800522852,0.9970177752682501,1.1610578419327757,0.041743931143396903,2.3278820059171434,1.8715684855144206,2.9389438742764593,0.27154721305856205,-0.6274444407456055,-0.7557685386363908,-0.4982405151687234,0.0657501446497119,0.029115212345218973,36.519380549866604,-1.144373249661363,False,1.0,2000,True,True
ES/RTH/B0/1h,9,11406,1.051936782682572,0.9469226858890301,1.1327760576027854,0.047734987215251684,2.3263875438801134,2.219815778497854,2.4604324517196114,0.061454150999997334,-0.46580633009280553,-0.5344953729483165,-0.40035865162206147,0.034077454160573645,0.015092670186828512,37.39987622887221,-1.2097127786327901,False,1.0,2000,True,True
ES/RTH/B0/30min,5,22812,0.8153215401312074,0.6376069294255036,0.9476113385215861,0.07969243003251293,2.5881134751747803,2.5165813523046134,2.6833474666643267,0.04302074107931057,-0.4111082270680417,-0.4843437161085977,-0.3421507449558926,0.03650705403954638,0.004457446926737112,97.82048294779273,-1.1971005917687416,False,1.0,2000,True,False
ES/RTH/B1/1day,8,1901,1.0809384800522852,0.9963368170651993,1.162383452682612,0.04255811494527905,2.3278820059171434,1.885950512014894,2.915262981284285,0.2553898932722531,-0.6274444407456055,-0.7569657100565887,-0.5077123624435455,0.06398377499705632,0.029115212345218973,36.519380549866604,-1.144373249661363,False,1.0,2000,True,True
ES/RTH/B1/1h,9,11406,1.051936782682572,0.9573569615098013,1.1270853695805287,0.04416837461923747,2.3263875438801134,2.2158621059781978,2.4600856959031026,0.06177855591993764,-0.46580633009280553,-0.5319764399737642,-0.40341288268112385,0.032303376638689756,0.015092670186828512,37.39987622887221,-1.2097127786327901,False,1.0,2000,True,True
ES/RTH/B1/30min,5,22812,0.8153215401312074,0.6384866973095559,0.9399249735833916,0.07565814431849316,2.5881134751747803,2.509604230862946,2.6768043816579286,0.043045321474648006,-0.4111082270680417,-0.47799029745973104,-0.3423090497046587,0.03465268773674095,0.004457446926737112,97.82048294779273,-1.1971005917687416,False,1.0,2000,True,False
NQ/RTH/B0/1day,8,1901,1.0567722578646066,0.9861349099479803,1.122810834100859,0.0335526835072605,3.5897307083476124,2.7514179138775523,4.743331451485311,0.5135102079187972,-0.9743997227891924,-1.125495005553469,-0.835319083614595,0.07556998646642216,0.016249669737984123,70.47027152605779,-1.144373249661363,False,0.987,2000,True,True
NQ/RTH/B0/1h,9,11406,1.424896531154938,1.3780583977392191,1.4692998836242692,0.023567221719032968,2.4407802378582644,2.188660190637925,2.7561808480873045,0.1465564571913117,-0.8032152282589848,-0.8944315953435547,-0.7149615345172784,0.04592045736719923,0.011876103992107716,48.37411655705927,-1.2097127786327901,False,1.0,2000,True,True
NQ/RTH/B0/30min,5,22812,1.3684356791732393,1.3079703138026089,1.418375772266111,0.028588985627880894,2.3299100072766117,2.1170745349232174,2.6011761140400393,0.12363182013583582,-0.7009504660809367,-0.7976284061385536,-0.6091683577127147,0.04827209268948562,0.005302468130276586,73.86245739384485,-1.1971005917687416,False,1.0,2000,True,False
NQ/RTH/B1/1day,8,1901,1.0567722578646066,0.9903368974003531,1.1202461979537899,0.034072764154756054,3.5897307083476124,2.7536891526924756,4.7963643395288615,0.5168392774275956,-0.9743997227891924,-1.1263944916694908,-0.8288643663463371,0.07659199002287859,0.016249669737984123,70.47027152605779,-1.144373249661363,False,0.9845,2000,True,True
NQ/RTH/B1/1h,9,11406,1.424896531154938,1.3794630242511596,1.4694619829807138,0.023443116746931433,2.4407802378582644,2.189407929522508,2.7553211888437845,0.14453118902845108,-0.8032152282589848,-0.8971001036999707,-0.7207686742889138,0.045093594031628444,0.011876103992107716,48.37411655705927,-1.2097127786327901,False,1.0,2000,True,True
NQ/RTH/B1/30min,5,22812,1.3684356791732393,1.307830017802652,1.4192148725538019,0.028470418924191134,2.3299100072766117,2.1292323286198007,2.5978644574350613,0.1231769720285124,-0.7009504660809367,-0.7958708981026248,-0.6096481975357134,0.04815665718745744,0.005302468130276586,73.86245739384485,-1.1971005917687416,False,1.0,2000,True,False
SPY/ARCX/TICK,15,1415,1.0342942397323764,0.945627975272792,1.1198715650604902,0.044359526494849366,1.4569098932482172,1.111770790305521,1.9566608595212713,0.2185852775195717,-0.5332573378046044,-0.68068749448494,-0.38963882308172854,0.073632671434014,0.05576491103751741,23.174298086131596,-1.1261902267497008,False,1.0,2000,True,True
SPY/XNAS/TICK,15,1415,1.0438873159534647,0.9570599806832485,1.1283646158968703,0.04437760703853024,1.6770886062626031,1.235936406529028,2.3016835783381833,0.2740363286435145,-0.5985384739875643,-0.7627600010678083,-0.4467674727704005,0.08091680705256576,0.05900168505030116,27.324601781257975,-1.1261902267497008,False,1.0,2000,True,True
