cell,range,n_grid,b,A,rmse,screen_old_pass,screen_tight_pass,fail_reason
ES/GLOBEX/B0/1day,extended,10,-0.4426723058533993,2.0584522490557693,0.04989400116717758,True,True,
ES/GLOBEX/B0/1day,restricted_S05,5,-0.00012347766886095874,916.6881100426622,0.008946728989386855,True,False,n_grid 5 < 6; |b|=0.000123 <= 0.01
ES/GLOBEX/B1/1day,extended,10,-0.4426723058533993,2.0584522490557693,0.04989400116717758,True,True,
ES/GLOBEX/B1/1day,restricted_S05,5,-0.00012347766886095874,916.6881100426622,0.008946728989386855,True,False,n_grid 5 < 6; |b|=0.000123 <= 0.01
NQ/GLOBEX/B0/1day,extended,10,-0.6885818583672129,2.5860441879745837,0.03647513162288594,True,True,
NQ/GLOBEX/B0/1day,restricted_S05,5,-0.3455757594558245,1.1453517190820384,0.0008278855117470478,True,False,n_grid 5 < 6
NQ/GLOBEX/B1/1day,extended,10,-0.6885818583672129,2.5860441879745837,0.03647513162288594,True,True,
NQ/GLOBEX/B1/1day,restricted_S05,5,-0.3455757594558245,1.1453517190820384,0.0008278855117470478,True,False,n_grid 5 < 6
ES/RTH/B0/1day,extended,8,-0.6274444407456055,2.3278820059171434,0.029115212345218973,True,True,
ES/RTH/B0/1day,restricted_S05,5,-0.14453985485380264,1.550180213693871,0.018131300668478824,True,False,n_grid 5 < 6
ES/RTH/B0/1h,extended,9,-0.46580633009280553,2.3263875438801134,0.015092670186828512,True,True,
ES/RTH/B0/1h,restricted_S05,1,,,,False,False,no fit
ES/RTH/B0/30min,extended,5,-0.4111082270680417,2.5881134751747803,0.004457446926737112,True,False,n_grid 5 < 6
ES/RTH/B0/30min,restricted_S05,1,,,,False,False,no fit
ES/RTH/B1/1day,extended,8,-0.6274444407456055,2.3278820059171434,0.029115212345218973,True,True,
ES/RTH/B1/1day,restricted_S05,5,-0.14453985485380264,1.550180213693871,0.018131300668478824,True,False,n_grid 5 < 6
ES/RTH/B1/1h,extended,9,-0.46580633009280553,2.3263875438801134,0.015092670186828512,True,True,
ES/RTH/B1/1h,restricted_S05,1,,,,False,False,no fit
ES/RTH/B1/30min,extended,5,-0.4111082270680417,2.5881134751747803,0.004457446926737112,True,False,n_grid 5 < 6
ES/RTH/B1/30min,restricted_S05,1,,,,False,False,no fit
NQ/RTH/B0/1day,extended,8,-0.9743997227891924,3.5897307083476124,0.016249669737984123,True,True,
NQ/RTH/B0/1day,restricted_S05,5,-0.6258743767524717,1.5528394778083754,0.010981517084816594,True,False,n_grid 5 < 6
NQ/RTH/B0/1h,extended,9,-0.8032152282589848,2.4407802378582644,0.011876103992107716,True,True,
NQ/RTH/B0/1h,restricted_S05,1,,,,False,False,no fit
NQ/RTH/B0/30min,extended,5,-0.7009504660809367,2.3299100072766117,0.005302468130276586,True,False,n_grid 5 < 6
NQ/RTH/B0/30min,restricted_S05,1,,,,False,False,no fit
NQ/RTH/B1/1day,extended,8,-0.9743997227891924,3.5897307083476124,0.016249669737984123,True,True,
NQ/RTH/B1/1day,restricted_S05,5,-0.6258743767524717,1.5528394778083754,0.010981517084816594,True,False,n_grid 5 < 6
NQ/RTH/B1/1h,extended,9,-0.8032152282589848,2.4407802378582644,0.011876103992107716,True,True,
NQ/RTH/B1/1h,restricted_S05,1,,,,False,False,no fit
NQ/RTH/B1/30min,extended,5,-0.7009504660809367,2.3299100072766117,0.005302468130276586,True,False,n_grid 5 < 6
NQ/RTH/B1/30min,restricted_S05,1,,,,False,False,no fit
SPY/ARCX/TICK,tick_full,15,-0.5332573378046044,1.4569098932482172,0.05576491103751741,True,True,
SPY/XNAS/TICK,tick_full,15,-0.5985384739875643,1.6770886062626031,0.05900168505030116,True,True,
