cell,b_pooled,b_ref,gap_pooled_to_ref,n_years,b_year_mean,b_year_sd,b_year_min,b_year_max,year_steeper_than_pooled,share_gap_from_year_pooling,n_terciles,b_tercile_mean,b_tercile_sd,tercile_steeper_than_pooled,share_gap_from_tercile_pooling
ES/GLOBEX/B0/1day,-0.4426723058533993,-1.13767466962387,0.6950023637704708,8,-0.6822940111010145,0.201857253890266,-1.131404135502728,-0.48638439667655237,8,0.34477825938265716,0,,,0,
ES/GLOBEX/B1/1day,-0.4426723058533993,-1.13767466962387,0.6950023637704708,8,-0.6822940111010145,0.201857253890266,-1.131404135502728,-0.48638439667655237,8,0.34477825938265716,0,,,0,
NQ/GLOBEX/B0/1day,-0.6885818583672129,-1.13767466962387,0.4490928112566571,8,-0.8159308750709096,0.1384159622669388,-1.1001375165136398,-0.6464897837694021,7,0.28356948388318015,0,,,0,
NQ/GLOBEX/B1/1day,-0.6885818583672129,-1.13767466962387,0.4490928112566571,8,-0.8159308750709096,0.1384159622669388,-1.1001375165136398,-0.6464897837694021,7,0.28356948388318015,0,,,0,
ES/RTH/B0/1day,-0.6274444407456055,-1.144373249661363,0.5169288089157575,8,-0.8835705082382176,0.37516892784286904,-1.4793008201988131,-0.46058005971273075,6,0.4954764816258331,0,,,0,
ES/RTH/B0/1h,-0.46580633009280553,-1.2097127786327901,0.7439064485399847,8,-0.6753487248446464,0.21367832162745376,-1.1794090178334444,-0.48320865923575645,8,0.28167842228427464,0,,,0,
ES/RTH/B0/30min,-0.4111082270680417,-1.1971005917687416,0.7859923647006999,8,-0.5964108258911033,0.14447175515550814,-0.8996197068860083,-0.3903759620342944,7,0.2357562326876082,0,,,0,
ES/RTH/B1/1day,-0.6274444407456055,-1.144373249661363,0.5169288089157575,8,-0.8835705082382176,0.37516892784286904,-1.4793008201988131,-0.46058005971273075,6,0.4954764816258331,0,,,0,
ES/RTH/B1/1h,-0.46580633009280553,-1.2097127786327901,0.7439064485399847,8,-0.6753487248446464,0.21367832162745376,-1.1794090178334444,-0.48320865923575645,8,0.28167842228427464,0,,,0,
ES/RTH/B1/30min,-0.4111082270680417,-1.1971005917687416,0.7859923647006999,8,-0.5964108258911033,0.14447175515550814,-0.8996197068860083,-0.3903759620342944,7,0.2357562326876082,0,,,0,
NQ/RTH/B0/1day,-0.9743997227891924,-1.144373249661363,0.1699735268721706,8,-1.0783123455974908,0.25434270254699826,-1.4619063099356153,-0.7451000269756826,5,0.6113459238063959,0,,,0,
NQ/RTH/B0/1h,-0.8032152282589848,-1.2097127786327901,0.4064975503738053,8,-0.9073473432607131,0.14396473628560552,-1.1049831871377451,-0.6823777483639757,6,0.25616910829098694,0,,,0,
NQ/RTH/B0/30min,-0.7009504660809367,-1.1971005917687416,0.4961501256878049,8,-0.8832328417396607,0.13556443555695175,-1.0980803906272574,-0.6819563293817682,7,0.3673935896036081,0,,,0,
NQ/RTH/B1/1day,-0.9743997227891924,-1.144373249661363,0.1699735268721706,8,-1.0783123455974908,0.25434270254699826,-1.4619063099356153,-0.7451000269756826,5,0.6113459238063959,0,,,0,
NQ/RTH/B1/1h,-0.8032152282589848,-1.2097127786327901,0.4064975503738053,8,-0.9073473432607131,0.14396473628560552,-1.1049831871377451,-0.6823777483639757,6,0.25616910829098694,0,,,0,
NQ/RTH/B1/30min,-0.7009504660809367,-1.1971005917687416,0.4961501256878049,8,-0.8832328417396607,0.13556443555695175,-1.0980803906272574,-0.6819563293817682,7,0.3673935896036081,0,,,0,
