root,geom,H,sigma_w,b_mean,b_sd,b_min,b_max,rmse_mean,cond_mean,emb_neg_eig,n_seeds
ES,GLOBEX,0.05,2.3032048768699176,-0.8976350226377828,0.09737933347306664,-0.982884954699553,-0.7478479500538993,0.010343607817502098,56.77492596088264,0,5
ES,GLOBEX,0.1,2.2799829635322095,-0.9263427024121788,0.07190874287411095,-0.9847214015973234,-0.8051799602506667,0.009282246312254747,60.41750065045617,0,5
ES,GLOBEX,0.2,2.6065675798952577,-0.8495478547570567,0.039181492588810915,-0.9025577679910203,-0.7956306512960492,0.009870891510042775,52.619636234422714,0,5
ES,GLOBEX,0.3,2.9202926112115386,-0.8916006805861295,0.04559864327886841,-0.9528681031322594,-0.8249517485786618,0.00983895505856069,58.70276683503539,0,5
ES,GLOBEX,0.45,3.602184229880572,-0.9012595053423238,0.03364018139825813,-0.9507130643295433,-0.8684803912132532,0.01092930537076188,60.980747369908045,0,5
ES,GLOBEX,0.5,3.9805722636282437,-0.8586133269384251,0.053566596274525057,-0.9217782806844311,-0.8169321180147424,0.0136345912830346,57.76530420663492,0,5
ES,RTH,0.05,1.650273784607649,-1.039610649804622,0.048722706934059064,-1.1160050147589848,-0.9837405564549826,0.012697402997301321,75.74745396819286,0,5
ES,RTH,0.1,1.495183198481798,-1.0004382202153288,0.08202234363708757,-1.0898238978904344,-0.8751919832094573,0.009877261696197476,70.621961672761,0,5
ES,RTH,0.2,1.6030905067622663,-1.041990805479458,0.03797329240116331,-1.0907239045813906,-0.9860268657029476,0.010772834456728515,77.71223486754756,0,5
ES,RTH,0.3,1.696414750963449,-0.9528999559464394,0.060328172244323804,-1.007648174381175,-0.8596935705080785,0.010027953705115018,64.5188911395917,0,5
ES,RTH,0.45,1.881388389617205,-1.0153743202284715,0.034563077548803785,-1.0441727558739826,-0.9556275386764909,0.009672530327822962,73.70995324135671,0,5
ES,RTH,0.5,1.9641432735025885,-1.044403684181973,0.10007204670938297,-1.175530576598336,-0.917610965904257,0.014755573093349041,79.57059347986828,0,5
NQ,GLOBEX,0.05,2.5903979854285715,-0.9362920838858146,0.10466878642644524,-1.0820859120498005,-0.7900143090471372,0.007627225891940058,61.796710353083974,0,5
NQ,GLOBEX,0.1,2.5517459287941455,-0.8597905022885122,0.07479945989269197,-0.9616824554434118,-0.7658407989363157,0.013787269382895595,52.61533320874437,0,5
NQ,GLOBEX,0.2,2.88187941017747,-0.8207068800696549,0.10412823670670407,-0.969670155922396,-0.7131159524322511,0.010505573368989402,50.979549601637295,0,5
NQ,GLOBEX,0.3,3.3582282758057116,-0.7960224053479563,0.08227783807658211,-0.8831432643405682,-0.7057969061278913,0.014485822419208141,49.84139750904166,0,5
NQ,GLOBEX,0.45,4.465884292930365,-0.8138751189775032,0.08069598185831635,-0.9146679850829162,-0.6951318185529172,0.010711553961312802,56.68444790938581,0,5
NQ,GLOBEX,0.5,4.804715622335673,-0.8415035482478513,0.0320816101364936,-0.8761491176138227,-0.7897701368061211,0.013729704058183278,58.40196448664661,0,5
NQ,RTH,0.05,1.7530667940080167,-0.9900556669738496,0.10327380944241589,-1.1212822756206484,-0.8585142184754196,0.009479481182843492,69.28413195946186,0,5
NQ,RTH,0.1,1.6399422071874143,-1.0501606245920407,0.11017068066580844,-1.225560774089544,-0.9536758084142442,0.009775431857441416,79.74812377157352,0,5
NQ,RTH,0.2,1.6402818970382214,-0.8939146445451687,0.08314907835663146,-0.9995361757359237,-0.7878957670662974,0.01004268957692118,57.69285966772634,0,5
NQ,RTH,0.3,1.8008003694117072,-0.9585300472552776,0.050607585387094256,-1.0382836022720414,-0.9044133342194534,0.013289809451075909,65.45357990490113,0,5
NQ,RTH,0.45,2.17533488997817,-0.9819860025884726,0.08181818110352836,-1.089782754084356,-0.875411243383481,0.013742240585493004,71.7219432753605,0,5
NQ,RTH,0.5,2.245863799780608,-0.9393195660124253,0.08199203790882091,-1.0730650276593763,-0.8779516185515112,0.011545496777184038,63.3875020070444,0,5
