root,geom,btag,horizon,M,s2_intercept,s2_intercept_lo,s2_intercept_hi,s2_naive,kappa_intercept,kappa_naive,adj_exact_intercept_vp,adj_exact_intercept_vp_lo,adj_exact_intercept_vp_hi,adj_exact_naive_vp,diff_vp,overstatement_prop,overstatement_lo,overstatement_hi,adj_BL_intercept_vp,adj_BL_naive_vp,ratio_exact_over_BL_intercept,ratio_exact_over_BL_naive,overstatement_BL,k_vol_factor_exact,k_vol_factor_BL
ES,GLOBEX,B0,1day,276,1.033909620188399,0.9310585411291388,1.116288574536073,1.249852873673113,1.8120383734886518,2.4898294738973354,2.4247164543727417,2.1973031203747917,2.6047670248900046,2.8927788414180045,0.4680623870452627,0.19303798850424658,0.11057104676767104,0.3165133269935858,4.530095933721629,6.224573684743339,0.5352461603127141,0.46473525544541516,0.37404897728725084,0.8787641772813629,0.7734952033139185
ES,GLOBEX,B1,1day,276,1.033909620188399,0.9338853599795304,1.119937727143011,1.249852873673113,1.8120383734886518,2.4898294738973354,2.4247164543727417,2.2035926339930123,2.6126999479444546,2.8927788414180045,0.4680623870452627,0.19303798850424658,0.10719902746348753,0.31275572299230037,4.530095933721629,6.224573684743339,0.5352461603127141,0.46473525544541516,0.37404897728725084,0.8787641772813629,0.7734952033139185
NQ,GLOBEX,B0,1day,276,1.0853359132503864,1.0150992478502532,1.1579095735563536,1.1546778485307942,1.9604341007752328,2.1730010659052303,2.5373330609393774,2.3833431295260588,2.6950328834118875,2.6880408593261262,0.15070779838674886,0.059396143417984604,-0.0025944114184274225,0.12784467583593728,4.901085251938082,5.432502664763076,0.5177084116086362,0.4948070944836542,0.1084285184826872,0.8731333469530311,0.7549457374030959
NQ,GLOBEX,B1,1day,276,1.0853359132503864,1.0141537337297502,1.155019656130149,1.1546778485307942,1.9604341007752328,2.1730010659052303,2.5373330609393774,2.3812609067519075,2.6887805134240517,2.6880408593261262,0.15070779838674886,0.059396143417984604,-0.00027508905774664694,0.12883088606727822,4.901085251938082,5.432502664763076,0.5177084116086362,0.4948070944836542,0.1084285184826872,0.8731333469530311,0.7549457374030959
ES,RTH,B0,1day,78,1.0809384800522852,0.99701777526825,1.1610578419327755,1.2871686279157708,1.9474443712459397,2.6225153329993227,2.527731558392603,2.3434812115856096,2.7018416286801994,2.9723891347583598,0.44465757636575676,0.17591170822289248,0.10013447983267554,0.26836482411874263,4.868610928114849,6.556288332498307,0.5191894763649462,0.45336461485758295,0.3466445418009474,0.8736134220803699,0.7565694535942575
ES,RTH,B0,1h,12,1.051936782682572,0.94692268588903,1.1327760576027854,1.7888437170876814,1.8631911304296933,4.98253096721886,2.4642759276121895,2.2325712102392203,2.640580558663994,4.007388906499456,1.5431129788872666,0.6261932609074736,0.5176166064507424,0.7949657722541641,4.657977826074234,12.45632741804715,0.5290441516955638,0.3217151229256719,1.6741920814477997,0.8767862036193905,0.7671011086962883
ES,RTH,B0,30min,6,0.8153215401312074,0.6376069294255036,0.947611338521586,2.059807974863609,1.259902204790218,6.8444633315410295,1.937877228394096,1.5321495397573415,2.2341005927386726,4.5399963895212085,2.602119161127112,1.3427678095394455,1.03213606597537,1.9631548825451093,3.149755511975545,17.111158328852575,0.6152468726623953,0.26532373216756083,4.432535402762215,0.9031061385802952,0.8425122244012228
ES,RTH,B1,1day,78,1.0809384800522852,0.9963368170651992,1.162383452682612,1.2871686279157708,1.9474443712459397,2.6225153329993227,2.527731558392603,2.3419782287064472,2.7047077193022817,2.9723891347583598,0.44465757636575676,0.17591170822289248,0.09896870317844564,0.2691788071830665,4.868610928114849,6.556288332498307,0.5191894763649462,0.45336461485758295,0.3466445418009474,0.8736134220803699,0.7565694535942575
ES,RTH,B1,1h,12,1.051936782682572,0.9573569615098012,1.1270853695805287,1.7888437170876814,1.8631911304296933,4.98253096721886,2.4642759276121895,2.255729885339335,2.6282277856627645,4.007388906499456,1.5431129788872666,0.6261932609074736,0.5247494636348295,0.7765375777235912,4.657977826074234,12.45632741804715,0.5290441516955638,0.3217151229256719,1.6741920814477997,0.8767862036193905,0.7671011086962883
ES,RTH,B1,30min,6,0.8153215401312074,0.6384866973095559,0.9399249735833916,2.059807974863609,1.259902204790218,6.8444633315410295,1.937877228394096,1.5341803558051725,2.21702299172287,4.5399963895212085,2.602119161127112,1.3427678095394455,1.047789493600665,1.959232512880479,3.149755511975545,17.111158328852575,0.6152468726623953,0.26532373216756083,4.432535402762215,0.9031061385802952,0.8425122244012228
NQ,RTH,B0,1day,78,1.0567722578646066,0.9861349099479804,1.122810834100859,1.13474711756856,1.8770695474108696,2.110386881245614,2.4748719198173896,2.319445677324705,2.6189432733632123,2.644857088897503,0.16998516908011352,0.0686844307856771,0.009894760149200321,0.14029706095472516,4.692673868527174,5.2759672031140346,0.5273905643466641,0.5013027919006829,0.12429871559984007,0.8762564040091305,0.7653663065736414
NQ,RTH,B0,1h,12,1.424896531154938,1.3780583977392191,1.4692998836242692,1.7587520585567455,3.157427656262919,4.805188337032131,3.263027287511866,3.164748799327417,3.3556671669326943,3.947120104290207,0.6840928167783411,0.20964973826497713,0.17625494661264063,0.24721434608935233,7.893569140657297,12.012970842580328,0.4133779320060727,0.3285715212343248,0.5218680711498789,0.8368486356244067,0.6053215429671351
NQ,RTH,B0,30min,6,1.3684356791732393,1.3079703138026089,1.418375772266111,2.0227156240960893,2.92919935700479,6.558824011793455,3.144486505086772,3.016606998540625,3.249379505700687,4.468148971783394,1.3236624666966224,0.4209470972622591,0.3750775998754554,0.48118365234350935,7.322998392511975,16.397060029483637,0.4293987703591634,0.27249695761003456,1.2391183434165725,0.8427756747456614,0.6338500803744013
NQ,RTH,B1,1day,78,1.0567722578646066,0.9903368974003532,1.12024619795379,1.13474711756856,1.8770695474108696,2.110386881245614,2.4748719198173896,2.3287299222705693,2.6133703693370713,2.644857088897503,0.16998516908011352,0.0686844307856771,0.012048318879661402,0.13575089305276844,4.692673868527174,5.2759672031140346,0.5273905643466641,0.5013027919006829,0.12429871559984007,0.8762564040091305,0.7653663065736414
NQ,RTH,B1,1h,12,1.424896531154938,1.3794630242511596,1.4694619829807138,1.7587520585567455,3.157427656262919,4.805188337032131,3.263027287511866,3.1677044448676495,3.356004417971008,3.947120104290207,0.6840928167783411,0.20964973826497713,0.17613674259600032,0.24605062529914234,7.893569140657297,12.012970842580328,0.4133779320060727,0.3285715212343248,0.5218680711498789,0.8368486356244067,0.6053215429671351
NQ,RTH,B1,30min,6,1.3684356791732393,1.307830017802652,1.419214872553802,2.0227156240960893,2.92919935700479,6.558824011793455,3.144486505086772,3.016309158166044,3.251136344873282,4.468148971783394,1.3236624666966224,0.4209470972622591,0.37433453962311347,0.4813299093320025,7.322998392511975,16.397060029483637,0.4293987703591634,0.27249695761003456,1.2391183434165725,0.8427756747456614,0.6338500803744013
