item,occurrence,key,line,kind,token,clause
1,1,1#1,7,number,1,1.
1,1,1#1,7,number,50,"Screening simulation showed replicate errors correlate by construction through interval overlap, biasing the estimate of measurement-error variance down by ~50% at spacing 2 and ~86% at spacing 15, with microstructure no"
1,1,1#1,7,number,2,"Screening simulation showed replicate errors correlate by construction through interval overlap, biasing the estimate of measurement-error variance down by ~50% at spacing 2 and ~86% at spacing 15, with microstructure no"
1,1,1#1,7,number,86,"Screening simulation showed replicate errors correlate by construction through interval overlap, biasing the estimate of measurement-error variance down by ~50% at spacing 2 and ~86% at spacing 15, with microstructure no"
1,1,1#1,7,number,15,"Screening simulation showed replicate errors correlate by construction through interval overlap, biasing the estimate of measurement-error variance down by ~50% at spacing 2 and ~86% at spacing 15, with microstructure no"
2,1,2#1,12,number,2,2.
3,1,3#1,15,number,3,3.
3,1,3#1,15,number,1,"In the scalar-state scalar-observation case, writing the analysis as x_a = x_b + K(y - x_b) gives d_oa = (1-K)d_ob and d_ab = K*d_ob identically, so the diagnostic returns K for any K."
4,1,4#1,20,name,Bollerslev,"The reliability parameter lambda is now sourced from the realized-quarticity route of Bollerslev, Patton and Quaedvlieg (2016), which has published asymptotic theory."
4,1,4#1,20,name,Patton,"The reliability parameter lambda is now sourced from the realized-quarticity route of Bollerslev, Patton and Quaedvlieg (2016), which has published asymptotic theory."
4,1,4#1,20,name,Quaedvlieg,"The reliability parameter lambda is now sourced from the realized-quarticity route of Bollerslev, Patton and Quaedvlieg (2016), which has published asymptotic theory."
4,1,4#1,20,number,4,4.
4,1,4#1,20,number,2016,"The reliability parameter lambda is now sourced from the realized-quarticity route of Bollerslev, Patton and Quaedvlieg (2016), which has published asymptotic theory."
5,1,5#1,25,number,5,5.
5,1,5#1,25,number,1974,"Nugget extrapolation is geostatistics (Matheron), three-cornered hat is clock metrology (Gray and Allan 1974)."
6,1,6#1,30,name,Globex,"The prior draft contained invented tolerances, a geometry inconsistent with the base spec (390 minutes against a full-Globex primary), a success criterion on a quantity that varies across generating processes by construc"
6,1,6#1,30,number,6,6.
6,1,6#1,30,number,1,Session 1 pre-registration parameters rewritten after audit.
6,1,6#1,30,number,390,"The prior draft contained invented tolerances, a geometry inconsistent with the base spec (390 minutes against a full-Globex primary), a success criterion on a quantity that varies across generating processes by construc"
7,1,7#1,39,path,D6/D7,S01 verdict on D6/D7 is CONDITIONAL.
7,1,7#1,39,path,ES/NQ,"01} were asserted by the analyst, not measured on ES/NQ."
7,1,7#1,39,path,pass/fail,S02 therefore reports breakdown thresholds across a wide swept range rather than pass/fail at asserted points.
7,1,7#1,39,code,S01,S01 verdict on D6/D7 is CONDITIONAL.
7,1,7#1,39,code,ES,"01} were asserted by the analyst, not measured on ES/NQ."
7,1,7#1,39,code,NQ,"01} were asserted by the analyst, not measured on ES/NQ."
7,1,7#1,39,code,S02,S02 therefore reports breakdown thresholds across a wide swept range rather than pass/fail at asserted points.
7,1,7#1,39,number,7,7.
7,1,7#1,39,number,0.001,"Noise-to-signal ratios {0.001, 0."
7,1,7#1,39,number,0.01,"001, 0.01} were asserted by the analyst, not measured on ES/NQ."
8,1,8#1,42,path,RV/RQ,"Every estimator was fed plain RV/RQ, so D6 and D7 tested the proxy, not the estimator."
8,1,8#1,42,code,S01,S01 omitted noise-robust and jump-robust volatility proxies entirely.
8,1,8#1,42,code,RV,"Every estimator was fed plain RV/RQ, so D6 and D7 tested the proxy, not the estimator."
8,1,8#1,42,code,RQ,"Every estimator was fed plain RV/RQ, so D6 and D7 tested the proxy, not the estimator."
8,1,8#1,42,code,S02,S02 adds them as the primary proxy arm.
8,1,8#1,42,number,8,8.
9,1,9#1,45,code,S01,S01 DGPs hold integrated variance constant within each window (to be verified in code).
9,1,9#1,45,code,E2,"E2's pass on D1-D4 may therefore be an artifact, since contiguous halves estimate the same quantity only under within-window constancy."
9,1,9#1,45,code,S02,S02 adds within-window volatility variation and a diurnal profile.
9,1,9#1,45,number,9,9.
10,1,10#1,49,code,S01,"This is a compute decision citing S01 evidence, recorded here so it is not mistaken for post-hoc selection."
10,1,10#1,49,code,S01,The dropped combinations failed on D3 in every case and are documented in S01.
10,1,10#1,49,number,10,10.
10,1,10#1,49,number,4,"E1 reduced from 4 arms x 4 lag sets to 2 arms x 2 lag sets for compute reasons, retaining a_exp (baseline) and d_model (best performer on D3, 0."
10,1,10#1,49,number,4,"E1 reduced from 4 arms x 4 lag sets to 2 arms x 2 lag sets for compute reasons, retaining a_exp (baseline) and d_model (best performer on D3, 0."
10,1,10#1,49,number,2,"E1 reduced from 4 arms x 4 lag sets to 2 arms x 2 lag sets for compute reasons, retaining a_exp (baseline) and d_model (best performer on D3, 0."
10,1,10#1,49,number,2,"E1 reduced from 4 arms x 4 lag sets to 2 arms x 2 lag sets for compute reasons, retaining a_exp (baseline) and d_model (best performer on D3, 0."
10,1,10#1,49,number,0.956,"E1 reduced from 4 arms x 4 lag sets to 2 arms x 2 lag sets for compute reasons, retaining a_exp (baseline) and d_model (best performer on D3, 0.956 at L1-10), at L1-5 and L1-10."
