root,geom,group,n_days,intercept_EIV,omega2_N1,omega2_N2,NSR_N1,NSR_N2,signature_R2,mean_rv_coarsest,mean_rv_finest
ES,GLOBEX,all,1901,0.00012097270027719882,3.951537423267866e-09,4.753788833046413e-08,3.266470380683616e-05,0.0003929637696896493,0.872089551162772,0.0001193311291569906,0.000131204571792081
ES,GLOBEX,y2016,239,8.07613305565629e-05,4.977450064421674e-09,3.412319201874178e-08,6.163160054595203e-05,0.00042251894295925303,0.9668373916914659,8.018276721419507e-05,9.41800099717273e-05
ES,GLOBEX,y2017,237,1.8195402256443403e-05,2.938636891388617e-09,9.487339567971972e-09,0.00016150436522215274,0.0005214141151846363,0.9782682551493833,1.7508248732308177e-05,2.6185057207602642e-05
ES,GLOBEX,y2018,236,0.00011495942473535928,3.4207123125609595e-09,4.514925544244012e-08,2.975582315617499e-05,0.00039274079133899047,0.9157450358606438,0.00011564225999319742,0.00012461194502113473
ES,GLOBEX,y2019,237,6.031080820650466e-05,2.834414578578679e-09,2.470574545329337e-08,4.699679315975376e-05,0.0004096404307616093,0.864118477983026,6.241715841242217e-05,6.81878574510897e-05
ES,GLOBEX,y2020,239,0.0003313732599693398,1.403856753511274e-08,1.3235132987778513e-07,4.236481705377088e-05,0.0003994025646186143,0.5584738917983649,0.0003132874802879171,0.000365289670462687
ES,GLOBEX,y2021,239,7.008157402693876e-05,9.386206769190078e-10,2.6322612373406066e-08,1.3393259069184291e-05,0.0003755996171445561,0.863362262671298,7.058035386679025e-05,7.265041015060074e-05
ES,GLOBEX,y2022,238,0.00022091850291572658,9.222595978831214e-10,8.089965985189937e-08,4.174659821205353e-06,0.0003661968498979012,0.09954330891902075,0.00022357878532493493,0.00022328306119124227
ES,GLOBEX,y2023,236,6.951033935432004e-05,1.4733686657501155e-09,2.66012972308921e-08,2.1196395808684055e-05,0.00038269554541081147,0.8911807736163461,6.989295356458153e-05,7.341958035726219e-05
ES,GLOBEX,terc1,634,1.9047268488224216e-05,3.5716492171142477e-09,1.0247438680968764e-08,0.00018751503499425044,0.0005380004323089235,0.8133228439008563,1.6399853256339478e-05,2.828293075947379e-05
