root,geom,group,M,mean_rv,n_days
ES,GLOBEX,all,23,0.0001193311291569906,1901
ES,GLOBEX,all,46,0.00012069678642884835,1901
ES,GLOBEX,all,138,0.00012245143291381096,1901
ES,GLOBEX,all,345,0.00012644832169777048,1901
ES,GLOBEX,all,1380,0.000131204571792081,1901
ES,GLOBEX,y2016,23,8.018276721419507e-05,239
ES,GLOBEX,y2016,46,8.16105768636447e-05,239
ES,GLOBEX,y2016,138,8.123060328554854e-05,239
ES,GLOBEX,y2016,345,8.583556249662421e-05,239
ES,GLOBEX,y2016,1380,9.41800099717273e-05,239
ES,GLOBEX,y2017,23,1.7508248732308177e-05,237
ES,GLOBEX,y2017,46,1.870984415926243e-05,237
ES,GLOBEX,y2017,138,1.9328162413255556e-05,237
ES,GLOBEX,y2017,345,2.060059171811383e-05,237
ES,GLOBEX,y2017,1380,2.6185057207602642e-05,237
ES,GLOBEX,y2018,23,0.00011564225999319742,236
ES,GLOBEX,y2018,46,0.00011667511540698513,236
ES,GLOBEX,y2018,138,0.00011411925043963326,236
ES,GLOBEX,y2018,345,0.00011696618519158152,236
ES,GLOBEX,y2018,1380,0.00012461194502113473,236
ES,GLOBEX,y2019,23,6.241715841242217e-05,237
ES,GLOBEX,y2019,46,5.90832993840342e-05,237
ES,GLOBEX,y2019,138,6.0439435516937884e-05,237
ES,GLOBEX,y2019,345,6.237846819966741e-05,237
ES,GLOBEX,y2019,1380,6.81878574510897e-05,237
ES,GLOBEX,y2020,23,0.0003132874802879171,239
ES,GLOBEX,y2020,46,0.00032787510611155025,239
ES,GLOBEX,y2020,138,0.00034715415619740973,239
ES,GLOBEX,y2020,345,0.00035750491174281083,239
ES,GLOBEX,y2020,1380,0.000365289670462687,239
ES,GLOBEX,y2021,23,7.058035386679025e-05,239
ES,GLOBEX,y2021,46,7.003605878784406e-05,239
ES,GLOBEX,y2021,138,6.971360887680057e-05,239
ES,GLOBEX,y2021,345,7.105426874827324e-05,239
ES,GLOBEX,y2021,1380,7.265041015060074e-05,239
ES,GLOBEX,y2022,23,0.00022357878532493493,238
ES,GLOBEX,y2022,46,0.00022111300369511013,238
ES,GLOBEX,y2022,138,0.00021603804369144442,238
ES,GLOBEX,y2022,345,0.00022414323176212165,238
ES,GLOBEX,y2022,1380,0.00022328306119124227,238
ES,GLOBEX,y2023,23,6.989295356458153e-05,236
ES,GLOBEX,y2023,46,6.882075247723906e-05,236
ES,GLOBEX,y2023,138,6.983282084491188e-05,236
ES,GLOBEX,y2023,345,7.127868605206397e-05,236
ES,GLOBEX,y2023,1380,7.341958035726219e-05,236
ES,GLOBEX,terc1,23,1.6399853256339478e-05,634
ES,GLOBEX,terc1,46,1.9133681867947147e-05,634
ES,GLOBEX,terc1,138,2.1646181817716565e-05,634
ES,GLOBEX,terc1,345,2.3574547314573554e-05,634
ES,GLOBEX,terc1,1380,2.828293075947379e-05,634
ES,GLOBEX,terc2,23,5.2262225979627794e-05,633
ES,GLOBEX,terc2,46,5.4881224000866364e-05,633
ES,GLOBEX,terc2,138,5.594431547630148e-05,633
ES,GLOBEX,terc2,345,5.922730231598455e-05,633
ES,GLOBEX,terc2,1380,6.402772583026974e-05,633
ES,GLOBEX,terc3,23,0.00028922552132147557,634
ES,GLOBEX,terc3,46,0.00028797164338235616,634
ES,GLOBEX,terc3,138,0.00028965890063126736,634
ES,GLOBEX,terc3,345,0.00029643708861830267,634
ES,GLOBEX,terc3,1380,0.0003011971016162127,634
ES,RTH,all,13,6.907053223890464e-05,1901
ES,RTH,all,26,7.001884939174552e-05,1901
ES,RTH,all,78,7.309350112673421e-05,1901
ES,RTH,all,195,7.42477487974223e-05,1901
ES,RTH,all,390,7.438440404845322e-05,1901
ES,RTH,y2016,13,4.291121988206741e-05,239
ES,RTH,y2016,26,4.2500960021687874e-05,239
ES,RTH,y2016,78,4.376460630467139e-05,239
ES,RTH,y2016,195,4.519874731179615e-05,239
ES,RTH,y2016,390,4.76677518728092e-05,239
ES,RTH,y2017,13,1.208558155870851e-05,237
ES,RTH,y2017,26,1.186138890325709e-05,237
ES,RTH,y2017,78,1.2653220723668952e-05,237
ES,RTH,y2017,195,1.3635306141959159e-05,237
ES,RTH,y2017,390,1.534216862994996e-05,237
ES,RTH,y2018,13,7.577613039217376e-05,236
ES,RTH,y2018,26,7.331803081185177e-05,236
ES,RTH,y2018,78,7.717538618501663e-05,236
ES,RTH,y2018,195,7.700584194597852e-05,236
ES,RTH,y2018,390,7.93970422290126e-05,236
ES,RTH,y2019,13,3.4092647210462386e-05,237
ES,RTH,y2019,26,3.380877307481383e-05,237
ES,RTH,y2019,78,3.577758189473143e-05,237
ES,RTH,y2019,195,3.702143164315165e-05,237
ES,RTH,y2019,390,3.785223038954358e-05,237
ES,RTH,y2020,13,0.00015984403361934713,239
ES,RTH,y2020,26,0.00017326780799631223,239
ES,RTH,y2020,78,0.00018608150735812483,239
ES,RTH,y2020,195,0.00019147206950656154,239
ES,RTH,y2020,390,0.00018693543817696915,239
ES,RTH,y2021,13,4.2362301060009284e-05,239
ES,RTH,y2021,26,4.323539779228099e-05,239
ES,RTH,y2021,78,4.342659386841233e-05,239
ES,RTH,y2021,195,4.295534286894167e-05,239
ES,RTH,y2021,390,4.3120458055347755e-05,239
ES,RTH,y2022,13,0.00013830741903205805,238
ES,RTH,y2022,26,0.00013440133000403853,238
ES,RTH,y2022,78,0.0001371928568138849,238
ES,RTH,y2022,195,0.00013851459604458902,238
ES,RTH,y2022,390,0.0001361798173181683,238
ES,RTH,y2023,13,4.650598951483517e-05,236
ES,RTH,y2023,26,4.698913925292391e-05,236
ES,RTH,y2023,78,4.786092059336217e-05,236
ES,RTH,y2023,195,4.732550375296977e-05,236
ES,RTH,y2023,390,4.776792009997224e-05,236
ES,RTH,terc1,13,9.126337978182356e-06,634
ES,RTH,terc1,26,1.1134126759272103e-05,634
ES,RTH,terc1,78,1.288652926079534e-05,634
ES,RTH,terc1,195,1.4027665516227627e-05,634
ES,RTH,terc1,390,1.5233423201049692e-05,634
ES,RTH,terc2,13,3.0940550849444806e-05,633
ES,RTH,terc2,26,3.3492294546311716e-05,633
ES,RTH,terc2,78,3.5421875949235826e-05,633
ES,RTH,terc2,195,3.675841705241686e-05,633
ES,RTH,terc2,390,3.757256423588577e-05,633
ES,RTH,terc3,13,0.00016708456596260498,634
ES,RTH,terc3,26,0.0001653725140071205,634
ES,RTH,terc3,78,0.00017091267920301453,634
ES,RTH,terc3,195,0.00017189803238553878,634
ES,RTH,terc3,390,0.00017028916186960315,634
NQ,GLOBEX,all,23,0.00018173552720573017,1901
NQ,GLOBEX,all,46,0.00018452426439894684,1901
NQ,GLOBEX,all,138,0.00018394339993633448,1901
NQ,GLOBEX,all,345,0.00018764709680159226,1901
NQ,GLOBEX,all,1380,0.00018902305970688445,1901
NQ,GLOBEX,y2016,23,0.00011726011966953116,239
NQ,GLOBEX,y2016,46,0.00011875506411317561,239
NQ,GLOBEX,y2016,138,0.00011467322196351123,239
NQ,GLOBEX,y2016,345,0.00011646484301362028,239
NQ,GLOBEX,y2016,1380,0.0001191717133998734,239
NQ,GLOBEX,y2017,23,3.678960503552407e-05,237
NQ,GLOBEX,y2017,46,3.709391404970134e-05,237
NQ,GLOBEX,y2017,138,3.668300515174115e-05,237
NQ,GLOBEX,y2017,345,3.671817298572757e-05,237
NQ,GLOBEX,y2017,1380,3.874542823981571e-05,237
NQ,GLOBEX,y2018,23,0.00018733187221604545,236
NQ,GLOBEX,y2018,46,0.00019040157076139603,236
NQ,GLOBEX,y2018,138,0.0001864250196207943,236
NQ,GLOBEX,y2018,345,0.00019119909109774181,236
NQ,GLOBEX,y2018,1380,0.00019670227714791206,236
NQ,GLOBEX,y2019,23,0.00010432998113328727,237
