ny_min,sum,count,rate
0,0,3842,0.0
1,0,3821,0.0
2,0,3819,0.0
3,2,3788,0.0005279831045406547
4,0,3797,0.0
5,0,3815,0.0
6,0,3805,0.0
7,0,3802,0.0
8,0,3810,0.0
9,0,3805,0.0
10,0,3805,0.0
11,0,3806,0.0
12,0,3797,0.0
13,0,3788,0.0
14,0,3783,0.0
15,0,3780,0.0
16,0,3781,0.0
17,0,3766,0.0
18,1,3769,0.0002653223666755107
19,0,3779,0.0
20,0,3775,0.0
21,0,3779,0.0
22,0,3765,0.0
23,0,3774,0.0
24,0,3765,0.0
25,0,3777,0.0
26,0,3772,0.0
27,0,3778,0.0
28,0,3765,0.0
29,0,3792,0.0
30,0,3810,0.0
31,0,3779,0.0
32,0,3780,0.0
33,2,3778,0.0005293806246691371
34,0,3788,0.0
35,0,3798,0.0
36,0,3765,0.0
37,0,3785,0.0
38,0,3768,0.0
39,0,3770,0.0
40,0,3784,0.0
41,0,3774,0.0
42,0,3763,0.0
43,0,3768,0.0
44,0,3769,0.0
45,0,3798,0.0
46,0,3778,0.0
47,0,3777,0.0
48,0,3783,0.0
49,0,3777,0.0
50,0,3775,0.0
51,0,3764,0.0
52,0,3760,0.0
53,0,3777,0.0
54,0,3778,0.0
55,0,3775,0.0
56,0,3770,0.0
57,0,3768,0.0
58,2,3781,0.0005289605924358636
59,1,3808,0.0002626050420168067
60,0,3844,0.0
61,0,3832,0.0
62,0,3816,0.0
63,0,3805,0.0
64,0,3807,0.0
65,0,3817,0.0
66,1,3812,0.00026232948583420777
67,0,3803,0.0
68,0,3805,0.0
69,0,3810,0.0
70,0,3819,0.0
71,0,3828,0.0
72,0,3802,0.0
73,1,3789,0.0002639218791237794
74,0,3811,0.0
75,0,3811,0.0
76,0,3813,0.0
77,0,3795,0.0
78,0,3815,0.0
79,2,3802,0.0005260389268805891
80,0,3811,0.0
81,0,3800,0.0
82,0,3811,0.0
83,0,3784,0.0
84,0,3808,0.0
85,0,3801,0.0
86,0,3787,0.0
87,0,3794,0.0
88,0,3824,0.0
89,0,3813,0.0
90,0,3831,0.0
91,0,3813,0.0
92,0,3803,0.0
93,0,3795,0.0
94,0,3794,0.0
95,0,3815,0.0
96,0,3802,0.0
97,0,3815,0.0
98,0,3793,0.0
99,0,3789,0.0
100,0,3814,0.0
101,0,3806,0.0
102,0,3786,0.0
103,0,3812,0.0
104,0,3792,0.0
105,0,3811,0.0
106,0,3786,0.0
107,0,3794,0.0
108,0,3815,0.0
109,0,3809,0.0
110,0,3831,0.0
111,0,3814,0.0
112,0,3808,0.0
113,0,3809,0.0
114,0,3808,0.0
115,0,3822,0.0
116,0,3811,0.0
117,0,3825,0.0
118,0,3843,0.0
119,0,3864,0.0
120,0,3867,0.0
121,2,3865,0.000517464424320828
122,0,3863,0.0
123,0,3856,0.0
124,0,3856,0.0
125,0,3861,0.0
126,0,3861,0.0
127,0,3857,0.0
128,2,3862,0.0005178663904712584
129,0,3858,0.0
130,0,3859,0.0
131,0,3851,0.0
132,0,3854,0.0
133,0,3846,0.0
134,0,3856,0.0
135,0,3855,0.0
136,2,3847,0.0005198856251624642
137,1,3844,0.00026014568158168577
138,0,3842,0.0
139,0,3850,0.0
140,0,3851,0.0
141,0,3844,0.0
142,0,3850,0.0
143,0,3847,0.0
144,0,3846,0.0
145,0,3849,0.0
146,0,3837,0.0
147,0,3839,0.0
148,0,3842,0.0
149,0,3842,0.0
150,0,3861,0.0
151,0,3855,0.0
152,0,3851,0.0
153,0,3855,0.0
154,0,3843,0.0
155,0,3846,0.0
156,0,3839,0.0
157,0,3845,0.0
158,1,3844,0.00026014568158168577
159,0,3835,0.0
160,0,3850,0.0
161,0,3845,0.0
162,0,3841,0.0
163,0,3846,0.0
164,0,3853,0.0
165,0,3849,0.0
166,0,3845,0.0
167,2,3841,0.000520697734964853
168,0,3848,0.0
169,0,3848,0.0
170,0,3853,0.0
171,0,3837,0.0
172,0,3850,0.0
173,0,3848,0.0
174,0,3860,0.0
175,2,3846,0.0005200208008320333
176,0,3846,0.0
177,1,3856,0.00025933609958506224
178,0,3855,0.0
179,2,3866,0.0005173305742369374
180,2,3867,0.000517196793379881
181,1,3868,0.0002585315408479835
182,0,3865,0.0
183,0,3868,0.0
184,1,3868,0.0002585315408479835
185,0,3866,0.0
186,0,3866,0.0
187,1,3867,0.0002585983966899405
188,0,3867,0.0
189,0,3868,0.0
190,2,3867,0.000517196793379881
191,2,3868,0.000517063081695967
192,1,3867,0.0002585983966899405
193,2,3863,0.0005177323323841574
194,0,3863,0.0
195,0,3866,0.0
196,0,3864,0.0
197,2,3867,0.000517196793379881
198,0,3866,0.0
199,0,3865,0.0
200,0,3865,0.0
201,2,3863,0.0005177323323841574
202,0,3867,0.0
203,0,3866,0.0
204,0,3867,0.0
205,0,3864,0.0
206,1,3866,0.0002586652871184687
207,0,3866,0.0
208,1,3865,0.000258732212160414
209,1,3867,0.0002585983966899405
210,0,3867,0.0
211,0,3865,0.0
212,0,3864,0.0
213,0,3864,0.0
214,0,3863,0.0
215,0,3861,0.0
216,0,3860,0.0
217,0,3865,0.0
218,0,3862,0.0
219,0,3867,0.0
220,0,3862,0.0
221,0,3863,0.0
222,0,3863,0.0
223,0,3862,0.0
224,0,3864,0.0
225,0,3865,0.0
226,0,3865,0.0
227,0,3866,0.0
228,0,3862,0.0
229,0,3863,0.0
230,0,3863,0.0
231,0,3863,0.0
232,1,3864,0.0002587991718426501
233,0,3864,0.0
234,0,3865,0.0
235,0,3862,0.0
236,0,3861,0.0
237,2,3861,0.000518000518000518
238,0,3863,0.0
239,0,3866,0.0
240,2,3869,0.0005169294391315585
241,0,3868,0.0
242,0,3865,0.0
243,1,3863,0.0002588661661920787
244,0,3864,0.0
245,0,3866,0.0
246,2,3865,0.000517464424320828
247,2,3864,0.0005175983436853002
248,0,3861,0.0
249,0,3857,0.0
250,0,3865,0.0
251,0,3862,0.0
252,0,3864,0.0
253,0,3865,0.0
254,0,3863,0.0
255,0,3867,0.0
256,0,3866,0.0
257,0,3863,0.0
258,0,3866,0.0
259,0,3866,0.0
260,0,3865,0.0
261,0,3868,0.0
262,0,3863,0.0
263,1,3866,0.0002586652871184687
264,0,3864,0.0
265,0,3865,0.0
266,0,3867,0.0
267,0,3866,0.0
268,0,3862,0.0
269,0,3862,0.0
270,2,3866,0.0005173305742369374
271,1,3865,0.000258732212160414
272,0,3862,0.0
273,0,3861,0.0
274,0,3862,0.0
275,0,3866,0.0
276,0,3861,0.0
277,0,3862,0.0
278,0,3861,0.0
279,2,3864,0.0005175983436853002
280,1,3864,0.0002587991718426501
281,0,3863,0.0
282,0,3862,0.0
283,0,3863,0.0
284,0,3855,0.0
285,0,3865,0.0
286,0,3866,0.0
287,0,3864,0.0
288,0,3862,0.0
289,0,3865,0.0
290,0,3864,0.0
291,0,3860,0.0
292,0,3862,0.0
293,0,3864,0.0
294,0,3861,0.0
295,2,3859,0.0005182689816014512
296,0,3861,0.0
297,0,3857,0.0
298,0,3858,0.0
299,0,3861,0.0
300,0,3866,0.0
301,1,3862,0.0002589331952356292
302,2,3866,0.0005173305742369374
303,2,3862,0.0005178663904712584
304,1,3863,0.0002588661661920787
305,0,3861,0.0
306,0,3858,0.0
307,1,3859,0.0002591344908007256
308,0,3861,0.0
309,0,3859,0.0
310,0,3856,0.0
311,2,3856,0.0005186721991701245
312,0,3861,0.0
313,0,3860,0.0
314,0,3861,0.0
315,0,3857,0.0
316,0,3860,0.0
317,0,3861,0.0
318,0,3860,0.0
319,0,3860,0.0
320,0,3862,0.0
321,0,3862,0.0
322,0,3863,0.0
323,0,3862,0.0
324,0,3857,0.0
325,0,3865,0.0
326,0,3861,0.0
327,0,3857,0.0
328,0,3851,0.0
329,0,3860,0.0
330,0,3865,0.0
331,0,3862,0.0
332,0,3860,0.0
333,0,3860,0.0
334,0,3857,0.0
335,0,3860,0.0
336,2,3857,0.0005185377236193933
337,0,3860,0.0
338,0,3859,0.0
339,0,3860,0.0
340,0,3859,0.0
341,0,3859,0.0
342,0,3859,0.0
343,0,3858,0.0
344,0,3861,0.0
345,0,3862,0.0
346,0,3860,0.0
347,2,3860,0.0005181347150259067
348,0,3861,0.0
349,0,3860,0.0
350,0,3860,0.0
351,0,3861,0.0
352,2,3865,0.000517464424320828
353,2,3859,0.0005182689816014512
354,0,3861,0.0
355,0,3858,0.0
356,0,3858,0.0
357,0,3861,0.0
358,0,3859,0.0
359,0,3860,0.0
360,0,3865,0.0
361,0,3867,0.0
362,2,3865,0.000517464424320828
363,0,3862,0.0
364,0,3856,0.0
365,0,3867,0.0
366,0,3862,0.0
367,0,3859,0.0
368,0,3861,0.0
369,0,3857,0.0
370,0,3865,0.0
371,0,3858,0.0
372,0,3861,0.0
373,0,3859,0.0
374,0,3859,0.0
375,0,3857,0.0
376,0,3859,0.0
377,0,3859,0.0
378,0,3861,0.0
379,0,3861,0.0
380,0,3864,0.0
381,0,3861,0.0
382,0,3861,0.0
383,0,3859,0.0
384,0,3857,0.0
385,0,3863,0.0
386,0,3861,0.0
387,0,3860,0.0
388,0,3860,0.0
389,0,3864,0.0
390,0,3858,0.0
391,0,3858,0.0
392,2,3859,0.0005182689816014512
