ny_min,sum,count,rate
0,0,3874,0.0
1,0,3853,0.0
2,0,3851,0.0
3,2,3820,0.0005235602094240838
4,0,3829,0.0
5,0,3847,0.0
6,0,3837,0.0
7,0,3834,0.0
8,0,3842,0.0
9,0,3837,0.0
10,0,3837,0.0
11,0,3838,0.0
12,0,3829,0.0
13,0,3820,0.0
14,0,3815,0.0
15,0,3812,0.0
16,0,3812,0.0
17,0,3798,0.0
18,1,3801,0.00026308866087871614
19,0,3811,0.0
20,0,3807,0.0
21,0,3811,0.0
22,0,3797,0.0
23,0,3806,0.0
24,0,3797,0.0
25,0,3809,0.0
26,0,3804,0.0
27,0,3810,0.0
28,0,3797,0.0
29,0,3824,0.0
30,0,3842,0.0
31,0,3810,0.0
32,0,3811,0.0
33,2,3810,0.0005249343832020997
34,0,3820,0.0
35,0,3830,0.0
36,0,3797,0.0
37,0,3815,0.0
38,0,3800,0.0
39,0,3802,0.0
40,0,3816,0.0
41,0,3806,0.0
42,0,3795,0.0
43,0,3800,0.0
44,0,3801,0.0
45,0,3830,0.0
46,0,3810,0.0
47,0,3809,0.0
48,0,3815,0.0
49,0,3809,0.0
50,0,3807,0.0
51,0,3796,0.0
52,0,3792,0.0
53,0,3809,0.0
54,0,3810,0.0
55,0,3807,0.0
56,0,3802,0.0
57,0,3800,0.0
58,2,3813,0.0005245213742460005
59,1,3840,0.00026041666666666666
60,0,3876,0.0
61,0,3864,0.0
62,0,3848,0.0
63,0,3837,0.0
64,0,3839,0.0
65,0,3849,0.0
66,1,3844,0.00026014568158168577
67,0,3835,0.0
68,0,3837,0.0
69,0,3842,0.0
70,0,3851,0.0
71,0,3859,0.0
72,0,3834,0.0
73,1,3821,0.00026171159382360636
74,0,3843,0.0
75,0,3843,0.0
76,0,3845,0.0
77,0,3827,0.0
78,0,3847,0.0
79,2,3834,0.0005216484089723526
80,0,3843,0.0
81,0,3832,0.0
82,0,3843,0.0
83,0,3816,0.0
84,0,3840,0.0
85,0,3833,0.0
86,0,3818,0.0
87,0,3825,0.0
88,0,3855,0.0
89,0,3845,0.0
90,0,3863,0.0
91,0,3845,0.0
92,0,3835,0.0
93,0,3827,0.0
94,0,3826,0.0
95,0,3847,0.0
96,0,3833,0.0
97,0,3847,0.0
98,0,3825,0.0
99,0,3821,0.0
100,0,3846,0.0
101,0,3837,0.0
102,0,3818,0.0
103,0,3844,0.0
