ny_min,sum,count,rate
0,0,3776,0.0
1,0,3755,0.0
2,0,3753,0.0
3,2,3722,0.0005373455131649651
4,0,3731,0.0
5,0,3749,0.0
6,0,3741,0.0
7,0,3736,0.0
8,0,3744,0.0
9,0,3741,0.0
10,0,3739,0.0
11,0,3740,0.0
12,0,3731,0.0
13,0,3725,0.0
14,0,3717,0.0
15,0,3715,0.0
16,0,3716,0.0
17,0,3702,0.0
18,1,3706,0.0002698327037236913
19,0,3714,0.0
20,0,3711,0.0
21,0,3714,0.0
22,0,3700,0.0
23,0,3710,0.0
24,0,3701,0.0
25,0,3718,0.0
26,0,3708,0.0
27,0,3712,0.0
28,0,3701,0.0
29,0,3727,0.0
30,0,3744,0.0
31,0,3712,0.0
32,0,3715,0.0
33,1,3714,0.00026925148088314486
34,0,3723,0.0
35,0,3735,0.0
36,0,3702,0.0
37,0,3716,0.0
38,0,3707,0.0
39,0,3704,0.0
40,0,3719,0.0
41,0,3709,0.0
42,0,3700,0.0
43,0,3705,0.0
44,0,3706,0.0
45,0,3736,0.0
46,0,3716,0.0
47,0,3714,0.0
48,0,3719,0.0
49,0,3714,0.0
50,0,3710,0.0
51,0,3698,0.0
52,0,3697,0.0
53,0,3712,0.0
54,0,3712,0.0
55,0,3710,0.0
56,0,3706,0.0
57,0,3705,0.0
58,2,3717,0.0005380683346785041
59,1,3743,0.0002671653753673524
60,0,3777,0.0
61,0,3767,0.0
62,0,3749,0.0
63,0,3742,0.0
64,0,3741,0.0
65,0,3751,0.0
66,1,3745,0.000267022696929239
67,0,3740,0.0
68,0,3739,0.0
69,0,3744,0.0
70,0,3755,0.0
71,0,3760,0.0
72,0,3736,0.0
73,1,3726,0.00026838432635534085
74,0,3746,0.0
75,0,3746,0.0
76,0,3747,0.0
77,0,3731,0.0
78,0,3749,0.0
79,2,3737,0.0005351886540005352
80,0,3745,0.0
81,0,3734,0.0
82,0,3744,0.0
83,0,3718,0.0
84,0,3741,0.0
85,0,3735,0.0
86,0,3720,0.0
87,0,3726,0.0
88,0,3756,0.0
89,0,3747,0.0
90,0,3765,0.0
91,0,3747,0.0
92,0,3738,0.0
93,0,3730,0.0
94,0,3728,0.0
95,0,3748,0.0
96,0,3736,0.0
97,0,3750,0.0
98,0,3727,0.0
99,0,3722,0.0
100,0,3748,0.0
101,0,3739,0.0
102,0,3720,0.0
103,0,3747,0.0
104,0,3726,0.0
105,0,3744,0.0
106,0,3722,0.0
107,0,3731,0.0
108,0,3748,0.0
109,0,3741,0.0
110,0,3765,0.0
111,0,3747,0.0
112,0,3743,0.0
113,0,3743,0.0
114,0,3742,0.0
115,0,3757,0.0
116,0,3744,0.0
117,0,3758,0.0
118,0,3776,0.0
119,0,3797,0.0
120,0,3800,0.0
121,2,3798,0.000526592943654555
122,0,3796,0.0
123,0,3789,0.0
124,0,3789,0.0
125,0,3794,0.0
126,0,3795,0.0
127,0,3790,0.0
128,2,3795,0.0005270092226613965
129,0,3791,0.0
130,0,3792,0.0
131,0,3784,0.0
132,0,3787,0.0
133,0,3779,0.0
134,0,3789,0.0
135,0,3789,0.0
136,2,3780,0.0005291005291005291
137,1,3777,0.00026476039184537993
138,0,3776,0.0
139,0,3783,0.0
140,0,3785,0.0
141,0,3777,0.0
142,0,3783,0.0
143,0,3781,0.0
144,0,3780,0.0
145,0,3782,0.0
146,0,3770,0.0
147,0,3772,0.0
148,0,3775,0.0
149,0,3775,0.0
150,0,3794,0.0
151,0,3788,0.0
152,0,3785,0.0
153,0,3788,0.0
154,0,3776,0.0
155,0,3780,0.0
156,0,3771,0.0
157,0,3778,0.0
158,1,3777,0.00026476039184537993
159,0,3769,0.0
160,0,3784,0.0
161,0,3778,0.0
162,0,3774,0.0
163,0,3779,0.0
164,0,3786,0.0
165,0,3782,0.0
166,0,3778,0.0
167,2,3776,0.0005296610169491525
168,0,3780,0.0
169,0,3782,0.0
170,0,3786,0.0
171,0,3771,0.0
172,0,3784,0.0
173,0,3782,0.0
174,0,3794,0.0
175,2,3780,0.0005291005291005291
176,0,3779,0.0
177,1,3789,0.0002639218791237794
178,0,3789,0.0
179,2,3799,0.0005264543300868649
180,2,3800,0.0005263157894736842
181,1,3801,0.00026308866087871614
182,0,3798,0.0
183,0,3801,0.0
184,1,3802,0.0002630194634402946
185,0,3799,0.0
186,0,3799,0.0
187,1,3800,0.0002631578947368421
188,0,3800,0.0
189,0,3801,0.0
190,2,3800,0.0005263157894736842
191,2,3801,0.0005261773217574323
192,1,3800,0.0002631578947368421
193,2,3796,0.0005268703898840885
194,0,3796,0.0
195,0,3799,0.0
196,0,3798,0.0
197,2,3800,0.0005263157894736842
198,0,3799,0.0
199,0,3798,0.0
200,0,3798,0.0
201,1,3797,0.0002633658151171978
202,0,3800,0.0
203,0,3800,0.0
204,0,3800,0.0
205,0,3797,0.0
206,1,3799,0.00026322716504343247
207,0,3800,0.0
208,1,3798,0.0002632964718272775
209,1,3800,0.0002631578947368421
210,0,3800,0.0
211,0,3798,0.0
212,0,3797,0.0
213,0,3797,0.0
214,0,3796,0.0
215,0,3794,0.0
216,0,3793,0.0
217,0,3798,0.0
218,0,3795,0.0
219,0,3800,0.0
220,0,3795,0.0
221,0,3796,0.0
222,0,3797,0.0
223,0,3795,0.0
224,0,3797,0.0
225,0,3798,0.0
226,0,3798,0.0
227,0,3799,0.0
228,0,3796,0.0
229,0,3797,0.0
230,0,3796,0.0
231,0,3796,0.0
232,1,3797,0.0002633658151171978
233,0,3797,0.0
234,0,3799,0.0
235,0,3797,0.0
236,0,3795,0.0
237,2,3795,0.0005270092226613965
238,0,3796,0.0
239,0,3799,0.0
240,2,3802,0.0005260389268805891
241,0,3801,0.0
242,0,3798,0.0
243,1,3796,0.00026343519494204424
244,0,3797,0.0
245,0,3799,0.0
246,2,3799,0.0005264543300868649
247,2,3798,0.000526592943654555
248,0,3795,0.0
249,0,3791,0.0
250,0,3798,0.0
251,0,3796,0.0
252,0,3797,0.0
253,0,3798,0.0
254,0,3796,0.0
255,0,3800,0.0
256,0,3799,0.0
257,0,3796,0.0
258,0,3799,0.0
259,0,3799,0.0
260,0,3798,0.0
261,0,3801,0.0
262,0,3796,0.0
263,1,3799,0.00026322716504343247
264,0,3798,0.0
265,0,3798,0.0
266,0,3800,0.0
267,0,3799,0.0
268,0,3795,0.0
269,0,3795,0.0
270,2,3799,0.0005264543300868649
271,1,3798,0.0002632964718272775
272,0,3796,0.0
273,0,3795,0.0
274,0,3795,0.0
275,0,3800,0.0
276,0,3795,0.0
277,0,3795,0.0
278,0,3795,0.0
279,2,3798,0.000526592943654555
280,1,3797,0.0002633658151171978
281,0,3796,0.0
282,0,3795,0.0
283,0,3796,0.0
284,0,3788,0.0
285,0,3798,0.0
286,0,3799,0.0
287,0,3797,0.0
288,0,3795,0.0
289,0,3798,0.0
290,0,3798,0.0
291,0,3793,0.0
292,0,3795,0.0
293,0,3797,0.0
294,0,3794,0.0
295,2,3792,0.0005274261603375527
296,0,3794,0.0
297,0,3790,0.0
298,0,3791,0.0
299,0,3794,0.0
300,0,3799,0.0
301,1,3795,0.00026350461133069827
302,2,3799,0.0005264543300868649
303,2,3795,0.0005270092226613965
304,1,3796,0.00026343519494204424
305,0,3794,0.0
306,0,3792,0.0
307,0,3793,0.0
308,0,3796,0.0
309,0,3793,0.0
310,0,3789,0.0
311,2,3789,0.0005278437582475588
312,0,3794,0.0
313,0,3793,0.0
314,0,3794,0.0
315,0,3790,0.0
316,0,3793,0.0
317,0,3795,0.0
318,0,3793,0.0
319,0,3795,0.0
320,0,3795,0.0
321,0,3795,0.0
322,0,3797,0.0
323,0,3795,0.0
324,0,3790,0.0
325,0,3798,0.0
326,0,3794,0.0
327,0,3790,0.0
328,0,3784,0.0
329,0,3793,0.0
330,0,3798,0.0
331,0,3795,0.0
332,0,3795,0.0
333,0,3794,0.0
334,0,3791,0.0
335,0,3793,0.0
336,2,3791,0.0005275652862041678
337,0,3793,0.0
338,0,3792,0.0
339,0,3794,0.0
340,0,3792,0.0
341,0,3793,0.0
342,0,3793,0.0
343,0,3793,0.0
344,0,3794,0.0
345,0,3796,0.0
346,0,3793,0.0
347,2,3795,0.0005270092226613965
348,0,3794,0.0
349,0,3793,0.0
350,0,3794,0.0
351,0,3796,0.0
352,2,3798,0.000526592943654555
353,2,3792,0.0005274261603375527
354,0,3795,0.0
355,0,3791,0.0
356,0,3792,0.0
357,0,3794,0.0
358,0,3793,0.0
359,0,3793,0.0
360,0,3798,0.0
361,0,3800,0.0
362,2,3798,0.000526592943654555
363,0,3795,0.0
364,0,3790,0.0
365,0,3800,0.0
366,0,3796,0.0
367,0,3793,0.0
368,0,3794,0.0
369,0,3791,0.0
370,0,3798,0.0
371,0,3793,0.0
372,0,3794,0.0
373,0,3793,0.0
374,0,3794,0.0
375,0,3792,0.0
376,0,3793,0.0
377,0,3792,0.0
378,0,3794,0.0
379,0,3795,0.0
380,0,3797,0.0
381,0,3795,0.0
382,0,3794,0.0
383,0,3794,0.0
384,0,3790,0.0
385,0,3796,0.0
386,0,3796,0.0
387,0,3793,0.0
388,0,3794,0.0
389,0,3797,0.0
390,0,3791,0.0
391,0,3791,0.0
392,2,3793,0.0005272871078302136
393,0,3791,0.0
394,0,3788,0.0
395,0,3795,0.0
396,0,3792,0.0
397,0,3793,0.0
398,0,3793,0.0
399,0,3794,0.0
400,1,3790,0.0002638522427440633
401,0,3794,0.0
402,0,3792,0.0
403,0,3791,0.0
404,1,3790,0.0002638522427440633
405,2,3793,0.0005272871078302136
406,0,3795,0.0
407,0,3793,0.0
408,0,3793,0.0
409,0,3795,0.0
410,0,3795,0.0
411,0,3792,0.0
412,0,3794,0.0
413,0,3794,0.0
414,2,3791,0.0005275652862041678
415,1,3795,0.00026350461133069827
416,1,3794,0.0002635740643120717
417,1,3795,0.00026350461133069827
418,0,3798,0.0
419,0,3796,0.0
420,2,3800,0.0005263157894736842
421,0,3798,0.0
422,0,3799,0.0
423,0,3800,0.0
424,0,3796,0.0
425,0,3796,0.0
426,0,3795,0.0
427,0,3793,0.0
428,1,3794,0.0002635740643120717
429,1,3794,0.0002635740643120717
430,1,3797,0.0002633658151171978
431,1,3797,0.0002633658151171978
432,0,3797,0.0
433,0,3793,0.0
434,0,3794,0.0
435,0,3800,0.0
436,0,3799,0.0
437,0,3798,0.0
438,0,3798,0.0
439,0,3795,0.0
440,0,3796,0.0
441,0,3797,0.0
442,0,3797,0.0
443,0,3795,0.0
444,1,3798,0.0002632964718272775
445,0,3798,0.0
446,2,3795,0.0005270092226613965
447,0,3798,0.0
448,0,3795,0.0
449,2,3796,0.0005268703898840885
450,1,3798,0.0002632964718272775
451,0,3798,0.0
452,0,3799,0.0
453,0,3794,0.0
454,0,3798,0.0
455,0,3797,0.0
456,1,3795,0.00026350461133069827
457,1,3797,0.0002633658151171978
458,0,3795,0.0
