root,geom,btag,horizon,scheme,n_obs,pvals,mcs75,mcs90
ES,GLOBEX,B0,1day,S-A,1453,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M5_RGARCH"": 0.8308, ""M3_HARJ"": 0.8308, ""M2_HAR"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES,GLOBEX,B0,1day,S-B_q0.80,291,"{""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M1_EWMA"": 0.0001, ""M2_HAR"": 0.0001, ""M3_HARJ"": 0.0001, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}",M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH
ES,GLOBEX,B0,1day,S-C_q0.80,291,"{""M1_EWMA"": 0.0059, ""M6_PARK"": 0.0333, ""M6_GK"": 0.0333, ""M2_HAR"": 0.7284, ""M3_HARJ"": 0.7284, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES,GLOBEX,B0,1day,S-B_q0.90,146,"{""M1_EWMA"": 0.0001, ""M6_GK"": 0.0001, ""M6_PARK"": 0.0001, ""M2_HAR"": 0.0001, ""M3_HARJ"": 0.0001, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}",M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH
ES,GLOBEX,B0,1day,S-C_q0.90,146,"{""M1_EWMA"": 0.013, ""M6_PARK"": 0.1266, ""M6_GK"": 0.1266, ""M3_HARJ"": 0.7741, ""M2_HAR"": 0.7741, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK
ES,GLOBEX,B0,1h,S-A,40996,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B0,1h,S-B_q0.80,8199,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B0,1h,S-C_q0.80,8199,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B0,1h,S-B_q0.90,4100,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
ES,GLOBEX,B0,1h,S-C_q0.90,4100,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
