root,geom,btag,horizon,M,year,tercile,n,estimator,lam
ES,GLOBEX,B0,1day,23,2016,1,94,E1_a_exp_L1-5,0.3586505493281075
ES,GLOBEX,B0,1day,23,2016,1,94,E1_d_model_L1-5,0.9284350767358932
ES,GLOBEX,B0,1day,23,2016,1,94,E1_a_exp_L1-10,0.28523171331745206
ES,GLOBEX,B0,1day,23,2016,1,94,E1_d_model_L1-10,0.8657050710241605
ES,GLOBEX,B0,1day,23,2016,1,94,E2,0.42753536980906515
ES,GLOBEX,B0,1day,23,2016,1,94,E4,0.689763079144011
ES,GLOBEX,B0,1day,23,2016,2,101,E1_a_exp_L1-5,-0.10711918790486685
ES,GLOBEX,B0,1day,23,2016,2,101,E1_d_model_L1-5,1.0836649214250347
ES,GLOBEX,B0,1day,23,2016,2,101,E1_a_exp_L1-10,-0.023795820981289986
ES,GLOBEX,B0,1day,23,2016,2,101,E1_d_model_L1-10,-0.026463754382777732
ES,GLOBEX,B0,1day,23,2016,2,101,E2,-0.8260875302523624
ES,GLOBEX,B0,1day,23,2016,2,101,E4,0.5662754397139829
ES,GLOBEX,B0,1day,23,2016,3,50,E1_a_exp_L1-5,0.4845384505895241
ES,GLOBEX,B0,1day,23,2016,3,50,E1_d_model_L1-5,-0.3876781738827327
ES,GLOBEX,B0,1day,23,2016,3,50,E1_a_exp_L1-10,0.07215200473804588
ES,GLOBEX,B0,1day,23,2016,3,50,E1_d_model_L1-10,-0.3882840919884757
ES,GLOBEX,B0,1day,23,2016,3,50,E2,0.6152376233440575
ES,GLOBEX,B0,1day,23,2016,3,50,E4,0.8430653750932506
ES,GLOBEX,B0,1day,23,2016,0,245,E1_a_exp_L1-5,0.7015322774164907
ES,GLOBEX,B0,1day,23,2016,0,245,E1_d_model_L1-5,0.8869663704028425
ES,GLOBEX,B0,1day,23,2016,0,245,E1_a_exp_L1-10,0.6628824277999104
ES,GLOBEX,B0,1day,23,2016,0,245,E1_d_model_L1-10,0.9502004987207734
ES,GLOBEX,B0,1day,23,2016,0,245,E2,0.849740818623799
ES,GLOBEX,B0,1day,23,2016,0,245,E4,0.9087649082794462
ES,GLOBEX,B0,1day,23,2017,1,204,E1_a_exp_L1-5,0.3456949053174344
ES,GLOBEX,B0,1day,23,2017,1,204,E1_d_model_L1-5,0.5899137692939543
ES,GLOBEX,B0,1day,23,2017,1,204,E1_a_exp_L1-10,0.3415240035353653
ES,GLOBEX,B0,1day,23,2017,1,204,E1_d_model_L1-10,0.8677769386934072
ES,GLOBEX,B0,1day,23,2017,1,204,E2,0.29337840951171473
ES,GLOBEX,B0,1day,23,2017,1,204,E4,0.7339716301761946
ES,GLOBEX,B0,1day,23,2017,2,37,E1_a_exp_L1-5,-1.0231111067937533
ES,GLOBEX,B0,1day,23,2017,2,37,E1_d_model_L1-5,0.7892140628808914
ES,GLOBEX,B0,1day,23,2017,2,37,E1_a_exp_L1-10,-1.0236547364847715
ES,GLOBEX,B0,1day,23,2017,2,37,E1_d_model_L1-10,0.7892459751196716
ES,GLOBEX,B0,1day,23,2017,2,37,E2,-3.770950624714969
ES,GLOBEX,B0,1day,23,2017,2,37,E4,0.2178371994102105
ES,GLOBEX,B0,1day,23,2017,0,243,E1_a_exp_L1-5,0.4900595799341032
ES,GLOBEX,B0,1day,23,2017,0,243,E1_d_model_L1-5,0.930459593141886
ES,GLOBEX,B0,1day,23,2017,0,243,E1_a_exp_L1-10,0.48144244172711953
ES,GLOBEX,B0,1day,23,2017,0,243,E1_d_model_L1-10,1.3457018517783776
ES,GLOBEX,B0,1day,23,2017,0,243,E2,0.3917386580458461
ES,GLOBEX,B0,1day,23,2017,0,243,E4,0.8161995963315748
ES,GLOBEX,B0,1day,23,2018,1,80,E1_a_exp_L1-5,0.2415859800379643
ES,GLOBEX,B0,1day,23,2018,1,80,E1_d_model_L1-5,0.3603610191126088
ES,GLOBEX,B0,1day,23,2018,1,80,E1_a_exp_L1-10,0.1388404173925471
ES,GLOBEX,B0,1day,23,2018,1,80,E1_d_model_L1-10,0.21763427575698757
ES,GLOBEX,B0,1day,23,2018,1,80,E2,-0.03759456513425409
ES,GLOBEX,B0,1day,23,2018,1,80,E4,0.6241083144754945
ES,GLOBEX,B0,1day,23,2018,2,81,E1_a_exp_L1-5,0.20739292524818
