root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
ES,GLOBEX,B0,1day,23,0,0,1953,0.7576333691691021,0.7769867321246533,0.9682530703428514,0.8829054960446913,0.7892128372306398,0.932318376297791,0.21061970117374929
ES,GLOBEX,B0,1day,23,0,1,651,0.2560434522430528,0.27328114003800896,0.405678000513751,0.3706792322447086,0.34625480773638295,0.75456029969435,0.4985168474512972
ES,GLOBEX,B0,1day,23,0,2,651,0.1978405871089623,0.15551848666823453,0.4263218901490288,0.20744391023731912,-1.0808490084537532,0.530271537577281,1.6111205460310343
ES,GLOBEX,B0,1day,23,0,3,651,0.5379906754960366,0.5440179993645126,0.8251256064315986,0.7005279575105449,0.5176305128683562,0.8421906505699542,0.3245601377015981
ES,GLOBEX,B0,1day,23,2016,0,245,0.6628824277999104,0.7015322774164907,0.9502004987207734,0.8869663704028425,0.849740818623799,0.9087649082794462,0.28731807092086303
ES,GLOBEX,B0,1day,23,2016,1,94,0.28523171331745206,0.3586505493281075,0.8657050710241605,0.9284350767358932,0.42753536980906515,0.689763079144011,0.6432033634184411
ES,GLOBEX,B0,1day,23,2016,2,101,-0.023795820981289986,-0.10711918790486685,-0.026463754382777732,1.0836649214250347,-0.8260875302523624,0.5662754397139829,1.909752451677397
ES,GLOBEX,B0,1day,23,2016,3,50,0.07215200473804588,0.4845384505895241,-0.3882840919884757,-0.3876781738827327,0.6152376233440575,0.8430653750932506,1.2313494670817264
ES,GLOBEX,B0,1day,23,2017,0,243,0.48144244172711953,0.4900595799341032,1.3457018517783776,0.930459593141886,0.3917386580458461,0.8161995963315748,0.9539631937325315
ES,GLOBEX,B0,1day,23,2017,1,204,0.3415240035353653,0.3456949053174344,0.8677769386934072,0.5899137692939543,0.29337840951171473,0.7339716301761946,0.5743985291816924
ES,GLOBEX,B0,1day,23,2017,2,37,-1.0236547364847715,-1.0231111067937533,0.7892459751196716,0.7892140628808914,-3.770950624714969,0.2178371994102105,4.560196599834641
ES,GLOBEX,B0,1day,23,2018,0,243,0.7644618564099399,0.7791215826545131,1.19685983252122,0.9762678609735883,0.7749189553305063,0.9223004955265464,0.43239797611128017
ES,GLOBEX,B0,1day,23,2018,1,80,0.1388404173925471,0.2415859800379643,0.21763427575698757,0.3603610191126088,-0.03759456513425409,0.6241083144754945,0.6617028796097486
ES,GLOBEX,B0,1day,23,2018,2,81,0.2741818809334758,0.20739292524818,0.47472991544873566,0.18689129719331593,-1.17262062408584,0.630358196308703,1.802978820394543
ES,GLOBEX,B0,1day,23,2018,3,82,0.5568865090333744,0.603816452885825,3.0900703338493067,5.351317664676045,0.5645728397484895,0.7694299924758585,4.794431155642671
