nu,nsr,n,M,estimator,recovery,between_seed_sd
3.0,1e-05,390,13,E1_a_L1-10,1.000128708143864,0.0023108212845917363
3.0,1e-05,390,13,E1_a_L1-5,0.9994746033385843,0.0026362892440524293
3.0,1e-05,390,13,E1_d_L1-10,1.1328392161521676,0.004174832440292158
3.0,1e-05,390,13,E1_d_L1-5,1.062023071810073,0.003570296597610731
3.0,1e-05,390,13,E2,0.9993610871543324,0.003705494046593162
3.0,1e-05,390,13,E4,1.2334758501432348,0.004385343713605484
3.0,1e-05,390,26,E1_a_L1-10,0.9985927889986751,0.002890832187565447
3.0,1e-05,390,26,E1_a_L1-5,0.997913168380645,0.0027518605729122273
3.0,1e-05,390,26,E1_d_L1-10,1.131674093230444,0.004709202178738342
3.0,1e-05,390,26,E1_d_L1-5,1.0588815597771197,0.0030536617375042717
3.0,1e-05,390,26,E2,0.998532140875148,0.0036082545450381656
3.0,1e-05,390,26,E4,1.1609331017444584,0.0035525298159049513
3.0,1e-05,390,78,E1_a_L1-10,0.994438984541507,0.0016497167287619601
3.0,1e-05,390,78,E1_a_L1-5,0.9940161650733733,0.0022558236154392335
3.0,1e-05,390,78,E1_d_L1-10,1.1274681477095654,0.002860326355113419
3.0,1e-05,390,78,E1_d_L1-5,1.0537938374614177,0.003079451028929721
3.0,1e-05,390,78,E2,0.9941147964753503,0.002169275750020317
3.0,1e-05,390,78,E4,1.1253169808322652,0.0029142182537355596
3.0,1e-05,390,195,E1_a_L1-10,0.9859984277304712,0.0014986559245475338
3.0,1e-05,390,195,E1_a_L1-5,0.9858606376210762,0.0015824942064625032
3.0,1e-05,390,195,E1_d_L1-10,1.1180033038692199,0.0030488189886374584
3.0,1e-05,390,195,E1_d_L1-5,1.0449688473029117,0.0022240920570296896
3.0,1e-05,390,195,E2,0.9853384231655868,0.0017725312191420111
3.0,1e-05,390,195,E4,1.110027558419967,0.002631523803859732
3.0,1e-05,390,390,E1_a_L1-10,0.9729941540575752,0.001203086543789786
3.0,1e-05,390,390,E1_a_L1-5,0.9727295514678136,0.001588083703803038
3.0,1e-05,390,390,E1_d_L1-10,1.1025502494259969,0.002447655293513395
3.0,1e-05,390,390,E1_d_L1-5,1.0312366726267563,0.001786114226604502
3.0,1e-05,390,390,E2,0.9714350620422136,0.0016192822888103982
3.0,1e-05,390,390,E4,1.0938505550093418,0.002354129651826946
3.0,1e-05,1380,23,E1_a_L1-10,0.9980379286948539,0.002457692874993007
3.0,1e-05,1380,23,E1_a_L1-5,0.997823717997975,0.0026759673869599203
3.0,1e-05,1380,23,E1_d_L1-10,1.133207091789904,0.003912257509157493
3.0,1e-05,1380,23,E1_d_L1-5,1.0587129139145592,0.0035888844031240937
3.0,1e-05,1380,23,E2,0.9973359823729796,0.0011975317379299283
3.0,1e-05,1380,23,E4,1.1407224600500752,0.0029703600508560776
3.0,1e-05,1380,46,E1_a_L1-10,0.9970064411820421,0.001363865530733373
3.0,1e-05,1380,46,E1_a_L1-5,0.9968156416934887,0.0018243811144942642
3.0,1e-05,1380,46,E1_d_L1-10,1.1318249694243017,0.003129563476316633
3.0,1e-05,1380,46,E1_d_L1-5,1.0570399220404607,0.003115732078016622
3.0,1e-05,1380,46,E2,0.995920933616506,0.0012714144859758004
3.0,1e-05,1380,46,E4,1.1002739605443976,0.001980968830726615
3.0,1e-05,1380,138,E1_a_L1-10,0.9914167529332731,0.0005051969410603586
3.0,1e-05,1380,138,E1_a_L1-5,0.990763757761554,0.0010767397736721022
3.0,1e-05,1380,138,E1_d_L1-10,1.1249559573490349,0.0021847580326275775
3.0,1e-05,1380,138,E1_d_L1-5,1.0503626097994725,0.0015741490967971078
3.0,1e-05,1380,138,E2,0.987949284521409,0.0005987965997562431
3.0,1e-05,1380,138,E4,1.0737154585427924,0.0014648051486678526
3.0,1e-05,1380,345,E1_a_L1-10,0.9771458295650725,0.0005682094257594154
3.0,1e-05,1380,345,E1_a_L1-5,0.9766223959827915,0.0007794733965050983
3.0,1e-05,1380,345,E1_d_L1-10,1.1085399871355324,0.0017078014157286927
3.0,1e-05,1380,345,E1_d_L1-5,1.034858117923769,0.0014278477996194122
3.0,1e-05,1380,345,E2,0.9701087647041264,0.0005478371480571845
3.0,1e-05,1380,345,E4,1.0545470032112576,0.0013740079916551293
3.0,1e-05,1380,1380,E1_a_L1-10,0.9140681533523093,0.001450966157658712
3.0,1e-05,1380,1380,E1_a_L1-5,0.9136453868838631,0.0014666568419687916
3.0,1e-05,1380,1380,E1_d_L1-10,1.0370657564143668,0.0024965949760674846
3.0,1e-05,1380,1380,E1_d_L1-5,0.9679861249664306,0.0020172452580553913
3.0,1e-05,1380,1380,E2,0.8922414134226289,0.0012465379597469536
3.0,1e-05,1380,1380,E4,0.9863105435478966,0.001868298179496942
3.0,3e-05,390,13,E1_a_L1-10,0.9968284596754653,0.0014276644259499113
3.0,3e-05,390,13,E1_a_L1-5,0.9969309323154333,0.001401692923688982
3.0,3e-05,390,13,E1_d_L1-10,1.1284809582723763,0.003670012965683218
3.0,3e-05,390,13,E1_d_L1-5,1.0596393249433689,0.001862875589918431
3.0,3e-05,390,13,E2,0.9966793926927433,0.0016850684190329005
3.0,3e-05,390,13,E4,1.2298465911142906,0.0007233538178197355
3.0,3e-05,390,26,E1_a_L1-10,0.9946186046987423,0.0018345692521326623
3.0,3e-05,390,26,E1_a_L1-5,0.9941937219135711,0.002103875303730014
3.0,3e-05,390,26,E1_d_L1-10,1.125830842485256,0.004158031600829476
3.0,3e-05,390,26,E1_d_L1-5,1.0551324030778777,0.0026539904304227965
3.0,3e-05,390,26,E2,0.9945208824426246,0.0016819609616792717
3.0,3e-05,390,26,E4,1.155717460374259,0.0018502290328196022
3.0,3e-05,390,78,E1_a_L1-10,0.9833144263392125,0.0012138524539825188
3.0,3e-05,390,78,E1_a_L1-5,0.9832727011412885,0.000919252029497973
3.0,3e-05,390,78,E1_d_L1-10,1.1133791108944262,0.003256915700976545
3.0,3e-05,390,78,E1_d_L1-5,1.0429539083131698,0.001612175838871465
3.0,3e-05,390,78,E2,0.9827933042520568,0.0008789077155849706
3.0,3e-05,390,78,E4,1.1131133409071552,0.0007062466184208706
3.0,3e-05,390,195,E1_a_L1-10,0.9595490745037079,0.001336218181643238
3.0,3e-05,390,195,E1_a_L1-5,0.9596100452289444,0.0011493804089862418
3.0,3e-05,390,195,E1_d_L1-10,1.0865323695760039,0.0036249370654548242
3.0,3e-05,390,195,E1_d_L1-5,1.017236096432434,0.0019699249329995032
3.0,3e-05,390,195,E2,0.9578413871576764,0.000791943420969298
3.0,3e-05,390,195,E4,1.0809428347820353,0.00046334951498273517
3.0,3e-05,390,390,E1_a_L1-10,0.9230451342415422,0.0014545844392491905
3.0,3e-05,390,390,E1_a_L1-5,0.9231239462319071,0.001238371123577965
3.0,3e-05,390,390,E1_d_L1-10,1.0450452934603678,0.003992783782022418
3.0,3e-05,390,390,E1_d_L1-5,0.9785129261673994,0.0020390435987437494
3.0,3e-05,390,390,E2,0.9197872846505829,0.0012441407673069887
3.0,3e-05,390,390,E4,1.0392983176090047,0.0006792364933806415
3.0,3e-05,1380,23,E1_a_L1-10,0.9959248256319272,0.0024576981190298445
3.0,3e-05,1380,23,E1_a_L1-5,0.9953563549256674,0.002534038344875132
3.0,3e-05,1380,23,E1_d_L1-10,1.1294364005277582,0.0032094949305894018
3.0,3e-05,1380,23,E1_d_L1-5,1.0565030379650442,0.0025438667686791005
3.0,3e-05,1380,23,E2,0.9940939616099385,0.0016923949602168317
3.0,3e-05,1380,23,E4,1.1373813980601697,0.0011881219505811048
3.0,3e-05,1380,46,E1_a_L1-10,0.9914252095929985,0.0009926558804402524
3.0,3e-05,1380,46,E1_a_L1-5,0.9909958803731783,0.0010597180362270687
3.0,3e-05,1380,46,E1_d_L1-10,1.1239184773634858,0.0018695072591794035
3.0,3e-05,1380,46,E1_d_L1-5,1.0508492762943398,0.0013215216278863596
3.0,3e-05,1380,46,E2,0.9883416981360152,0.0007023796152257926
3.0,3e-05,1380,46,E4,1.0934638836784483,0.0009980280177612042
3.0,3e-05,1380,138,E1_a_L1-10,0.9728202472175177,0.0006454507543509161
3.0,3e-05,1380,138,E1_a_L1-5,0.9723742130913868,0.0007073363690620312
3.0,3e-05,1380,138,E1_d_L1-10,1.103103252713601,0.0027820987399707273
3.0,3e-05,1380,138,E1_d_L1-5,1.030659102615579,0.001094511400714612
3.0,3e-05,1380,138,E2,0.9649767652877346,0.0009552342348280197
3.0,3e-05,1380,138,E4,1.053503747286354,0.0009520817502037035
3.0,3e-05,1380,345,E1_a_L1-10,0.9340312175233405,0.0015300645752796206
3.0,3e-05,1380,345,E1_a_L1-5,0.9335100523680613,0.0014887070981403597
3.0,3e-05,1380,345,E1_d_L1-10,1.0594362392564731,0.0036750016230289208
3.0,3e-05,1380,345,E1_d_L1-5,0.9893382534580392,0.002180923031034827
3.0,3e-05,1380,345,E2,0.9165188499768316,0.0014178187357654314
3.0,3e-05,1380,345,E4,1.008196019308976,0.0017321370266115777
3.0,3e-05,1380,1380,E1_a_L1-10,0.7809017214960464,0.0033305136748882193
3.0,3e-05,1380,1380,E1_a_L1-5,0.7805235417816109,0.003230217509894907
3.0,3e-05,1380,1380,E1_d_L1-10,0.8857797671237787,0.0052790505598002664
3.0,3e-05,1380,1380,E1_d_L1-5,0.8275624430613904,0.003769441185182645
3.0,3e-05,1380,1380,E2,0.738162248381752,0.0032359014214899395
3.0,3e-05,1380,1380,E4,0.844505693844938,0.00347713281243398
3.0,0.0001,390,13,E1_a_L1-10,0.9907422870201801,0.0015889269098693945
3.0,0.0001,390,13,E1_a_L1-5,0.9900662962866562,0.0024531421090045907
3.0,0.0001,390,13,E1_d_L1-10,1.1217490947702957,0.004133958714357052
3.0,0.0001,390,13,E1_d_L1-5,1.052275329217563,0.0036693065040919633
3.0,0.0001,390,13,E2,0.9911218685824068,0.0016677457609017938
3.0,0.0001,390,13,E4,1.2231180572109186,0.003932585531605874
3.0,0.0001,390,26,E1_a_L1-10,0.9814767902336641,0.002053396806388343
3.0,0.0001,390,26,E1_a_L1-5,0.9811132087646683,0.0018111964513976865
3.0,0.0001,390,26,E1_d_L1-10,1.1116533574711518,0.003973685694578626
3.0,0.0001,390,26,E1_d_L1-5,1.0410188805267275,0.003295631944598641
3.0,0.0001,390,26,E2,0.981375026718276,0.001926242235064833
3.0,0.0001,390,26,E4,1.1418517077392187,0.004384925837288785
3.0,0.0001,390,78,E1_a_L1-10,0.9481612974394127,0.0015192572054910428
3.0,0.0001,390,78,E1_a_L1-5,0.9479489779216401,0.0013607116626111776
3.0,0.0001,390,78,E1_d_L1-10,1.0736464964913437,0.0026191784497113214
3.0,0.0001,390,78,E1_d_L1-5,1.0049972753638536,0.001673130554360409
3.0,0.0001,390,78,E2,0.9453807228460829,0.00189316434626768
3.0,0.0001,390,78,E4,1.0731168903713075,0.003698152398111122
3.0,0.0001,390,195,E1_a_L1-10,0.8795166773994356,0.002283024887679211
3.0,0.0001,390,195,E1_a_L1-5,0.8791248903842688,0.0024207731523564822
3.0,0.0001,390,195,E1_d_L1-10,0.995896943516704,0.0030449921488874786
3.0,0.0001,390,195,E1_d_L1-5,0.9318966766758209,0.003419310245642365
3.0,0.0001,390,195,E2,0.873979046111377,0.0026206445909435815
3.0,0.0001,390,195,E4,0.9919197126518158,0.004091486348611394
3.0,0.0001,390,390,E1_a_L1-10,0.7849539829532258,0.003180801317749846
3.0,0.0001,390,390,E1_a_L1-5,0.7846577547922674,0.003267756949567371
3.0,0.0001,390,390,E1_d_L1-10,0.8895443721217644,0.00364149756078229
3.0,0.0001,390,390,E1_d_L1-5,0.8315743790111998,0.0036881492929658416
3.0,0.0001,390,390,E2,0.7769880374229736,0.0036877973458350546
3.0,0.0001,390,390,E4,0.8868374565499753,0.004811823233477455
3.0,0.0001,1380,23,E1_a_L1-10,0.9827666872575138,0.0027749129984374257
3.0,0.0001,1380,23,E1_a_L1-5,0.9822512134038149,0.002550860751380177
3.0,0.0001,1380,23,E1_d_L1-10,1.1134383961714354,0.0031729612883535222
3.0,0.0001,1380,23,E1_d_L1-5,1.042628947553656,0.0028202917931193752
3.0,0.0001,1380,23,E2,0.9776888599887487,0.003123582201634024
3.0,0.0001,1380,23,E4,1.1224485653098895,0.0028819956810007233
3.0,0.0001,1380,46,E1_a_L1-10,0.9688683865489314,0.0010723669127970072
3.0,0.0001,1380,46,E1_a_L1-5,0.9683880575481112,0.0009628005507329917
3.0,0.0001,1380,46,E1_d_L1-10,1.0978409306604422,0.001984598930302934
3.0,0.0001,1380,46,E1_d_L1-5,1.0263605183675797,0.0011638446851212785
3.0,0.0001,1380,46,E2,0.9602096611499025,0.0015534022303284227
3.0,0.0001,1380,46,E4,1.0681966690410138,0.001468377022199983
3.0,0.0001,1380,138,E1_a_L1-10,0.9139399853386759,0.001520019258263058
3.0,0.0001,1380,138,E1_a_L1-5,0.9138243070912422,0.0013546847074813924
3.0,0.0001,1380,138,E1_d_L1-10,1.0364737047756418,0.002200492074834473
3.0,0.0001,1380,138,E1_d_L1-5,0.9688408256735059,0.001640785505989102
3.0,0.0001,1380,138,E2,0.8923490536832703,0.0015364745902845024
