nu,nsr,n,M,master,estimator,mean_recovery,sd_recovery
3.0,1e-05,390,13,2092611599,E1_a_L1-5,0.995968282602094,0.0386049812178528
3.0,1e-05,390,13,2092611599,E1_a_L1-10,0.9978632616118023,0.03763268412794885
3.0,1e-05,390,13,2092611599,E1_d_L1-5,1.057418674117021,0.04816419658936467
3.0,1e-05,390,13,2092611599,E1_d_L1-10,1.1279205402414239,0.059675111358662304
3.0,1e-05,390,13,2092611599,E2,0.9969153246006315,0.043562998088488944
3.0,1e-05,390,13,2092611599,E4,1.2331842435569251,0.06726496583999746
3.0,1e-05,390,26,2092611599,E1_a_L1-5,0.9938987167889692,0.028903532657800848
3.0,1e-05,390,26,2092611599,E1_a_L1-10,0.9941818408642027,0.02971270217938643
3.0,1e-05,390,26,2092611599,E1_d_L1-5,1.0546311010236846,0.03695628691523201
3.0,1e-05,390,26,2092611599,E1_d_L1-10,1.126391652450162,0.050055731044486074
3.0,1e-05,390,26,2092611599,E2,0.9952573298759692,0.028082863174106392
3.0,1e-05,390,26,2092611599,E4,1.157652525774626,0.050095514473821726
3.0,1e-05,390,78,2092611599,E1_a_L1-5,0.9926282600127849,0.02341723673640684
3.0,1e-05,390,78,2092611599,E1_a_L1-10,0.9933605851237172,0.02397216272837463
3.0,1e-05,390,78,2092611599,E1_d_L1-5,1.0513012047352965,0.03009480383959187
3.0,1e-05,390,78,2092611599,E1_d_L1-10,1.1263150168384468,0.046761679245916274
3.0,1e-05,390,78,2092611599,E2,0.9930732298766085,0.021889088362147015
3.0,1e-05,390,78,2092611599,E4,1.1243470851620023,0.041427792722835165
3.0,1e-05,390,195,2092611599,E1_a_L1-5,0.9862371423150433,0.02156221136610433
3.0,1e-05,390,195,2092611599,E1_a_L1-10,0.9865212978368908,0.02280217573965282
3.0,1e-05,390,195,2092611599,E1_d_L1-5,1.0454183394173586,0.029016173168519944
3.0,1e-05,390,195,2092611599,E1_d_L1-10,1.1177367969577423,0.04410521984079784
3.0,1e-05,390,195,2092611599,E2,0.9860420047176245,0.01952073095075412
3.0,1e-05,390,195,2092611599,E4,1.1106398312910892,0.03863332937314924
3.0,1e-05,390,390,2092611599,E1_a_L1-5,0.9729887085755761,0.021303947393944415
3.0,1e-05,390,390,2092611599,E1_a_L1-10,0.9733726031610046,0.022201326996643563
3.0,1e-05,390,390,2092611599,E1_d_L1-5,1.031140853773012,0.029042361353710862
3.0,1e-05,390,390,2092611599,E1_d_L1-10,1.1029256825663187,0.04355437372934072
3.0,1e-05,390,390,2092611599,E2,0.9723139349022648,0.01893816150197503
3.0,1e-05,390,390,2092611599,E4,1.094497907822255,0.03791924422680633
3.0,1e-05,390,13,2383867976,E1_a_L1-5,0.9993967340871066,0.0327260439224712
3.0,1e-05,390,13,2383867976,E1_a_L1-10,0.9998551075163843,0.032815779052506766
3.0,1e-05,390,13,2383867976,E1_d_L1-5,1.0616523075482005,0.04074235368920921
3.0,1e-05,390,13,2383867976,E1_d_L1-10,1.1333547148494938,0.054829697548681174
3.0,1e-05,390,13,2383867976,E2,0.9959172984216331,0.040949663932111975
