cell_id,seed_index,seed,n_obs,mcs75,mcs90,pvals
ES/GLOBEX/B0/1day/S-B_q0.80,0,2237533746,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0004, ""M6_GK"": 0.0004, ""M1_EWMA"": 0.0004, ""M2_HAR"": 0.0004, ""M3_HARJ"": 0.0004, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,1,702494603,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0001, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,2,4139393190,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0002, ""M6_GK"": 0.0002, ""M1_EWMA"": 0.0002, ""M2_HAR"": 0.0002, ""M3_HARJ"": 0.0002, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,3,769717545,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M1_EWMA"": 0.0001, ""M2_HAR"": 0.0001, ""M3_HARJ"": 0.0001, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,4,919028315,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0002, ""M6_GK"": 0.0002, ""M1_EWMA"": 0.0002, ""M2_HAR"": 0.0002, ""M3_HARJ"": 0.0002, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,5,611620464,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0003, ""M6_GK"": 0.0003, ""M1_EWMA"": 0.0003, ""M2_HAR"": 0.0003, ""M3_HARJ"": 0.0003, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,6,3477480266,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0002, ""M6_GK"": 0.0002, ""M1_EWMA"": 0.0002, ""M2_HAR"": 0.0002, ""M3_HARJ"": 0.0002, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,7,3198431117,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M1_EWMA"": 0.0001, ""M2_HAR"": 0.0001, ""M3_HARJ"": 0.0001, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,8,2621026741,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M1_EWMA"": 0.0001, ""M2_HAR"": 0.0001, ""M3_HARJ"": 0.0001, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
ES/GLOBEX/B0/1day/S-B_q0.80,9,1169115867,291,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH,"{""M6_PARK"": 0.0003, ""M6_GK"": 0.0003, ""M1_EWMA"": 0.0003, ""M2_HAR"": 0.0003, ""M3_HARJ"": 0.0003, ""M4_HARQ"": 1.0, ""M5_RGARCH"": 1.0}"
