cell_id,root,geom,btag,horizon,scheme,n_obs,n_distinct_75,modal_75,modal_freq_75,n_distinct_90,modal_90,modal_freq_90,all_75,all_90,elapsed_s,s05_75_in_seed_set,s05_90_in_seed_set,s05_mcs75,s05_mcs90
ES/GLOBEX/B0/1day/S-B_q0.80,ES,GLOBEX,B0,1day,S-B_q0.80,291,1,M4_HARQ|M5_RGARCH,20,1,M4_HARQ|M5_RGARCH,20,"[""M4_HARQ|M5_RGARCH""]","[""M4_HARQ|M5_RGARCH""]",2.0,True,True,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1day/S-B_q0.90,ES,GLOBEX,B0,1day,S-B_q0.90,146,1,M4_HARQ|M5_RGARCH,20,1,M4_HARQ|M5_RGARCH,20,"[""M4_HARQ|M5_RGARCH""]","[""M4_HARQ|M5_RGARCH""]",1.7,True,True,M4_HARQ|M5_RGARCH,M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1day/S-C_q0.80,ES,GLOBEX,B0,1day,S-C_q0.80,291,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,20,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,20,"[""M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH""]","[""M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH""]",2.1,True,True,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH
ES/GLOBEX/B0/1day/S-C_q0.90,ES,GLOBEX,B0,1day,S-C_q0.90,146,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,20,1,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,20,"[""M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH""]","[""M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK""]",1.7,True,True,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK
ES/GLOBEX/B0/1h/S-B_q0.80,ES,GLOBEX,B0,1h,S-B_q0.80,8199,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",17.2,True,True,M6_GK,M6_GK
ES/GLOBEX/B0/1h/S-B_q0.90,ES,GLOBEX,B0,1h,S-B_q0.90,4100,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",9.7,True,True,M6_GK,M6_GK
ES/GLOBEX/B0/1h/S-C_q0.80,ES,GLOBEX,B0,1h,S-C_q0.80,8199,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",16.7,True,True,M6_GK,M6_GK
ES/GLOBEX/B0/1h/S-C_q0.90,ES,GLOBEX,B0,1h,S-C_q0.90,4100,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",9.4,True,True,M6_GK,M6_GK
ES/GLOBEX/B0/30min/S-B_q0.80,ES,GLOBEX,B0,30min,S-B_q0.80,4321,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",10.0,True,True,M6_GK,M6_GK
ES/GLOBEX/B0/30min/S-B_q0.90,ES,GLOBEX,B0,30min,S-B_q0.90,2161,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",6.0,True,True,M6_GK,M6_GK
