cell,quantile,level,n_seeds,n_seeds_differ,invariant,verdict
ES/GLOBEX/B0/1day,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/1day,0.8,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/1day,0.9,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/1day,0.9,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/1h,0.8,mcs75,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B0/1h,0.8,mcs90,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B0/1h,0.9,mcs75,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B0/1h,0.9,mcs90,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B0/30min,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/30min,0.8,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/30min,0.9,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B0/30min,0.9,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1day,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1day,0.8,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1day,0.9,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1day,0.9,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1h,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1h,0.8,mcs90,20,20,True,DIFFERS in all seeds
ES/GLOBEX/B1/1h,0.9,mcs75,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B1/1h,0.9,mcs90,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B1/30min,0.8,mcs75,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B1/30min,0.8,mcs90,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B1/30min,0.9,mcs75,20,0,True,IDENTICAL in all seeds
ES/GLOBEX/B1/30min,0.9,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/1day,0.8,mcs75,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/1day,0.8,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/1day,0.9,mcs75,20,14,False,INDETERMINATE (varies across seeds)
ES/RTH/B0/1day,0.9,mcs90,20,20,True,DIFFERS in all seeds
ES/RTH/B0/1h,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B0/1h,0.8,mcs90,20,20,True,DIFFERS in all seeds
ES/RTH/B0/1h,0.9,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B0/1h,0.9,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/30min,0.8,mcs75,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/30min,0.8,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/30min,0.9,mcs75,20,0,True,IDENTICAL in all seeds
ES/RTH/B0/30min,0.9,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B1/1day,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B1/1day,0.8,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B1/1day,0.9,mcs75,20,0,True,IDENTICAL in all seeds
ES/RTH/B1/1day,0.9,mcs90,20,20,True,DIFFERS in all seeds
ES/RTH/B1/1h,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B1/1h,0.8,mcs90,20,20,True,DIFFERS in all seeds
ES/RTH/B1/1h,0.9,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B1/1h,0.9,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B1/30min,0.8,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B1/30min,0.8,mcs90,20,0,True,IDENTICAL in all seeds
ES/RTH/B1/30min,0.9,mcs75,20,20,True,DIFFERS in all seeds
ES/RTH/B1/30min,0.9,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1day,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1day,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1day,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1day,0.9,mcs90,20,20,True,DIFFERS in all seeds
NQ/GLOBEX/B0/1h,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1h,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1h,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/1h,0.9,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/30min,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/30min,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/30min,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B0/30min,0.9,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1day,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1day,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1day,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1day,0.9,mcs90,20,7,False,INDETERMINATE (varies across seeds)
NQ/GLOBEX/B1/1h,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1h,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1h,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/1h,0.9,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/30min,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/30min,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/30min,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/GLOBEX/B1/30min,0.9,mcs90,20,0,True,IDENTICAL in all seeds
NQ/RTH/B0/1day,0.8,mcs75,20,2,False,INDETERMINATE (varies across seeds)
NQ/RTH/B0/1day,0.8,mcs90,20,20,True,DIFFERS in all seeds
NQ/RTH/B0/1day,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/RTH/B0/1day,0.9,mcs90,20,20,True,DIFFERS in all seeds
NQ/RTH/B0/1h,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/RTH/B0/1h,0.8,mcs90,20,20,True,DIFFERS in all seeds
NQ/RTH/B0/1h,0.9,mcs75,20,20,True,DIFFERS in all seeds
NQ/RTH/B0/1h,0.9,mcs90,20,20,True,DIFFERS in all seeds
NQ/RTH/B0/30min,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/RTH/B0/30min,0.8,mcs90,20,0,True,IDENTICAL in all seeds
NQ/RTH/B0/30min,0.9,mcs75,20,0,True,IDENTICAL in all seeds
NQ/RTH/B0/30min,0.9,mcs90,20,0,True,IDENTICAL in all seeds
NQ/RTH/B1/1day,0.8,mcs75,20,0,True,IDENTICAL in all seeds
NQ/RTH/B1/1day,0.8,mcs90,20,20,True,DIFFERS in all seeds
