cell,root,geom,btag,horizon,model,n_eval,n_nonpositive,n_below_1e12,n_below_1e6,n_above_100x_mean_rv,min_forecast,p001_forecast,max_forecast,in_sample_mean_rv,worst1_share_of_qlike,worst5_share_of_qlike
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M1_EWMA,1453,0,0,0,0,1.2893487590845322e-05,1.3164490807049475e-05,0.0018130734105414707,0.00015255269150971337,,
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M2_HAR,1453,0,0,0,0,2.3117413831559467e-05,2.3929195996186736e-05,0.00632082868235395,0.00015255269150971337,,
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M3_HARJ,1453,0,0,0,0,2.2122456210088406e-05,2.2988013339101133e-05,0.006437560367776086,0.00015255269150971337,,
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M4_HARQ,1453,0,2,2,0,1e-300,3.001926669419878e-06,0.006261154698848244,0.00015255269150971337,0.7576262391031873,1.0
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M5_RGARCH,1453,0,0,0,0,1.3143656918409797e-05,1.3426696347359782e-05,0.0036654832527483992,0.00015255269150971337,,
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M6_PARK,1453,0,0,1,0,8.769003331236489e-07,1.6935981374757986e-06,0.005697611308988201,0.00015255269150971337,,
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,M6_GK,1453,0,0,0,0,1.172603734414964e-06,2.0945089318416364e-06,0.0044747897804208086,0.00015255269150971337,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M1_EWMA,40996,0,0,10047,0,9.675298852194194e-08,1.234141674639999e-07,0.0002929857649881889,5.6864764013225645e-06,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M2_HAR,40996,0,0,5098,2,3.4812591640113955e-07,4.4828861781734493e-07,0.000651730381689573,5.6864764013225645e-06,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M3_HARJ,40996,0,0,5460,2,1.3474307208881148e-07,3.124197046797699e-07,0.0007316108749376811,5.6864764013225645e-06,inf,inf
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M4_HARQ,40996,0,3,8314,0,1e-300,3.394638144626094e-07,0.0005327284528837718,5.6864764013225645e-06,inf,inf
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M5_RGARCH,40996,3,1410,1425,39568,0.0,1.4310593097404788e-25,4.9235118342914326e+263,5.6864764013225645e-06,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M6_PARK,40996,180,180,20856,5,0.0,0.0,0.0013799667101089864,5.6864764013225645e-06,,
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,M6_GK,40996,0,180,21029,6,1e-300,1e-300,0.0011932239163237415,5.6864764013225645e-06,,
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,M1_EWMA,21604,0,0,5722,0,6.180603813486944e-08,9.50315713104386e-08,5.446280948215875e-05,3.2310368759449924e-06,,
