cell,model,rank,window_index,trade_date,coef,regressors,components,linear_fit,fit_negative_by_construction,forecast_stored,realized,coef_fit_at_step
ES/GLOBEX/B0/1day,M4_HARQ,1,513,2018-02-06,"[4.625485867002123e-06, 1.0609683945781627, -0.04837052512917596, 0.04299283632867598, -438.63765152042964]","[1.0, 0.0006802188963774825, 0.0002046340062406671, 6.952784633540432e-05, 1.7282114239836336e-06]","[4.625485867002123e-06, 0.0007216907504513472, -9.898254341148138e-06, 2.989199317783372e-06, -0.0007580586003469586]",-3.865141905197398e-05,True,1e-300,0.0018763285831937537,513
ES/GLOBEX/B0/1day,M4_HARQ,2,1018,2020-03-04,"[6.148358176528451e-06, 0.830292208818347, 0.33192625343055926, -0.1431791479066088, -122.41930431210076]","[1.0, 0.002024281337071443, 0.0013536005893001856, 0.00037081809500705276, 2.143112745313327e-05]","[6.148358176528451e-06, 0.0016807450226268051, 0.0004492955722478078, -5.309341887146172e-05, -0.002623583713436539]",-0.0005404881792568593,True,1e-300,0.0006002601176078315,1018
ES/GLOBEX/B0/1day,M4_HARQ,3,1199,2020-11-30,"[3.38785427010543e-07, 0.9228573624481329, 0.2869884214179368, -0.12182316058480605, -41.00061292536028]","[1.0, 2.0722009139717557e-05, 6.409374091163045e-05, 0.00021606523643475322, 8.010064100175998e-10]","[3.38785427010543e-07, 1.9123458699305847e-05, 1.8394161526999055e-05, -2.632174999498503e-05, -3.2841753767864035e-08]",1.1501813904562555e-05,False,1.1501813904562555e-05,9.051402230397798e-05,1199
ES/GLOBEX/B0/1h,M3_HARJ,1,18809,2019-07-04,"[2.851049167020641e-07, 0.5906764191711352, 0.32884559614034214, 0.010106466158408338, -0.20919564090207537]","[1.0, 0.0, 1.300011409842806e-06, 2.356017706585011e-06, 0.0]","[2.851049167020641e-07, 0.0, 4.275030270590042e-07, 2.381101322021224e-08, -0.0]",7.364189569812806e-07,False,7.364189569812806e-07,0.0,18788
ES/GLOBEX/B0/1h,M3_HARJ,2,22466,2020-03-09,"[2.596342770317812e-07, 0.6369607177248453, 0.3648844447940314, -0.037054941119044574, -0.2890678371455222]","[1.0, 1.1474736766103888e-05, 4.822784150581521e-05, 2.0681087790323118e-05, 0.0]","[2.596342770317812e-07, 7.308956566241203e-06, 1.7597589171463926e-05, -7.663364903482148e-07, -0.0]",2.4399843524388696e-05,False,2.4399843524388696e-05,0.0,22462
ES/GLOBEX/B0/1h,M3_HARJ,3,15790,2018-12-05,"[2.923957013278239e-07, 0.5874501607517625, 0.30983135421543134, 0.02874664139231535, -0.2580902466442811]","[1.0, 9.137356755672954e-07, 4.779947816628423e-06, 6.018223428718331e-06, 0.0]","[2.923957013278239e-07, 5.36774169496628e-07, 1.4809777051050785e-06, 1.7300371072419637e-07, -0.0]",2.483151286653727e-06,False,2.483151286653727e-06,0.0,15774
ES/GLOBEX/B0/1h,M4_HARQ,1,21713,2020-01-20,"[1.6023240208038939e-07, 0.7480807148975595, 0.2520636949488015, -0.019210812737108424, -1000.2058126636095]","[1.0, 0.0, 1.1421747579085852e-06, 1.285010393835101e-06, 0.0]","[1.6023240208038939e-07, 0.0, 2.879007897556908e-07, -2.4686094041204074e-08, -0.0]",4.234470977948761e-07,False,4.234470977948761e-07,0.0,21692
ES/GLOBEX/B0/1h,M4_HARQ,2,22561,2020-03-18,"[-4.3037750504619783e-07, 0.6447918110420964, 0.5640636114486534, -0.04013942676082382, -196.240258825717]","[1.0, 0.0, 0.00010224563539560966, 4.131649747577743e-05, 0.0]","[-4.3037750504619783e-07, 0.0, 5.7673042356109846e-05, -1.6584205244427306e-06, -0.0]",5.5584244326620915e-05,False,5.5584244326620915e-05,0.0,22550
ES/GLOBEX/B0/1h,M4_HARQ,3,35923,2022-09-05,"[1.6601963298734455e-07, 0.6729779453832837, 0.4139737320787235, -0.08907752211399536, -224.42695880295153]","[1.0, 1.3245553418528289e-06, 8.461689875813052e-06, 5.426379938256082e-06, 1.6511297822211944e-12]","[1.6601963298734455e-07, 8.913965325065697e-07, 3.5029173375830798e-06, -4.833684789489469e-07, -3.705580356128823e-10]",4.076594466092434e-06,False,4.076594466092434e-06,0.0,35904
ES/GLOBEX/B0/30min,M3_HARJ,1,1389,2016-02-15,"[1.505525096472033e-05, 0.5936616489775616, 0.2954427230513076, -2.071514508966132, 0.22148372878768102]","[1.0, 0.0, 6.528107425967593e-06, 6.767020037768081e-06, 0.0]","[1.505525096472033e-05, 0.0, 1.928681834299328e-06, -1.4017980190701124e-05, 0.0]",2.9659526083185328e-06,False,2.9659526083185328e-06,0.0,1350
ES/GLOBEX/B0/30min,M3_HARJ,2,66374,2022-01-17,"[1.9140331449379814e-07, 0.4435004030546417, 0.5324944555403606, -0.09405466924163454, 0.4068546603402133]","[1.0, 0.0, 2.1924991475922676e-06, 1.886177749544702e-06, 0.0]","[1.9140331449379814e-07, 0.0, 1.1674936398698492e-06, -1.7740382436435754e-07, 0.0]",1.1814931299992899e-06,False,1.1814931299992899e-06,0.0,66330
ES/GLOBEX/B0/30min,M3_HARJ,3,66373,2022-01-17,"[1.9140331449379814e-07, 0.4435004030546417, 0.5324944555403606, -0.09405466924163454, 0.4068546603402133]","[1.0, 0.0, 2.247667018511695e-06, 1.8966654884805927e-06, 0.0]","[1.9140331449379814e-07, 0.0, 1.1968702252584105e-06, -1.7839024518106535e-07, 0.0]",1.2098832945711433e-06,False,1.2098832945711433e-06,0.0,66330
ES/GLOBEX/B0/30min,M4_HARQ,1,1389,2016-02-15,"[1.3578423726253987e-05, 0.9080262539611598, 0.22644648808575324, -1.966529885812906, -8052.064848206334]","[1.0, 0.0, 6.528107425967593e-06, 6.767020037768081e-06, 0.0]","[1.3578423726253987e-05, 0.0, 1.478267000456888e-06, -1.3307547142165713e-05, -0.0]",1.7491435845451627e-06,False,1.7491435845451627e-06,0.0,1350
ES/GLOBEX/B0/30min,M4_HARQ,2,77349,2023-01-16,"[1.135990401711953e-07, 0.6413190481815534, 0.426780091370546, -0.0847307111676195, -310.52918673838604]","[1.0, 0.0, 2.6378156366667504e-06, 3.3287129204983665e-06, 0.0]","[1.135990401711953e-07, 0.0, 1.1257671984352908e-06, -2.8204421302667025e-07, -0.0]",9.573220255798157e-07,False,9.573220255798157e-07,0.0,77310
ES/GLOBEX/B0/30min,M4_HARQ,3,77350,2023-01-16,"[1.135990401711953e-07, 0.6413190481815534, 0.426780091370546, -0.0847307111676195, -310.52918673838604]","[1.0, 0.0, 2.607369100991895e-06, 3.3262851686249818e-06, 0.0]","[1.135990401711953e-07, 0.0, 1.1127732231580594e-06, -2.8183850788389987e-07, -0.0]",9.445337554453549e-07,False,9.445337554453549e-07,0.0,77310
ES/GLOBEX/B1/1day,M3_HARJ,1,1678,2022-11-11,"[2.227906644900348e-05, 0.6185319683382987, 0.34754378732118696, -0.029725400948953477, -1.7780487369341853]","[1.0, 0.0006504113071059692, 0.00031190687841444744, 0.0003339346576054099, 0.00037822895408144117]","[2.227906644900348e-05, 0.0004023001860137408, 0.00010840129781568605, -9.926341588072306e-06, -0.0006725095140764445]",-0.00014945530538608643,True,1e-300,0.00017370031946484232,1678
ES/GLOBEX/B1/1day,M3_HARJ,2,512,2018-02-05,"[5.519087197398021e-06, 0.12103257651237749, 0.14774331576774963, 0.3045699482395513, 2.79491437786069]","[1.0, 0.00011734883537428686, 7.456117705260113e-05, 3.84557346561368e-05, 8.952701845821334e-06]","[5.519087197398021e-06, 1.4203031896076766e-05, 1.1015915525297537e-05, 1.1712461113733504e-05, 2.5022035109585986e-05]",6.747253084209181e-05,False,6.747253084209181e-05,0.0006531322071623435,512
ES/GLOBEX/B1/1day,M3_HARJ,3,718,2018-12-06,"[8.052947748550277e-06, 0.28361246942446244, 0.2211512522897436, 0.1063558314739429, 3.27278920994941]","[1.0, 3.5603734431788325e-05, 9.274570679735916e-05, 0.00012592658376061908, 1.0024072278124875e-06]","[8.052947748550277e-06, 1.0097663042932246e-05, 2.0510829202733365e-05, 1.3393026520533757e-05, 3.280667559160009e-06]",5.5335134073909647e-05,False,5.533513407390965e-05,0.0004273796537290764,718
