cell,model,window_index,trade_date,forecast,realized,qlike,share_of_cell_qlike,reason
ES/GLOBEX/B0/1day,M4_HARQ,513,2018-02-06,1e-300,0.0018763285831937537,1.8763285831937537e+297,0.7576262391031873,below_1e-12
ES/GLOBEX/B0/1day,M4_HARQ,1018,2020-03-04,1e-300,0.0006002601176078315,6.002601176078315e+296,0.24237376089681273,below_1e-12
ES/GLOBEX/B0/1h,M3_HARJ,679,2016-02-15,7.310977434879219e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,680,2016-02-15,6.468309433968533e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,681,2016-02-15,6.5415766636362665e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,2241,2016-05-30,9.192288641280008e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,2242,2016-05-30,5.427422860328211e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,2243,2016-05-30,5.358947389690704e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,2725,2016-07-04,1.6821937511938465e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,2726,2016-07-04,1.1581582342065857e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,2727,2016-07-04,1.1343644490054909e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,4925,2016-11-24,9.736586837551776e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,4926,2016-11-24,4.090807389878028e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,4927,2016-11-24,4.061498653822879e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,5607,2017-01-16,1.096334913639797e-06,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,5608,2017-01-16,2.740540694001617e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,5609,2017-01-16,2.715403047783981e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,6157,2017-02-20,9.876190514183757e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,6158,2017-02-20,2.0510953132713872e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,6159,2017-02-20,2.027940162600453e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,7609,2017-05-29,5.587178424741879e-07,0.0,inf,inf,nonfinite_qlike
ES/GLOBEX/B0/1h,M3_HARJ,7610,2017-05-29,1.7423153273277944e-07,0.0,inf,inf,nonfinite_qlike
