root,geom,btag,horizon,model,window_index,session_date,window_in_session,window_start_min_from_1800NY,ny_clock,overnight,rv,forecast
ES,GLOBEX,B0,1h,M1_EWMA,679,2016-02-15,19,1140,13:00,False,0.0,4.650238143725185e-06
ES,GLOBEX,B0,1h,M1_EWMA,680,2016-02-15,20,1200,14:00,False,0.0,4.371223855101673e-06
ES,GLOBEX,B0,1h,M1_EWMA,681,2016-02-15,21,1260,15:00,False,0.0,4.1089504237955725e-06
ES,GLOBEX,B0,1h,M1_EWMA,2241,2016-05-30,19,1140,13:00,False,0.0,3.9858435460389127e-07
ES,GLOBEX,B0,1h,M1_EWMA,2242,2016-05-30,20,1200,14:00,False,0.0,3.746692933276578e-07
ES,GLOBEX,B0,1h,M1_EWMA,2243,2016-05-30,21,1260,15:00,False,0.0,3.521891357279983e-07
ES,GLOBEX,B0,1h,M1_EWMA,2725,2016-07-04,19,1140,13:00,False,0.0,1.180962469626071e-06
ES,GLOBEX,B0,1h,M1_EWMA,2726,2016-07-04,20,1200,14:00,False,0.0,1.1101047214485067e-06
ES,GLOBEX,B0,1h,M1_EWMA,2727,2016-07-04,21,1260,15:00,False,0.0,1.0434984381615962e-06
ES,GLOBEX,B0,1h,M1_EWMA,4925,2016-11-24,19,1140,13:00,False,0.0,4.0260929875582907e-07
ES,GLOBEX,B0,1h,M1_EWMA,4926,2016-11-24,20,1200,14:00,False,0.0,3.784527408304793e-07
ES,GLOBEX,B0,1h,M1_EWMA,4927,2016-11-24,21,1260,15:00,False,0.0,3.5574557638065056e-07
ES,GLOBEX,B0,1h,M1_EWMA,5607,2017-01-16,19,1140,13:00,False,0.0,3.7157524613573894e-07
ES,GLOBEX,B0,1h,M1_EWMA,5608,2017-01-16,20,1200,14:00,False,0.0,3.492807313675946e-07
ES,GLOBEX,B0,1h,M1_EWMA,5609,2017-01-16,21,1260,15:00,False,0.0,3.283238874855389e-07
ES,GLOBEX,B0,1h,M1_EWMA,6157,2017-02-20,19,1140,13:00,False,0.0,3.4990776576029014e-07
ES,GLOBEX,B0,1h,M1_EWMA,6158,2017-02-20,20,1200,14:00,False,0.0,3.289132998146727e-07
ES,GLOBEX,B0,1h,M1_EWMA,6159,2017-02-20,21,1260,15:00,False,0.0,3.091785018257923e-07
ES,GLOBEX,B0,1h,M1_EWMA,7609,2017-05-29,19,1140,13:00,False,0.0,2.6706945111579516e-07
ES,GLOBEX,B0,1h,M1_EWMA,7610,2017-05-29,20,1200,14:00,False,0.0,2.5104528404884744e-07
ES,GLOBEX,B0,1h,M1_EWMA,7611,2017-05-29,21,1260,15:00,False,0.0,2.3598256700591657e-07
ES,GLOBEX,B0,1h,M1_EWMA,8093,2017-07-04,19,1140,13:00,False,0.0,1.322442216206678e-06
ES,GLOBEX,B0,1h,M1_EWMA,8094,2017-07-04,20,1200,14:00,False,0.0,1.2430956832342774e-06
ES,GLOBEX,B0,1h,M1_EWMA,8095,2017-07-04,21,1260,15:00,False,0.0,1.1685099422402206e-06
ES,GLOBEX,B0,1h,M1_EWMA,9061,2017-09-04,19,1140,13:00,False,0.0,3.674557498195933e-07
ES,GLOBEX,B0,1h,M1_EWMA,9062,2017-09-04,20,1200,14:00,False,0.0,3.4540840483041766e-07
ES,GLOBEX,B0,1h,M1_EWMA,9063,2017-09-04,21,1260,15:00,False,0.0,3.2468390054059255e-07
ES,GLOBEX,B0,1h,M1_EWMA,10271,2017-11-23,19,1140,13:00,False,0.0,2.387917711308286e-07
ES,GLOBEX,B0,1h,M1_EWMA,10272,2017-11-23,20,1200,14:00,False,0.0,2.2446426486297884e-07
ES,GLOBEX,B0,1h,M1_EWMA,10273,2017-11-23,21,1260,15:00,False,0.0,2.109964089712001e-07
ES,GLOBEX,B0,1h,M1_EWMA,10953,2018-01-15,19,1140,13:00,False,0.0,4.879985861131781e-07
ES,GLOBEX,B0,1h,M1_EWMA,10954,2018-01-15,20,1200,14:00,False,0.0,4.587186709463874e-07
ES,GLOBEX,B0,1h,M1_EWMA,10955,2018-01-15,21,1260,15:00,False,0.0,4.311955506896041e-07
ES,GLOBEX,B0,1h,M1_EWMA,11503,2018-02-19,19,1140,13:00,False,0.0,3.725088522311137e-06
ES,GLOBEX,B0,1h,M1_EWMA,11504,2018-02-19,20,1200,14:00,False,0.0,3.5015832109724687e-06
ES,GLOBEX,B0,1h,M1_EWMA,11505,2018-02-19,21,1260,15:00,False,0.0,3.2914882183141205e-06
ES,GLOBEX,B0,1h,M1_EWMA,12955,2018-05-28,19,1140,13:00,False,0.0,1.187276558055529e-06
ES,GLOBEX,B0,1h,M1_EWMA,12956,2018-05-28,20,1200,14:00,False,0.0,1.1160399645721973e-06
ES,GLOBEX,B0,1h,M1_EWMA,12957,2018-05-28,21,1260,15:00,False,0.0,1.0490775666978653e-06
ES,GLOBEX,B0,1h,M1_EWMA,13461,2018-07-04,19,1140,13:00,False,0.0,1.3893331900282162e-06
ES,GLOBEX,B0,1h,M1_EWMA,13462,2018-07-04,20,1200,14:00,False,0.0,1.3059731986265232e-06
ES,GLOBEX,B0,1h,M1_EWMA,13463,2018-07-04,21,1260,15:00,False,0.0,1.2276148067089317e-06
ES,GLOBEX,B0,1h,M1_EWMA,14407,2018-09-03,19,1140,13:00,False,0.0,6.863518708529695e-07
ES,GLOBEX,B0,1h,M1_EWMA,14408,2018-09-03,20,1200,14:00,False,0.0,6.451707586017913e-07
ES,GLOBEX,B0,1h,M1_EWMA,14409,2018-09-03,21,1260,15:00,False,0.0,6.064605130856838e-07
ES,GLOBEX,B0,1h,M1_EWMA,15617,2018-11-22,19,1140,13:00,False,0.0,3.823582421940903e-06
ES,GLOBEX,B0,1h,M1_EWMA,15618,2018-11-22,20,1200,14:00,False,0.0,3.5941674766244484e-06
ES,GLOBEX,B0,1h,M1_EWMA,15619,2018-11-22,21,1260,15:00,False,0.0,3.3785174280269814e-06
ES,GLOBEX,B0,1h,M1_EWMA,15790,2018-12-05,16,960,10:00,False,0.0,5.735724332490146e-06
ES,GLOBEX,B0,1h,M1_EWMA,15791,2018-12-05,17,1020,11:00,False,0.0,5.391580872540738e-06
ES,GLOBEX,B0,1h,M1_EWMA,15792,2018-12-05,18,1080,12:00,False,0.0,5.068086020188293e-06
ES,GLOBEX,B0,1h,M1_EWMA,15793,2018-12-05,19,1140,13:00,False,0.0,4.764000858976996e-06
ES,GLOBEX,B0,1h,M1_EWMA,15794,2018-12-05,20,1200,14:00,False,0.0,4.4781608074383755e-06
ES,GLOBEX,B0,1h,M1_EWMA,15795,2018-12-05,21,1260,15:00,False,0.0,4.209471158992073e-06
ES,GLOBEX,B0,1h,M1_EWMA,16387,2019-01-21,19,1140,13:00,False,0.0,1.5238744377670437e-06
ES,GLOBEX,B0,1h,M1_EWMA,16388,2019-01-21,20,1200,14:00,False,0.0,1.432441971501021e-06
ES,GLOBEX,B0,1h,M1_EWMA,16389,2019-01-21,21,1260,15:00,False,0.0,1.3464954532109596e-06
ES,GLOBEX,B0,1h,M1_EWMA,16827,2019-02-18,19,1140,13:00,False,0.0,1.1398759779180858e-06
ES,GLOBEX,B0,1h,M1_EWMA,16828,2019-02-18,20,1200,14:00,False,0.0,1.0714834192430005e-06
ES,GLOBEX,B0,1h,M1_EWMA,16829,2019-02-18,21,1260,15:00,False,0.0,1.0071944140884204e-06
ES,GLOBEX,B0,1h,M1_EWMA,16964,2019-02-27,2,120,20:00,True,0.0,1.6346925899443953e-06
ES,GLOBEX,B0,1h,M1_EWMA,16965,2019-02-27,3,180,21:00,True,0.0,1.5366110345477314e-06
