root,geom,btag,horizon,model,n_eval,n_nonfinite_qlike,n_rv_zero_in_eval
ES,GLOBEX,B0,1day,M1_EWMA,1453,0,0
ES,GLOBEX,B0,1day,M2_HAR,1453,0,0
ES,GLOBEX,B0,1day,M3_HARJ,1453,0,0
ES,GLOBEX,B0,1day,M4_HARQ,1453,0,0
ES,GLOBEX,B0,1day,M5_RGARCH,1453,0,0
ES,GLOBEX,B0,1day,M6_PARK,1453,0,0
ES,GLOBEX,B0,1day,M6_GK,1453,0,0
ES,GLOBEX,B0,1h,M1_EWMA,40996,180,180
ES,GLOBEX,B0,1h,M2_HAR,40996,180,180
ES,GLOBEX,B0,1h,M3_HARJ,40996,180,180
ES,GLOBEX,B0,1h,M4_HARQ,40996,180,180
ES,GLOBEX,B0,1h,M5_RGARCH,40996,181,180
ES,GLOBEX,B0,1h,M6_PARK,40996,237,180
ES,GLOBEX,B0,1h,M6_GK,40996,180,180
ES,GLOBEX,B1,1day,M1_EWMA,1453,0,0
ES,GLOBEX,B1,1day,M2_HAR,1453,0,0
ES,GLOBEX,B1,1day,M3_HARJ,1453,0,0
ES,GLOBEX,B1,1day,M4_HARQ,1453,0,0
ES,GLOBEX,B1,1day,M5_RGARCH,1453,0,0
ES,GLOBEX,B1,1day,M6_PARK,1453,0,0
ES,GLOBEX,B1,1day,M6_GK,1453,0,0
ES,GLOBEX,B1,1h,M1_EWMA,1403,15,15
ES,GLOBEX,B1,1h,M2_HAR,1403,15,15
ES,GLOBEX,B1,1h,M3_HARJ,1403,15,15
ES,GLOBEX,B1,1h,M4_HARQ,1403,15,15
ES,GLOBEX,B1,1h,M5_RGARCH,1403,16,15
ES,GLOBEX,B1,1h,M6_PARK,1403,22,15
ES,GLOBEX,B1,1h,M6_GK,1403,15,15
NQ,GLOBEX,B0,1day,M1_EWMA,1448,0,0
NQ,GLOBEX,B0,1day,M2_HAR,1448,0,0
NQ,GLOBEX,B0,1day,M3_HARJ,1448,0,0
NQ,GLOBEX,B0,1day,M4_HARQ,1448,0,0
NQ,GLOBEX,B0,1day,M5_RGARCH,1448,0,0
NQ,GLOBEX,B0,1day,M6_PARK,1448,0,0
NQ,GLOBEX,B0,1day,M6_GK,1448,0,0
NQ,GLOBEX,B0,1h,M1_EWMA,22259,140,140
NQ,GLOBEX,B0,1h,M2_HAR,22259,140,140
NQ,GLOBEX,B0,1h,M3_HARJ,22259,140,140
NQ,GLOBEX,B0,1h,M4_HARQ,22259,140,140
NQ,GLOBEX,B0,1h,M5_RGARCH,22259,194,140
NQ,GLOBEX,B0,1h,M6_PARK,22259,194,140
NQ,GLOBEX,B0,1h,M6_GK,22259,140,140
NQ,GLOBEX,B1,1day,M1_EWMA,1448,0,0
NQ,GLOBEX,B1,1day,M2_HAR,1448,0,0
NQ,GLOBEX,B1,1day,M3_HARJ,1448,0,0
NQ,GLOBEX,B1,1day,M4_HARQ,1448,0,0
NQ,GLOBEX,B1,1day,M5_RGARCH,1448,0,0
NQ,GLOBEX,B1,1day,M6_PARK,1448,0,0
NQ,GLOBEX,B1,1day,M6_GK,1448,0,0
