root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
ES,GLOBEX,B0,1day,5,RQ_RV,1953,0,0,0,0,4.1905353889137526e-14,2.9688999347854406e-07
ES,GLOBEX,B0,1day,5,TQ_BV,1953,31,31,1,1,0.0,0.0
ES,GLOBEX,B0,1day,5,TRQ3_TRV3,1953,1,2,1,1,0.0,0.0
ES,GLOBEX,B0,1day,5,TRQ5_TRV5,1953,1,1,1,1,0.0,0.0
ES,GLOBEX,B0,1day,5,TRQ10_TRV10,1953,1,1,1,1,0.0,0.0
ES,GLOBEX,B0,1day,5,MEDRQ_MEDRV,1953,0,0,0,0,1.4737832343668015e-14,1.4641697545006568e-07
ES,GLOBEX,B0,1day,6,RQ_RV,1953,0,0,0,0,1.282262252287445e-13,3.288946572865825e-07
ES,GLOBEX,B0,1day,6,TQ_BV,1953,11,11,1,1,0.0,0.0
ES,GLOBEX,B0,1day,6,TRQ3_TRV3,1953,1,1,1,1,0.0,0.0
ES,GLOBEX,B0,1day,6,TRQ5_TRV5,1953,1,1,1,1,0.0,0.0
ES,GLOBEX,B0,1day,6,TRQ10_TRV10,1953,1,1,1,1,0.0,0.0
ES,GLOBEX,B0,1day,6,MEDRQ_MEDRV,1953,0,0,0,0,1.9733940760711532e-14,1.9255821869544837e-07
ES,GLOBEX,B0,1day,10,RQ_RV,1953,0,0,0,0,6.332027285104098e-13,8.849747246131301e-07
ES,GLOBEX,B0,1day,10,TQ_BV,1953,1,1,0,0,0.0,6.367296969508256e-07
ES,GLOBEX,B0,1day,10,TRQ3_TRV3,1953,0,0,0,0,1.1353756358716926e-13,3.362433744769078e-07
ES,GLOBEX,B0,1day,10,TRQ5_TRV5,1953,0,0,0,0,2.342276487267001e-13,4.649809852708131e-07
ES,GLOBEX,B0,1day,10,TRQ10_TRV10,1953,0,0,0,0,6.332027285104098e-13,8.849747246131301e-07
