root,geom,btag,horizon,year,n_windows,n_rv_exact_zero,share_rv_exact_zero,n_rv_lt_1e14,share_rv_lt_1e14,min_rv
ES,GLOBEX,B0,1day,2016,245,0,0.0,0,0.0,1.0246081728837453e-05
ES,GLOBEX,B0,1day,2017,243,0,0.0,0,0.0,6.5418541908002226e-06
ES,GLOBEX,B0,1day,2018,243,0,0.0,0,0.0,9.526221219857689e-06
ES,GLOBEX,B0,1day,2019,243,0,0.0,0,0.0,7.553639079560526e-06
ES,GLOBEX,B0,1day,2020,244,0,0.0,0,0.0,6.903875146235805e-06
ES,GLOBEX,B0,1day,2021,246,0,0.0,0,0.0,5.530696398636792e-06
ES,GLOBEX,B0,1day,2022,245,0,0.0,0,0.0,1.1085823643952608e-05
ES,GLOBEX,B0,1day,2023,244,0,0.0,0,0.0,4.104314939468168e-06
ES,GLOBEX,B0,1day,0,1953,0,0.0,0,0.0,4.104314939468168e-06
ES,GLOBEX,B0,1h,2016,5390,18,0.003339517625231911,18,0.003339517625231911,0.0
ES,GLOBEX,B0,1h,2017,5346,18,0.003367003367003367,18,0.003367003367003367,0.0
ES,GLOBEX,B0,1h,2018,5346,24,0.004489337822671156,24,0.004489337822671156,0.0
ES,GLOBEX,B0,1h,2019,5346,20,0.0037411148522259632,20,0.0037411148522259632,0.0
ES,GLOBEX,B0,1h,2020,5368,34,0.006333830104321907,34,0.006333830104321907,0.0
ES,GLOBEX,B0,1h,2021,5412,24,0.004434589800443459,24,0.004434589800443459,0.0
ES,GLOBEX,B0,1h,2022,5390,21,0.003896103896103896,21,0.003896103896103896,0.0
ES,GLOBEX,B0,1h,2023,5368,27,0.005029806259314456,27,0.005029806259314456,0.0
ES,GLOBEX,B0,1h,0,42966,186,0.004329004329004329,186,0.004329004329004329,0.0
ES,GLOBEX,B0,30min,2016,11025,42,0.0038095238095238095,42,0.0038095238095238095,0.0
ES,GLOBEX,B0,30min,2017,10935,43,0.003932327389117513,43,0.003932327389117513,0.0
ES,GLOBEX,B0,30min,2018,10935,57,0.005212620027434842,57,0.005212620027434842,0.0
ES,GLOBEX,B0,30min,2019,10935,47,0.0042981252857796064,47,0.0042981252857796064,0.0
ES,GLOBEX,B0,30min,2020,10980,78,0.007103825136612022,78,0.007103825136612022,0.0
ES,GLOBEX,B0,30min,2021,11070,56,0.005058717253839205,56,0.005058717253839205,0.0
ES,GLOBEX,B0,30min,2022,11025,49,0.0044444444444444444,49,0.0044444444444444444,0.0
ES,GLOBEX,B0,30min,2023,10980,63,0.005737704918032787,63,0.005737704918032787,0.0
ES,GLOBEX,B0,30min,0,87885,435,0.004949650110940434,435,0.004949650110940434,0.0
ES,GLOBEX,B1,1day,2016,245,0,0.0,0,0.0,1.017819113258156e-05
ES,GLOBEX,B1,1day,2017,243,0,0.0,0,0.0,6.496525202237535e-06
ES,GLOBEX,B1,1day,2018,243,0,0.0,0,0.0,9.387052841702825e-06
ES,GLOBEX,B1,1day,2019,243,0,0.0,0,0.0,7.19340914656641e-06
ES,GLOBEX,B1,1day,2020,244,0,0.0,0,0.0,6.893372301419731e-06
ES,GLOBEX,B1,1day,2021,246,0,0.0,0,0.0,5.523225809156429e-06
ES,GLOBEX,B1,1day,2022,245,0,0.0,0,0.0,1.1067319974245038e-05
ES,GLOBEX,B1,1day,2023,244,0,0.0,0,0.0,4.0959930629469454e-06
ES,GLOBEX,B1,1day,0,1953,0,0.0,0,0.0,4.0959930629469454e-06
ES,GLOBEX,B1,1h,2016,5390,18,0.003339517625231911,18,0.003339517625231911,0.0
ES,GLOBEX,B1,1h,2017,5346,18,0.003367003367003367,18,0.003367003367003367,0.0
ES,GLOBEX,B1,1h,2018,5346,24,0.004489337822671156,24,0.004489337822671156,0.0
ES,GLOBEX,B1,1h,2019,5346,20,0.0037411148522259632,20,0.0037411148522259632,0.0
ES,GLOBEX,B1,1h,2020,5368,34,0.006333830104321907,34,0.006333830104321907,0.0
ES,GLOBEX,B1,1h,2021,5412,24,0.004434589800443459,24,0.004434589800443459,0.0
ES,GLOBEX,B1,1h,2022,5390,21,0.003896103896103896,21,0.003896103896103896,0.0
ES,GLOBEX,B1,1h,2023,5368,27,0.005029806259314456,27,0.005029806259314456,0.0
ES,GLOBEX,B1,1h,0,42966,186,0.004329004329004329,186,0.004329004329004329,0.0
ES,GLOBEX,B1,30min,2016,11025,42,0.0038095238095238095,42,0.0038095238095238095,0.0
ES,GLOBEX,B1,30min,2017,10935,43,0.003932327389117513,43,0.003932327389117513,0.0
ES,GLOBEX,B1,30min,2018,10935,57,0.005212620027434842,57,0.005212620027434842,0.0
ES,GLOBEX,B1,30min,2019,10935,47,0.0042981252857796064,47,0.0042981252857796064,0.0
ES,GLOBEX,B1,30min,2020,10980,81,0.007377049180327869,81,0.007377049180327869,0.0
ES,GLOBEX,B1,30min,2021,11070,56,0.005058717253839205,56,0.005058717253839205,0.0
ES,GLOBEX,B1,30min,2022,11025,49,0.0044444444444444444,49,0.0044444444444444444,0.0
ES,GLOBEX,B1,30min,2023,10980,63,0.005737704918032787,63,0.005737704918032787,0.0
ES,GLOBEX,B1,30min,0,87885,438,0.004983785628946919,438,0.004983785628946919,0.0
NQ,GLOBEX,B0,1day,2016,241,0,0.0,0,0.0,1.5331805116147734e-05
NQ,GLOBEX,B0,1day,2017,242,0,0.0,0,0.0,6.461583325290121e-06
NQ,GLOBEX,B0,1day,2018,243,0,0.0,0,0.0,1.0618650776450522e-05
NQ,GLOBEX,B0,1day,2019,243,0,0.0,0,0.0,8.866009920893703e-06
NQ,GLOBEX,B0,1day,2020,244,0,0.0,0,0.0,6.722492798871826e-06
NQ,GLOBEX,B0,1day,2021,246,0,0.0,0,0.0,4.501612238527741e-06
NQ,GLOBEX,B0,1day,2022,245,0,0.0,0,0.0,1.8703241948969662e-05
NQ,GLOBEX,B0,1day,2023,244,0,0.0,0,0.0,5.1637025535455905e-06
NQ,GLOBEX,B0,1day,0,1948,0,0.0,0,0.0,4.501612238527741e-06
NQ,GLOBEX,B0,1h,2016,5302,6,0.001131648434552999,6,0.001131648434552999,0.0
NQ,GLOBEX,B0,1h,2017,5324,15,0.0028174305033809165,15,0.0028174305033809165,0.0
NQ,GLOBEX,B0,1h,2018,5346,24,0.004489337822671156,24,0.004489337822671156,0.0
NQ,GLOBEX,B0,1h,2019,5346,20,0.0037411148522259632,20,0.0037411148522259632,0.0
NQ,GLOBEX,B0,1h,2020,5368,32,0.005961251862891207,32,0.005961251862891207,0.0
NQ,GLOBEX,B0,1h,2021,5412,24,0.004434589800443459,24,0.004434589800443459,0.0
NQ,GLOBEX,B0,1h,2022,5390,21,0.003896103896103896,21,0.003896103896103896,0.0
NQ,GLOBEX,B0,1h,2023,5368,27,0.005029806259314456,27,0.005029806259314456,0.0
NQ,GLOBEX,B0,1h,0,42856,169,0.003943438491693112,169,0.003943438491693112,0.0
NQ,GLOBEX,B0,30min,2016,10845,14,0.0012909174734900876,14,0.0012909174734900876,0.0
NQ,GLOBEX,B0,30min,2017,10890,35,0.0032139577594123047,35,0.0032139577594123047,0.0
NQ,GLOBEX,B0,30min,2018,10935,57,0.005212620027434842,57,0.005212620027434842,0.0
NQ,GLOBEX,B0,30min,2019,10935,47,0.0042981252857796064,47,0.0042981252857796064,0.0
NQ,GLOBEX,B0,30min,2020,10980,75,0.006830601092896175,75,0.006830601092896175,0.0
NQ,GLOBEX,B0,30min,2021,11070,56,0.005058717253839205,56,0.005058717253839205,0.0
NQ,GLOBEX,B0,30min,2022,11025,49,0.0044444444444444444,49,0.0044444444444444444,0.0
NQ,GLOBEX,B0,30min,2023,10980,63,0.005737704918032787,63,0.005737704918032787,0.0
NQ,GLOBEX,B0,30min,0,87660,396,0.004517453798767967,396,0.004517453798767967,0.0
NQ,GLOBEX,B1,1day,2016,241,0,0.0,0,0.0,1.4807201296207495e-05
NQ,GLOBEX,B1,1day,2017,242,0,0.0,0,0.0,6.339842911984306e-06
NQ,GLOBEX,B1,1day,2018,243,0,0.0,0,0.0,1.0558576832409017e-05
NQ,GLOBEX,B1,1day,2019,243,0,0.0,0,0.0,8.493568202538881e-06
NQ,GLOBEX,B1,1day,2020,244,0,0.0,0,0.0,6.686438609904144e-06
NQ,GLOBEX,B1,1day,2021,246,0,0.0,0,0.0,4.489011189434677e-06
NQ,GLOBEX,B1,1day,2022,245,0,0.0,0,0.0,1.8648081095307134e-05
NQ,GLOBEX,B1,1day,2023,244,0,0.0,0,0.0,5.134397724759765e-06
NQ,GLOBEX,B1,1day,0,1948,0,0.0,0,0.0,4.489011189434677e-06
NQ,GLOBEX,B1,1h,2016,5302,6,0.001131648434552999,6,0.001131648434552999,0.0
NQ,GLOBEX,B1,1h,2017,5324,15,0.0028174305033809165,15,0.0028174305033809165,0.0
NQ,GLOBEX,B1,1h,2018,5346,24,0.004489337822671156,24,0.004489337822671156,0.0
NQ,GLOBEX,B1,1h,2019,5346,20,0.0037411148522259632,20,0.0037411148522259632,0.0
NQ,GLOBEX,B1,1h,2020,5368,32,0.005961251862891207,32,0.005961251862891207,0.0
NQ,GLOBEX,B1,1h,2021,5412,24,0.004434589800443459,24,0.004434589800443459,0.0
NQ,GLOBEX,B1,1h,2022,5390,21,0.003896103896103896,21,0.003896103896103896,0.0
NQ,GLOBEX,B1,1h,2023,5368,27,0.005029806259314456,27,0.005029806259314456,0.0
NQ,GLOBEX,B1,1h,0,42856,169,0.003943438491693112,169,0.003943438491693112,0.0
NQ,GLOBEX,B1,30min,2016,10845,14,0.0012909174734900876,14,0.0012909174734900876,0.0
NQ,GLOBEX,B1,30min,2017,10890,35,0.0032139577594123047,35,0.0032139577594123047,0.0
NQ,GLOBEX,B1,30min,2018,10935,57,0.005212620027434842,57,0.005212620027434842,0.0
NQ,GLOBEX,B1,30min,2019,10935,47,0.0042981252857796064,47,0.0042981252857796064,0.0
NQ,GLOBEX,B1,30min,2020,10980,78,0.007103825136612022,78,0.007103825136612022,0.0
NQ,GLOBEX,B1,30min,2021,11070,56,0.005058717253839205,56,0.005058717253839205,0.0
NQ,GLOBEX,B1,30min,2022,11025,49,0.0044444444444444444,49,0.0044444444444444444,0.0
NQ,GLOBEX,B1,30min,2023,10980,63,0.005737704918032787,63,0.005737704918032787,0.0
NQ,GLOBEX,B1,30min,0,87660,399,0.004551676933607118,399,0.004551676933607118,0.0
ES,RTH,B0,1day,2016,239,0,0.0,0,0.0,5.254099505691556e-06
ES,RTH,B0,1day,2017,237,0,0.0,0,0.0,4.0984739371197065e-06
ES,RTH,B0,1day,2018,236,0,0.0,0,0.0,7.336596127061057e-06
ES,RTH,B0,1day,2019,237,0,0.0,0,0.0,4.0244858610094525e-06
ES,RTH,B0,1day,2020,239,0,0.0,0,0.0,6.55372605251614e-06
ES,RTH,B0,1day,2021,239,0,0.0,0,0.0,5.715958650398534e-06
ES,RTH,B0,1day,2022,238,0,0.0,0,0.0,2.924776799773099e-05
ES,RTH,B0,1day,2023,236,0,0.0,0,0.0,8.170141882146709e-06
ES,RTH,B0,1day,0,1901,0,0.0,0,0.0,4.0244858610094525e-06
ES,RTH,B0,1h,2016,1434,0,0.0,0,0.0,4.676930984715e-07
ES,RTH,B0,1h,2017,1422,0,0.0,0,0.0,3.71921942132758e-07
ES,RTH,B0,1h,2018,1416,0,0.0,0,0.0,3.3939454624487553e-07
ES,RTH,B0,1h,2019,1422,0,0.0,0,0.0,2.52102836384438e-07
ES,RTH,B0,1h,2020,1434,0,0.0,0,0.0,2.9470720619428903e-07
ES,RTH,B0,1h,2021,1434,0,0.0,0,0.0,2.898268576245755e-07
ES,RTH,B0,1h,2022,1428,0,0.0,0,0.0,1.4522265701089054e-06
ES,RTH,B0,1h,2023,1416,0,0.0,0,0.0,5.730835255235434e-07
ES,RTH,B0,1h,0,11406,0,0.0,0,0.0,2.52102836384438e-07
ES,RTH,B0,30min,2016,2868,0,0.0,0,0.0,1.8473542695573997e-07
ES,RTH,B0,30min,2017,2844,0,0.0,0,0.0,1.203261490445584e-07
ES,RTH,B0,30min,2018,2832,0,0.0,0,0.0,1.4570559869753197e-07
ES,RTH,B0,30min,2019,2844,0,0.0,0,0.0,1.014423105516471e-07
ES,RTH,B0,30min,2020,2868,0,0.0,0,0.0,9.692848834674805e-08
ES,RTH,B0,30min,2021,2868,0,0.0,0,0.0,1.0861458576982841e-07
ES,RTH,B0,30min,2022,2856,0,0.0,0,0.0,4.3788077164208516e-07
ES,RTH,B0,30min,2023,2832,0,0.0,0,0.0,2.1463347366079688e-07
ES,RTH,B0,30min,0,22812,0,0.0,0,0.0,9.692848834674805e-08
ES,RTH,B1,1day,2016,239,0,0.0,0,0.0,5.154926384420833e-06
ES,RTH,B1,1day,2017,237,0,0.0,0,0.0,4.014681735498016e-06
ES,RTH,B1,1day,2018,236,0,0.0,0,0.0,7.0988280640449375e-06
ES,RTH,B1,1day,2019,237,0,0.0,0,0.0,3.592694156395737e-06
ES,RTH,B1,1day,2020,239,0,0.0,0,0.0,6.529590791615192e-06
ES,RTH,B1,1day,2021,239,0,0.0,0,0.0,5.251145012152847e-06
ES,RTH,B1,1day,2022,238,0,0.0,0,0.0,2.9134610485925805e-05
ES,RTH,B1,1day,2023,236,0,0.0,0,0.0,8.167390660673846e-06
ES,RTH,B1,1day,0,1901,0,0.0,0,0.0,3.592694156395737e-06
ES,RTH,B1,1h,2016,1434,0,0.0,0,0.0,4.6621289584436454e-07
ES,RTH,B1,1h,2017,1422,0,0.0,0,0.0,3.71921942132758e-07
ES,RTH,B1,1h,2018,1416,0,0.0,0,0.0,3.39741063726251e-07
ES,RTH,B1,1h,2019,1422,0,0.0,0,0.0,2.5106601242441684e-07
ES,RTH,B1,1h,2020,1434,0,0.0,0,0.0,2.9668262868653983e-07
ES,RTH,B1,1h,2021,1434,0,0.0,0,0.0,2.898268576245755e-07
ES,RTH,B1,1h,2022,1428,0,0.0,0,0.0,1.4523329809890129e-06
ES,RTH,B1,1h,2023,1416,0,0.0,0,0.0,5.730835255235434e-07
ES,RTH,B1,1h,0,11406,0,0.0,0,0.0,2.5106601242441684e-07
ES,RTH,B1,30min,2016,2868,0,0.0,0,0.0,1.8388959688309114e-07
ES,RTH,B1,30min,2017,2844,0,0.0,0,0.0,1.209962192660896e-07
ES,RTH,B1,30min,2018,2832,0,0.0,0,0.0,1.4570559869753197e-07
ES,RTH,B1,30min,2019,2844,0,0.0,0,0.0,1.014423105516471e-07
ES,RTH,B1,30min,2020,2868,0,0.0,0,0.0,9.692848834674805e-08
ES,RTH,B1,30min,2021,2868,0,0.0,0,0.0,1.0861458576982841e-07
ES,RTH,B1,30min,2022,2856,0,0.0,0,0.0,4.3798263504868373e-07
ES,RTH,B1,30min,2023,2832,0,0.0,0,0.0,2.140413926099427e-07
