cell,rank,estimator,ratio_max_min,cv,elasticity
ES/GLOBEX/B0/1day,1,E1_d_model_L1-10,1.083638550260822,0.029921201645922674,-1.1344936014385867
ES/GLOBEX/B0/1day,2,E1_a_exp_L1-10,1.3605569890083837,0.0843544609516444,-0.2740783270776374
ES/GLOBEX/B0/1day,3,E1_d_model_L1-5,1.3609469649902635,0.08611868130667043,-0.9246842563636127
ES/GLOBEX/B0/1day,4,E1_a_exp_L1-5,1.373159917329864,0.08668018852212601,-0.28908530220770856
ES/GLOBEX/B0/1day,5,E2,1.4677687052837385,0.10403163128567436,-0.22148537119236822
ES/GLOBEX/B0/1day,6,E4,1.6831145796068003,0.15147451173091447,-0.6265040342520823
ES/GLOBEX/B0/1day,7,E4_asS05,1.967690182153563,0.21568508111876422,-0.16912029393429046
ES/GLOBEX/B1/1day,1,E1_d_model_L1-10,1.0767798297671183,0.025886102411848563,-1.1347918609389083
ES/GLOBEX/B1/1day,2,E1_a_exp_L1-10,1.3625753279845534,0.08542813419357788,-0.2736803912401553
ES/GLOBEX/B1/1day,3,E1_d_model_L1-5,1.3651978794450903,0.08734953329443292,-0.9254676600928108
ES/GLOBEX/B1/1day,4,E1_a_exp_L1-5,1.3774029660255889,0.08838895785975637,-0.28765518376388455
ES/GLOBEX/B1/1day,5,E2,1.4644647701634814,0.10448819319355665,-0.22252506608328093
ES/GLOBEX/B1/1day,6,E4,1.69063259608596,0.15159307787617707,-0.6267003425525822
ES/GLOBEX/B1/1day,7,E4_asS05,1.9337794736752094,0.1915302651521639,-0.46252792803917303
ES/RTH/B0/1day,1,E1_d_model_L1-10,1.1121262263793914,0.03634149396307612,-1.6237074943583762
ES/RTH/B0/1day,2,E1_d_model_L1-5,1.2736014888554938,0.0776082614250535,-0.8435308237409708
ES/RTH/B0/1day,3,E1_a_exp_L1-10,1.283939403381122,0.07740636764350027,-0.2868735366040316
ES/RTH/B0/1day,4,E1_a_exp_L1-5,1.2848982659382497,0.0789059614878342,-0.3108647917012917
ES/RTH/B0/1day,5,E2,1.3084678217747214,0.0863917895648693,-0.3702899586142057
ES/RTH/B0/1day,6,E4,1.520825883822064,0.13227681126470064,-0.7044242036543622
ES/RTH/B0/1day,7,E4_asS05,1.794255801892122,0.18198118106600494,-0.33350109232472747
ES/RTH/B0/1h,1,E2,1.2119703447370576,0.06298732366173779,-0.49644146004867323
ES/RTH/B0/1h,2,E1_a_exp_L1-10,1.2576043538564288,0.06840326975349474,-0.335683409621666
ES/RTH/B0/1h,3,E1_a_exp_L1-5,1.2590628539001558,0.06841161658030147,-0.36061815010505055
ES/RTH/B0/1h,4,E1_d_model_L1-5,1.2712993492321134,0.07136254381018105,-0.7836817751683093
ES/RTH/B0/1h,5,E1_d_model_L1-10,1.275725653752897,0.07235997989309942,-0.6987000311963419
ES/RTH/B0/1h,6,E4,1.4581649260188374,0.10983132972435264,-0.6434127893703211
