root,geom,btag,horizon,M,omega2_N1,iv_hat,bias_2Momega2_over_IV,bias_min_across_estimates,bias_max_across_estimates,trigamma
ES,GLOBEX,B0,1day,5,3.951537423267866e-09,0.0001209727002771,0.00032664703806862844,7.623700188311859e-05,0.0011604740162826825,0.4903577561002349
ES,GLOBEX,B0,1day,6,3.951537423267866e-09,0.0001209727002771,0.0003919764456823542,9.14844022597423e-05,0.001392568819539219,0.39493406684822646
ES,GLOBEX,B0,1day,10,3.951537423267866e-09,0.0001209727002771,0.0006532940761372569,0.00015247400376623718,0.002320948032565365,0.22132295573711533
ES,GLOBEX,B0,1day,12,3.951537423267866e-09,0.0001209727002771,0.0007839528913647084,0.0001829688045194846,0.002785137639078438,0.18132295573711532
ES,GLOBEX,B0,1day,23,3.951537423267866e-09,0.0001209727002771,0.0015025763751156907,0.0003506902086623455,0.00533818047490034,0.09084666127454626
ES,GLOBEX,B0,1day,46,3.951537423267866e-09,0.0001209727002771,0.0030051527502313814,0.000701380417324691,0.01067636094980068,0.044437133536578646
ES,GLOBEX,B0,1day,138,3.951537423267866e-09,0.0001209727002771,0.009015458250694145,0.002104141251974073,0.03202908284940204,0.014598280898442317
ES,GLOBEX,B0,1day,345,3.951537423267866e-09,0.0001209727002771,0.022538645626735365,0.005260353129935183,0.08007270712350509,0.005813937111601127
ES,GLOBEX,B0,1day,1379,3.951537423267866e-09,0.0001209727002771,0.09008925309932772,0.02102616511936411,0.3200587336907639,0.001451378555092054
ES,GLOBEX,B1,1day,5,3.951537423267866e-09,0.0001209727002771,0.00032664703806862844,7.623700188311859e-05,0.0011604740162826825,0.4903577561002349
ES,GLOBEX,B1,1day,6,3.951537423267866e-09,0.0001209727002771,0.0003919764456823542,9.14844022597423e-05,0.001392568819539219,0.39493406684822646
ES,GLOBEX,B1,1day,10,3.951537423267866e-09,0.0001209727002771,0.0006532940761372569,0.00015247400376623718,0.002320948032565365,0.22132295573711533
ES,GLOBEX,B1,1day,12,3.951537423267866e-09,0.0001209727002771,0.0007839528913647084,0.0001829688045194846,0.002785137639078438,0.18132295573711532
ES,GLOBEX,B1,1day,23,3.951537423267866e-09,0.0001209727002771,0.0015025763751156907,0.0003506902086623455,0.00533818047490034,0.09084666127454626
