root,geom,group,n_days,intercept_EIV,omega2_N1,omega2_N2,NSR_N1,NSR_N2,signature_R2,mean_rv_coarsest,mean_rv_finest
ES,GLOBEX,all,1901,0.0001209727002771,3.951537423267866e-09,4.7537888330464137e-08,3.266470380683616e-05,0.0003929637696896,0.872089551162772,0.0001193311291569,0.000131204571792
ES,GLOBEX,y2016,239,8.07613305565629e-05,4.977450064421674e-09,3.4123192018741784e-08,6.163160054595203e-05,0.0004225189429592,0.966837391691466,8.018276721419507e-05,9.41800099717273e-05
ES,GLOBEX,y2017,237,1.8195402256443403e-05,2.938636891388617e-09,9.487339567971972e-09,0.0001615043652221,0.0005214141151846,0.9782682551493832,1.7508248732308177e-05,2.618505720760264e-05
ES,GLOBEX,y2018,236,0.0001149594247353,3.4207123125609595e-09,4.5149255442440124e-08,2.975582315617499e-05,0.0003927407913389,0.9157450358606438,0.0001156422599931,0.0001246119450211
ES,GLOBEX,y2019,237,6.031080820650466e-05,2.834414578578679e-09,2.4705745453293372e-08,4.699679315975376e-05,0.0004096404307616,0.864118477983026,6.241715841242217e-05,6.81878574510897e-05
ES,GLOBEX,y2020,239,0.0003313732599693,1.4038567535112742e-08,1.3235132987778513e-07,4.236481705377088e-05,0.0003994025646186,0.5584738917983649,0.0003132874802879,0.0003652896704626
ES,GLOBEX,y2021,239,7.008157402693876e-05,9.386206769190078e-10,2.6322612373406063e-08,1.3393259069184291e-05,0.0003755996171445,0.863362262671298,7.058035386679025e-05,7.265041015060074e-05
ES,GLOBEX,y2022,238,0.0002209185029157,9.222595978831213e-10,8.089965985189937e-08,4.174659821205353e-06,0.0003661968498979,0.0995433089190207,0.0002235787853249,0.0002232830611912
ES,GLOBEX,y2023,236,6.951033935432004e-05,1.4733686657501155e-09,2.66012972308921e-08,2.1196395808684055e-05,0.0003826955454108,0.8911807736163461,6.989295356458153e-05,7.341958035726219e-05
ES,GLOBEX,terc1,634,1.9047268488224216e-05,3.5716492171142473e-09,1.0247438680968764e-08,0.0001875150349942,0.0005380004323089,0.8133228439008563,1.6399853256339478e-05,2.828293075947379e-05
ES,GLOBEX,terc2,633,5.441332029918532e-05,3.694666694390074e-09,2.319845138777889e-08,6.790004127804329e-05,0.0004263377287073,0.8642909908957036,5.2262225979627794e-05,6.402772583026974e-05
ES,GLOBEX,terc3,634,0.000289352528795,4.587891199420921e-09,1.0912938464355533e-07,1.585571489050707e-05,0.0003771502709792,0.8433189824918285,0.0002892255213214,0.0003011971016162
ES,RTH,all,1901,7.038187425831277e-05,6.343065749071181e-09,9.536462057494004e-08,9.012356968203363e-05,0.0013549599464336,0.6521183694409434,6.907053223890464e-05,7.438440404845322e-05
ES,RTH,y2016,239,4.2547249627001386e-05,6.62894391597224e-09,6.111250240103744e-08,0.0001558019372365,0.001436344368597,0.9868853102901372,4.291121988206741e-05,4.76677518728092e-05
ES,RTH,y2017,237,1.185015526108417e-05,4.506331661056111e-09,1.9669446961474307e-08,0.0003802761703768,0.0016598471942446,0.9907045949740816,1.208558155870851e-05,1.534216862994996e-05
