root,geom,btag,horizon,estimator,M,var_log_rv,lam,var_log_eps,interior_min_M,interior_depth
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,5,2.023316946343081,0.5956639710359642,0.8180999394200005,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,6,2.050281074184577,0.6131616265901894,0.7931273957704812,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,10,1.708196859425972,0.7070137042422256,0.5004782702682792,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,12,1.6972763586777508,0.7266936123752056,0.46387647039118096,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,23,1.5134912872944053,0.7789721585901574,0.33452371222328625,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,46,1.420051359269385,0.819118805603915,0.2568605859684303,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,138,1.3123452370132864,0.852556228906841,0.19349713072138447,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,345,1.2207286028355093,0.8709563797361894,0.15752723826947748,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-5,1379,1.0427598409404542,0.877976628915801,0.1272410710227774,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,5,2.023316946343081,0.5871973323902172,0.8352306328705036,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,6,2.050281074184577,0.5997358930699085,0.8206539231141585,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,10,1.708196859425972,0.6861971592489526,0.5360370270498875,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,12,1.6972763586777508,0.7051621448893021,0.5004213211226437,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,23,1.5134912872944053,0.7613385653163198,0.3612120020069327,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,46,1.420051359269385,0.7914474837508363,0.2961552841786754,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,138,1.3123452370132864,0.831217816990237,0.2215004939655673,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,345,1.2207286028355093,0.8505869592322597,0.18239277250180863,,
ES,GLOBEX,B0,1day,E1_a_exp_L1-10,1379,1.0427598409404542,0.8667072100011511,0.138992368497709,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,5,2.023316946343081,0.6818363516915608,0.6437459013328053,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,6,2.050281074184577,0.6905692616973194,0.6344199865129468,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,10,1.708196859425972,0.8094410247165847,0.32551224311456134,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,12,1.6972763586777508,0.8186526723327789,0.3077965319589619,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,23,1.5134912872944053,0.8851643826556049,0.17380270632181624,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,46,1.420051359269385,0.9460569566447833,0.07660189203970287,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,138,1.3123452370132864,0.968796338427873,0.04094997664155532,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,345,1.2207286028355093,0.9897347223285731,0.012531118069559548,,
ES,GLOBEX,B0,1day,E1_d_model_L1-5,1379,1.0427598409404542,0.9976889164374293,0.0024099051281063254,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,5,2.023316946343081,0.7626460265902446,0.48024231668182316,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,6,2.050281074184577,0.7550980199186257,0.5021178947911701,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,10,1.708196859425972,0.864001850404424,0.23231161202690642,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,12,1.6972763586777508,0.8743663163502468,0.21323508111232567,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,23,1.5134912872944053,0.9439573283845926,0.08482009520662062,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,46,1.420051359269385,1.011476496423329,-0.016297214345598485,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,138,1.3123452370132864,1.0622439758345663,-0.0816855852192632,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,345,1.2207286028355093,1.0546671988354808,-0.06673381325536742,,
ES,GLOBEX,B0,1day,E1_d_model_L1-10,1379,1.0427598409404542,1.0913917164632838,-0.09529961172252892,,
ES,GLOBEX,B0,1day,E2,5,2.023316946343081,1.110793976920714,-0.2241713310564249,,
ES,GLOBEX,B0,1day,E2,6,2.050281074184577,0.6311869932012967,0.7561703277524893,,
ES,GLOBEX,B0,1day,E2,10,1.708196859425972,0.7003727401136092,0.5118223443363423,,
ES,GLOBEX,B0,1day,E2,12,1.6972763586777508,0.7244037469703767,0.4677630048073511,,
ES,GLOBEX,B0,1day,E2,23,1.5134912872944053,0.7858933084173252,0.3240486122618087,,
ES,GLOBEX,B0,1day,E2,46,1.420051359269385,0.8239594697245847,0.24998659430410688,,
ES,GLOBEX,B0,1day,E2,138,1.3123452370132864,0.8577785223066002,0.18664367885192454,,
ES,GLOBEX,B0,1day,E2,345,1.2207286028355093,0.8615116775333784,0.16905665639371242,,
ES,GLOBEX,B0,1day,E2,1379,1.0427598409404542,0.8455309763227498,0.1610740945599167,,
ES,GLOBEX,B0,1day,E4,5,2.023316946343081,0.8325175125134953,0.3388701551471381,,
ES,GLOBEX,B0,1day,E4,6,2.050281074184577,0.8508364935836736,0.30582711416440367,,
ES,GLOBEX,B0,1day,E4,10,1.708196859425972,0.869818795123077,0.22237512532704884,,
ES,GLOBEX,B0,1day,E4,12,1.6972763586777508,0.8820187260680348,0.2002468270114082,,
ES,GLOBEX,B0,1day,E4,23,1.5134912872944053,0.9115912039620961,0.13380594252355563,,
ES,GLOBEX,B0,1day,E4,46,1.420051359269385,0.9409039728269989,0.08391939371444074,,
ES,GLOBEX,B0,1day,E4,138,1.3123452370132864,0.9714857991839441,0.03742047562819137,,
ES,GLOBEX,B0,1day,E4,345,1.2207286028355093,0.9851629987698456,0.018111951781955127,,
ES,GLOBEX,B0,1day,E4,1379,1.0427598409404542,0.9939431220780819,0.00631586905845508,,
ES,GLOBEX,B0,1day,E4_asS05,5,2.023316946343081,0.9986494381892058,0.002732614598863666,,
ES,GLOBEX,B0,1day,E4_asS05,6,2.050281074184577,0.998806677936662,0.0024466456418687868,,
ES,GLOBEX,B0,1day,E4_asS05,10,1.708196859425972,0.8942807846255313,0.18058923168364538,,
ES,GLOBEX,B0,1day,E4_asS05,12,1.6972763586777508,0.9048571320066028,0.16148374054199116,,
ES,GLOBEX,B0,1day,E4_asS05,23,1.5134912872944053,0.9328291585978808,0.10166248322234166,,
ES,GLOBEX,B0,1day,E4_asS05,46,1.420051359269385,0.9602371722077924,0.05646525765471893,,
ES,GLOBEX,B0,1day,E4_asS05,138,1.3123452370132864,0.9853534957771916,0.019221270055697647,,
ES,GLOBEX,B0,1day,E4_asS05,345,1.2207286028355093,0.9934167682129836,0.008036339341506799,,
ES,GLOBEX,B0,1day,E4_asS05,1379,1.0427598409404542,0.9980535053458508,0.0020297264559520642,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,5,2.0214334056908165,0.6018412467435879,0.8048514046007187,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,6,2.0614722980778666,0.6136406387816775,0.7964691202546318,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,10,1.733752892535443,0.7083193853173976,0.505702109402478,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,12,1.7119648410236044,0.7265088014525074,0.46820731624271317,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,23,1.5300181798960488,0.771300089446707,0.3499150208871385,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,46,1.430672917311101,0.8185551011496369,0.2595883027694666,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,138,1.3219597535250718,0.8522525735074082,0.19531615151011025,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,345,1.2268554714356799,0.8708689441414775,0.1584251424122947,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-5,1379,1.0459490460855796,0.8780516725356751,0.12755173678304255,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,5,2.0214334056908165,0.5873014232040379,0.8342426896164147,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,6,2.0614722980778666,0.5991318806863252,0.8263785231477137,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,10,1.733752892535443,0.6877681046096383,0.5413329517748634,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,12,1.7119648410236044,0.70503141659802,0.5049758439907284,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,23,1.5300181798960488,0.7612684253803432,0.36526364928328503,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,46,1.430672917311101,0.7918747203063858,0.29775920106545184,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,138,1.3219597535250718,0.8311134283820746,0.22326125058972707,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,345,1.2268554714356799,0.8503750670313602,0.18356816767577255,,
ES,GLOBEX,B1,1day,E1_a_exp_L1-10,1379,1.0459490460855796,0.8666203514951089,0.1395083161209208,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,5,2.0214334056908165,0.6830105910612961,0.6407729804788831,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,6,2.0614722980778666,0.6911333594410262,0.6367200233126982,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,10,1.733752892535443,0.8109375104291499,0.3277876381634135,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,12,1.7119648410236044,0.8184491679531181,0.31080864132284336,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,23,1.5300181798960488,0.8840487679390093,0.17740749303466133,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,46,1.430672917311101,0.9221956361580879,0.11131259619724278,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,138,1.3219597535250718,0.9684617892464102,0.041692245314437285,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,345,1.2268554714356799,0.9896363581117097,0.012714690754648967,,
ES,GLOBEX,B1,1day,E1_d_model_L1-5,1379,1.0459490460855796,0.9977763961146608,0.0023257763627426765,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,5,2.0214334056908165,0.7628353127365733,0.479412621484506,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,6,2.0614722980778666,0.7543369361618956,0.5064276007631868,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,10,1.733752892535443,0.8660196012965173,0.232288903795215,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,12,1.7119648410236044,0.8742181903905147,0.2153340356917637,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,23,1.5300181798960488,0.9438856286789935,0.0858560082745774,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,46,1.430672917311101,1.0120492009949407,-0.017238465538699586,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,138,1.3219597535250718,1.0621405065278342,-0.08214724869345882,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,345,1.2268554714356799,1.0544202520405481,-0.06676578397285518,,
ES,GLOBEX,B1,1day,E1_d_model_L1-10,1379,1.0459490460855796,1.0912916258034375,-0.09548638892470716,,
