root,geom,btag,horizon,reference,M,n_ref_nonpositive,var_log_ref,var_log_rv,lam_ref,elasticity,elasticity_r2,n_dropped
ES,GLOBEX,B0,1day,kernel,5,0,1.2885839143130653,2.023316946343081,0.6368670596280215,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,6,0,1.2885839143130653,2.050281074184577,0.6284913471317837,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,10,0,1.2885839143130653,1.708196859425972,0.7543532861581804,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,12,0,1.2885839143130653,1.6972763586777508,0.7592068950497407,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,23,0,1.2885839143130653,1.5134912872944053,0.851398303466024,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,46,0,1.2885839143130653,1.420051359269385,0.9074206407407971,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,138,0,1.2885839143130653,1.3123452370132864,0.9818940001227889,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,345,0,1.2885839143130653,1.2207286028355093,1.0555859110042491,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,kernel,1379,0,1.2885839143130653,1.0427598409404542,1.2357437098372575,-1.010101337580131,0.9707705814367041,2
ES,GLOBEX,B0,1day,tsrv,5,0,1.2889242832140813,2.023316946343081,0.637035282852579,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,6,0,1.2889242832140813,2.050281074184577,0.6286573579803943,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,10,0,1.2889242832140813,1.708196859425972,0.7545525424084994,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,12,0,1.2889242832140813,1.6972763586777508,0.7594074333411485,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,23,0,1.2889242832140813,1.5134912872944053,0.8516231933638868,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,46,0,1.2889242832140813,1.420051359269385,0.9076603284808173,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,138,0,1.2889242832140813,1.3123452370132864,0.9821533593915364,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,345,0,1.2889242832140813,1.2207286028355093,1.0558647353884942,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B0,1day,tsrv,1379,0,1.2889242832140813,1.0427598409404542,1.2360701214304666,-1.0137433742502693,0.9702763789107957,2
ES,GLOBEX,B1,1day,kernel,5,0,1.2941336015651725,2.0214334056908165,0.6402059043458361,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,6,0,1.2941336015651725,2.0614722980778666,0.6277715217283459,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,10,0,1.2941336015651725,1.733752892535443,0.7464348622788046,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,12,0,1.2941336015651725,1.7119648410236044,0.7559346842610357,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,23,0,1.2941336015651725,1.5300181798960488,0.8458289048912461,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,46,0,1.2941336015651725,1.430672917311101,0.9045628710141873,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,138,0,1.2941336015651725,1.3219597535250718,0.9789508327422984,-0.9693403794865191,0.9739599518525027,2
ES,GLOBEX,B1,1day,kernel,345,0,1.2941336015651725,1.2268554714356799,1.0548378612606772,-0.9693403794865191,0.9739599518525027,2
