root,geom,btag,horizon,M,trv_over_rv,share_rv_removed
ES,GLOBEX,B0,1day,5,0.8963851537697567,0.10361484623024331
ES,GLOBEX,B0,1day,6,0.8862462015619129,0.11375379843808708
ES,GLOBEX,B0,1day,10,0.8810529844170812,0.11894701558291876
ES,GLOBEX,B0,1day,12,0.8606464273234318,0.13935357267656823
ES,GLOBEX,B0,1day,23,0.8140011147524961,0.18599888524750385
ES,GLOBEX,B0,1day,46,0.7617120427450689,0.23828795725493113
ES,GLOBEX,B0,1day,138,0.7149515856810496,0.28504841431895045
ES,GLOBEX,B0,1day,345,0.7045527491227342,0.29544725087726575
ES,GLOBEX,B0,1day,1379,0.7062061224344145,0.2937938775655855
ES,GLOBEX,B1,1day,5,0.9008353738456116,0.09916462615438837
ES,GLOBEX,B1,1day,6,0.8893269807526273,0.11067301924737272
ES,GLOBEX,B1,1day,10,0.8897387513815859,0.11026124861841413
ES,GLOBEX,B1,1day,12,0.8631635107048081,0.13683648929519188
ES,GLOBEX,B1,1day,23,0.812794727554106,0.18720527244589402
ES,GLOBEX,B1,1day,46,0.7697562359436474,0.2302437640563526
ES,GLOBEX,B1,1day,138,0.727429118452734,0.27257088154726605
ES,GLOBEX,B1,1day,345,0.7086842926279142,0.2913157073720858
ES,GLOBEX,B1,1day,1379,0.7092360401856576,0.29076395981434244
ES,RTH,B0,1day,5,0.9015429226955076,0.09845707730449238
ES,RTH,B0,1day,6,0.9158467408596486,0.08415325914035143
ES,RTH,B0,1day,10,0.9151594016412837,0.08484059835871627
ES,RTH,B0,1day,13,0.9109099060959448,0.0890900939040552
ES,RTH,B0,1day,26,0.88505408045381,0.11494591954619005
ES,RTH,B0,1day,78,0.8481204607811696,0.15187953921883035
ES,RTH,B0,1day,195,0.8284416826771146,0.1715583173228854
ES,RTH,B0,1day,389,0.8259490816344459,0.17405091836555409
ES,RTH,B0,1h,4,0.9284615120345546,0.07153848796544537
ES,RTH,B0,1h,5,0.9316255432567718,0.06837445674322817
ES,RTH,B0,1h,6,0.9382811206695486,0.06171887933045139
ES,RTH,B0,1h,10,0.93836923334722,0.06163076665278
ES,RTH,B0,1h,12,0.9381296755637394,0.061870324436260615
ES,RTH,B0,1h,15,0.9308286479080836,0.06917135209191638
ES,RTH,B0,1h,20,0.9243023355064154,0.07569766449358462
ES,RTH,B0,1h,30,0.914452525831234,0.08554747416876596
ES,RTH,B0,1h,60,0.9035161935963858,0.0964838064036142
ES,RTH,B0,30min,5,0.9261710392572926,0.0738289607427074
ES,RTH,B0,30min,6,0.9323606871818028,0.06763931281819724
ES,RTH,B0,30min,10,0.9321148654376268,0.06788513456237322
ES,RTH,B0,30min,15,0.9281984688766233,0.07180153112337673
ES,RTH,B0,30min,30,0.9182773891744102,0.08172261082558985
ES,RTH,B1,1day,5,0.909742732520125,0.09025726747987495
ES,RTH,B1,1day,6,0.9171836118946705,0.08281638810532954
ES,RTH,B1,1day,10,0.9159544057082667,0.0840455942917333
ES,RTH,B1,1day,13,0.9164200993656884,0.08357990063431164
ES,RTH,B1,1day,26,0.8978886481871853,0.10211135181281472
ES,RTH,B1,1day,78,0.8561571629578308,0.14384283704216916
ES,RTH,B1,1day,195,0.8313634943496441,0.16863650565035593
ES,RTH,B1,1day,389,0.8303748516927357,0.16962514830726427
ES,RTH,B1,1h,4,0.9293143131746632,0.07068568682533682
ES,RTH,B1,1h,5,0.9339643645671641,0.06603563543283586
ES,RTH,B1,1h,6,0.9394459506258813,0.06055404937411868
ES,RTH,B1,1h,10,0.93946490226671,0.06053509773329002
ES,RTH,B1,1h,12,0.9397660309853736,0.06023396901462641
ES,RTH,B1,1h,15,0.9308802986588022,0.06911970134119783
ES,RTH,B1,1h,20,0.9248420222320072,0.07515797776799282
ES,RTH,B1,1h,30,0.9153753829738245,0.08462461702617552
ES,RTH,B1,1h,60,0.9030887200270213,0.09691127997297866
ES,RTH,B1,30min,5,0.9269683469371874,0.07303165306281256
ES,RTH,B1,30min,6,0.9326142038801127,0.06738579611988726
ES,RTH,B1,30min,10,0.932710904460034,0.06728909553996598
ES,RTH,B1,30min,15,0.9289098398168077,0.07109016018319225
ES,RTH,B1,30min,30,0.917872252621101,0.08212774737889905
NQ,GLOBEX,B0,1day,5,0.8915632962704334,0.1084367037295666
NQ,GLOBEX,B0,1day,6,0.8832762120543511,0.11672378794564886
NQ,GLOBEX,B0,1day,10,0.866511770792767,0.13348822920723302
NQ,GLOBEX,B0,1day,12,0.8321973192551033,0.16780268074489668
NQ,GLOBEX,B0,1day,23,0.7943204793287713,0.20567952067122874
NQ,GLOBEX,B0,1day,46,0.7166980726219627,0.2833019273780373
NQ,GLOBEX,B0,1day,138,0.6726401133629406,0.3273598866370594
NQ,GLOBEX,B0,1day,345,0.6603238976243117,0.33967610237568835
NQ,GLOBEX,B0,1day,1379,0.6503181731229637,0.3496818268770363
NQ,GLOBEX,B1,1day,5,0.8931935587769513,0.10680644122304872
NQ,GLOBEX,B1,1day,6,0.8716949090590509,0.1283050909409491
NQ,GLOBEX,B1,1day,10,0.8704485363022336,0.12955146369776638
NQ,GLOBEX,B1,1day,12,0.832279756129236,0.167720243870764
NQ,GLOBEX,B1,1day,23,0.7936164470528939,0.20638355294710609
NQ,GLOBEX,B1,1day,46,0.7245861023761394,0.2754138976238606
NQ,GLOBEX,B1,1day,138,0.6845704466867877,0.3154295533132123
NQ,GLOBEX,B1,1day,345,0.6626409502295734,0.33735904977042663
NQ,GLOBEX,B1,1day,1379,0.6539445932616604,0.34605540673833957
NQ,RTH,B0,1day,5,0.8880518762301018,0.11194812376989816
NQ,RTH,B0,1day,6,0.9029795034369881,0.09702049656301193
NQ,RTH,B0,1day,10,0.9071335657909925,0.09286643420900753
NQ,RTH,B0,1day,13,0.89586435129439,0.10413564870560998
NQ,RTH,B0,1day,26,0.8662238988488303,0.13377610115116967
NQ,RTH,B0,1day,78,0.8344225769870856,0.16557742301291445
NQ,RTH,B0,1day,195,0.8105094801664043,0.18949051983359566
NQ,RTH,B0,1day,389,0.801160784962716,0.19883921503728397
NQ,RTH,B0,1h,4,0.9291608129182771,0.07083918708172288
NQ,RTH,B0,1h,5,0.9369709680034728,0.06302903199652721
NQ,RTH,B0,1h,6,0.9385358404376885,0.06146415956231155
NQ,RTH,B0,1h,10,0.9384649801089279,0.06153501989107213
NQ,RTH,B0,1h,12,0.9382907951367866,0.06170920486321341
NQ,RTH,B0,1h,15,0.9329007664143694,0.06709923358563064
NQ,RTH,B0,1h,20,0.9275972097467309,0.07240279025326912
NQ,RTH,B0,1h,30,0.9138907436500139,0.08610925634998612
NQ,RTH,B0,1h,60,0.9013932471027377,0.09860675289726228
NQ,RTH,B0,30min,5,0.9297027059531905,0.07029729404680951
NQ,RTH,B0,30min,6,0.9355457062847037,0.06445429371529632
NQ,RTH,B0,30min,10,0.9364318695187461,0.06356813048125387
NQ,RTH,B0,30min,15,0.9293207604844322,0.07067923951556776
NQ,RTH,B0,30min,30,0.9196930746461426,0.08030692535385742
NQ,RTH,B1,1day,5,0.8978713820075676,0.10212861799243245
