session,year,weekday,month_day,utc_offset_hours,dst_regime,contract,days_to_nearest_roll,in_RTH_panel
2016-01-18,2016,Monday,01-18,-5.0,EST,ESH6,57,False
2016-02-15,2016,Monday,02-15,-5.0,EST,ESH6,29,False
2016-05-30,2016,Monday,05-30,-4.0,EDT,ESM6,15,False
2016-07-04,2016,Monday,07-04,-4.0,EDT,ESU6,20,False
2016-09-05,2016,Monday,09-05,-4.0,EDT,ESU6,8,False
2016-11-24,2016,Thursday,11-24,-5.0,EST,ESZ6,19,False
2017-01-16,2017,Monday,01-16,-5.0,EST,ESH7,34,False
2017-02-20,2017,Monday,02-20,-5.0,EST,ESH7,22,False
2017-05-29,2017,Monday,05-29,-4.0,EDT,ESM7,15,False
2017-07-04,2017,Tuesday,07-04,-4.0,EDT,ESU7,21,False
2017-09-04,2017,Monday,09-04,-4.0,EDT,ESU7,8,False
2017-11-23,2017,Thursday,11-23,-5.0,EST,ESZ7,19,False
2018-01-15,2018,Monday,01-15,-5.0,EST,ESH8,34,False
2018-02-19,2018,Monday,02-19,-5.0,EST,ESH8,23,False
2018-05-28,2018,Monday,05-28,-4.0,EDT,ESM8,16,False
2018-07-04,2018,Wednesday,07-04,-4.0,EDT,ESU8,21,False
2018-09-03,2018,Monday,09-03,-4.0,EDT,ESU8,15,False
2018-11-22,2018,Thursday,11-22,-5.0,EST,ESZ8,26,False
2018-12-05,2018,Wednesday,12-05,-5.0,EST,ESZ8,13,False
2019-01-21,2019,Monday,01-21,-5.0,EST,ESH9,34,False
2019-02-18,2019,Monday,02-18,-5.0,EST,ESH9,22,False
2019-05-27,2019,Monday,05-27,-4.0,EDT,ESM9,22,False
2019-07-04,2019,Thursday,07-04,-4.0,EDT,ESU9,16,False
2019-09-02,2019,Monday,09-02,-4.0,EDT,ESU9,15,False
2019-11-28,2019,Thursday,11-28,-5.0,EST,ESZ9,19,False
2020-01-20,2020,Monday,01-20,-5.0,EST,ESH0,34,False
2020-02-17,2020,Monday,02-17,-5.0,EST,ESH0,30,False
2020-05-25,2020,Monday,05-25,-4.0,EDT,ESM0,23,False
2020-09-07,2020,Monday,09-07,-4.0,EDT,ESU0,8,False
2020-11-26,2020,Thursday,11-26,-5.0,EST,ESZ0,19,False
2021-01-18,2021,Monday,01-18,-5.0,EST,ESH1,34,False
2021-02-15,2021,Monday,02-15,-5.0,EST,ESH1,29,False
2021-04-02,2021,Friday,04-02,-4.0,EDT,ESM1,17,False
2021-05-31,2021,Monday,05-31,-4.0,EDT,ESM1,15,False
2021-07-05,2021,Monday,07-05,-4.0,EDT,ESU1,20,False
2021-09-06,2021,Monday,09-06,-4.0,EDT,ESU1,8,False
2021-11-25,2021,Thursday,11-25,-5.0,EST,ESZ1,19,False
2022-01-17,2022,Monday,01-17,-5.0,EST,ESH2,34,False
2022-02-21,2022,Monday,02-21,-5.0,EST,ESH2,22,False
2022-05-30,2022,Monday,05-30,-4.0,EDT,ESM2,16,False
2022-06-20,2022,Monday,06-20,-4.0,EDT,ESU2,5,False
2022-07-04,2022,Monday,07-04,-4.0,EDT,ESU2,19,False
2022-09-05,2022,Monday,09-05,-4.0,EDT,ESU2,9,False
2022-11-24,2022,Thursday,11-24,-5.0,EST,ESZ2,20,False
2023-01-16,2023,Monday,01-16,-5.0,EST,ESH3,33,False
2023-02-20,2023,Monday,02-20,-5.0,EST,ESH3,23,False
2023-04-07,2023,Friday,04-07,-4.0,EDT,ESM3,23,False
2023-05-29,2023,Monday,05-29,-4.0,EDT,ESM3,16,False
2023-06-19,2023,Monday,06-19,-4.0,EDT,ESU3,5,False
2023-07-04,2023,Tuesday,07-04,-4.0,EDT,ESU3,20,False
2023-09-04,2023,Monday,09-04,-4.0,EDT,ESU3,9,False
2023-11-23,2023,Thursday,11-23,-5.0,EST,ESZ3,20,False
