session,clock,col_range,raw_bars_present,distinct_closes,instrument_ids,raw_symbols,underlying_bars_exist,carries_price_variation
2016-05-30,13:00,1140-1200,0,0,,,False,False
2016-05-30,14:00,1200-1260,0,0,,,False,False
2016-07-04,15:00,1260-1320,0,0,,,False,False
2016-09-05,14:00,1200-1260,0,0,,,False,False
2016-09-05,15:00,1260-1320,0,0,,,False,False
2016-11-24,15:00,1260-1320,0,0,,,False,False
2017-02-20,13:00,1140-1200,0,0,,,False,False
2017-02-20,14:00,1200-1260,0,0,,,False,False
2017-02-20,15:00,1260-1320,0,0,,,False,False
2017-05-29,13:00,1140-1200,0,0,,,False,False
2017-05-29,14:00,1200-1260,0,0,,,False,False
2017-05-29,15:00,1260-1320,0,0,,,False,False
2017-07-04,14:00,1200-1260,0,0,,,False,False
2017-09-04,14:00,1200-1260,0,0,,,False,False
2018-05-28,15:00,1260-1320,0,0,,,False,False
2018-07-04,15:00,1260-1320,0,0,,,False,False
2018-09-03,13:00,1140-1200,1,1,57287,ESU8,True,False
2018-12-05,13:00,1140-1200,0,0,,,False,False
2019-01-21,13:00,1140-1200,0,0,,,False,False
2019-01-21,14:00,1200-1260,0,0,,,False,False
2019-07-04,13:00,1140-1200,0,0,,,False,False
2019-11-28,13:00,1140-1200,0,0,,,False,False
2019-11-28,15:00,1260-1320,0,0,,,False,False
2020-02-17,13:00,1140-1200,0,0,,,False,False
2020-05-25,13:00,1140-1200,0,0,,,False,False
2020-09-07,14:00,1200-1260,0,0,,,False,False
2020-09-07,15:00,1260-1320,0,0,,,False,False
2021-01-18,13:00,1140-1200,0,0,,,False,False
2021-02-15,14:00,1200-1260,0,0,,,False,False
2021-05-31,13:00,1140-1200,0,0,,,False,False
2021-05-31,14:00,1200-1260,0,0,,,False,False
2021-05-31,15:00,1260-1320,0,0,,,False,False
2021-07-05,15:00,1260-1320,0,0,,,False,False
2021-09-06,15:00,1260-1320,0,0,,,False,False
2022-01-17,13:00,1140-1200,0,0,,,False,False
2022-02-21,14:00,1200-1260,0,0,,,False,False
2022-02-21,15:00,1260-1320,0,0,,,False,False
2022-06-20,13:00,1140-1200,0,0,,,False,False
2022-06-20,14:00,1200-1260,0,0,,,False,False
2022-07-04,15:00,1260-1320,0,0,,,False,False
2022-09-05,14:00,1200-1260,0,0,,,False,False
2022-11-24,15:00,1260-1320,0,0,,,False,False
2023-01-16,13:00,1140-1200,0,0,,,False,False
2023-01-16,14:00,1200-1260,0,0,,,False,False
2023-02-20,13:00,1140-1200,0,0,,,False,False
2023-02-20,14:00,1200-1260,0,0,,,False,False
2023-06-19,15:00,1260-1320,0,0,,,False,False
2023-07-04,14:00,1200-1260,0,0,,,False,False
2023-09-04,14:00,1200-1260,0,0,,,False,False
2023-11-23,13:00,1140-1200,0,0,,,False,False
