geometry,year,sessions,share_padded,share_padded_0930_1600
GLOBEX,2016,245,0.019154096421177165,0.011323914181057038
GLOBEX,2017,243,0.026620743126379198,0.011448770708029967
GLOBEX,2018,243,0.018226277807598258,0.01552178959586367
GLOBEX,2019,243,0.016714379435796504,0.01140656325841511
GLOBEX,2020,244,0.01641720123544785,0.009867591424968474
GLOBEX,2021,246,0.010990338164251207,0.015322076297686053
GLOBEX,2022,245,0.004998521147589471,0.013186813186813187
GLOBEX,2023,244,0.007026609645996674,0.01733921815889029
RTH,2016,239,0.0,0.0
RTH,2017,237,0.0,0.0
RTH,2018,236,0.0,0.0
RTH,2019,237,0.0,0.0
RTH,2020,239,0.00041841004184100416,0.00041841004184100416
RTH,2021,239,0.0,0.0
RTH,2022,238,0.0,0.0
RTH,2023,236,0.0,0.0
