arm,grid,seed_index,seed,c,A,b,rmse,var_log_iv_input,var_log_iv_recovered_as_c,recovery_error
A0,RTH_1day,0,3280325159,1.0568669938637059,3.7077581637535117,-1.2070371593183313,0.009147887861236053,1.059645215461402,1.0568669938637059,-0.00277822159769614
A0,RTH_1day,1,10724713,1.0231621905533095,4.8716833989147,-1.3965124134469074,0.005638455574370319,1.0141257049863799,1.0231621905533095,0.009036485566929597
A0,RTH_1day,2,3527105160,1.0298272990358683,2.5321804433728357,-1.0328509181277163,0.008026385302901397,1.0331710189203804,1.0298272990358683,-0.0033437198845120975
A0,RTH_1day,3,1168436609,1.0587954352994096,3.42519718969689,-1.2269241581258872,0.008478742361030994,1.0474825355339883,1.0587954352994096,0.01131289976542127
A0,RTH_1day,4,2339113406,1.077496171596403,4.602464873918178,-1.3622589746444445,0.021218946690711376,1.0629289192693496,1.077496171596403,0.01456725232705347
A0,RTH_1h,0,3280325159,1.0682415527751297,3.4213400835093926,-1.2304819556636954,0.00205987814040832,1.059645215461402,1.0682415527751297,0.008596337313727664
A0,RTH_1h,1,10724713,1.0317153817868197,3.3804318868038092,-1.2299261291365247,0.0046658082576374145,1.0141257049863799,1.0317153817868197,0.01758967680043977
A0,RTH_1h,2,3527105160,1.0426821663683237,3.185073192791673,-1.1875344232390919,0.005885369004132745,1.0331710189203804,1.0426821663683237,0.009511147447943236
A0,RTH_1h,3,1168436609,1.0629600313970047,3.3004708211133478,-1.1862894931687353,0.005353574980362838,1.0474825355339883,1.0629600313970047,0.015477495863016388
A0,RTH_1h,4,2339113406,1.063480769065572,3.029309109175175,-1.1295830360107189,0.006326353831410071,1.0629289192693496,1.063480769065572,0.00055184979622247
A0,RTH_30min,0,3280325159,1.0728176260810962,3.275060109784267,-1.2152347528948524,0.002546107663036199,1.059645215461402,1.0728176260810962,0.013172410619694208
A0,RTH_30min,1,10724713,1.0140470704033508,2.79314053903175,-1.091993113970561,0.0020186104744942474,1.0141257049863799,1.0140470704033508,-7.863458302903581e-05
A0,RTH_30min,2,3527105160,1.0537485508021156,3.5536881150527875,-1.2673103602097258,0.0017393939316330542,1.0331710189203804,1.0537485508021156,0.020577531881735167
A0,RTH_30min,3,1168436609,1.0784054291598864,3.4433973118946013,-1.251203174885768,0.003689252184782305,1.0474825355339883,1.0784054291598864,0.030922893625898062
A0,RTH_30min,4,2339113406,1.0782506145483057,3.65818518319966,-1.2581715673548972,0.00359134620164827,1.0629289192693496,1.0782506145483057,0.015321695278956105
A0,GLOBEX_1day,0,3280325159,1.0615280036256873,3.1501747730861647,-1.1491716492552753,0.005719115708957619,1.0602116295602182,1.0615280036256873,0.0013163740654691392
A0,GLOBEX_1day,1,10724713,1.0191589770326097,4.011747657623725,-1.2896301365772356,0.009189549072655514,1.013041598231293,1.0191589770326097,0.006117378801316686
A0,GLOBEX_1day,2,3527105160,1.0381207592789703,2.988777186029689,-1.0854744109660663,0.005915963889419466,1.0401028569541015,1.0381207592789703,-0.0019820976751312447
A0,GLOBEX_1day,3,1168436609,1.0496455514671739,3.0022829052960813,-1.1446830466295792,0.009624710485741844,1.0488552303784604,1.0496455514671739,0.0007903210887134637
A0,GLOBEX_1day,4,2339113406,1.065039668749862,3.6433939170510676,-1.2560467262122184,0.009230715715507562,1.058790222014864,1.065039668749862,0.006249446734998054
A1,RTH_1day,0,3280325159,1.0535927771514568,4.0471991131903575,-1.1870743479131616,0.010295270495212977,1.059645215461402,1.0535927771514568,-0.006052438309945174
A1,RTH_1day,1,10724713,1.0217481822776684,4.017127738578439,-1.2747412635226367,0.005200624812499664,1.0141257049863799,1.0217481822776684,0.00762247729128851
A1,RTH_1day,2,3527105160,1.0243237644630263,2.3106510891912553,-0.9591524205013136,0.006412687566886399,1.0331710189203804,1.0243237644630263,-0.008847254457354126
A1,RTH_1day,3,1168436609,1.0622463573337666,3.26101630174776,-1.1907732640273925,0.007284743741815321,1.0474825355339883,1.0622463573337666,0.01476382179977831
A1,RTH_1day,4,2339113406,1.076956554792597,3.7213951339442533,-1.1994416478025274,0.01769176769632156,1.0629289192693496,1.076956554792597,0.014027635523247373
A1,RTH_1h,0,3280325159,1.1488504330631142,3.5213782081993137,-1.2438837044604065,0.0025679877441398278,1.059645215461402,1.1488504330631142,0.08920521760171218
A1,RTH_1h,1,10724713,1.1133313781365917,3.3547282598541406,-1.2219374085833585,0.005846770645035534,1.0141257049863799,1.1133313781365917,0.09920567315021178
A1,RTH_1h,2,3527105160,1.1200592094798352,3.073115756194227,-1.1693783983965553,0.004314429865349535,1.0331710189203804,1.1200592094798352,0.08688819055945474
A1,RTH_1h,3,1168436609,1.1463224715607945,3.2304865443080577,-1.1806401154955997,0.004913910765438566,1.0474825355339883,1.1463224715607945,0.09883993602680619
A1,RTH_1h,4,2339113406,1.1470620665877673,3.143161995009583,-1.1527130099063483,0.0051388759863554324,1.0629289192693496,1.1470620665877673,0.0841331473184177
A1,RTH_30min,0,3280325159,1.1605702994442413,3.298124335852876,-1.2204871613047161,0.0020227789510554885,1.059645215461402,1.1605702994442413,0.10092508398283928
A1,RTH_30min,1,10724713,1.100560736260112,2.747565405320594,-1.078486980406674,0.0017786297759600197,1.0141257049863799,1.100560736260112,0.08643503127373209
A1,RTH_30min,2,3527105160,1.1408210276579103,3.612613739009688,-1.279257054209546,0.000490147440885247,1.0331710189203804,1.1408210276579103,0.10765000873752983
A1,RTH_30min,3,1168436609,1.1684593078144943,3.4372372609765733,-1.2507875466747946,0.002768674283571943,1.0474825355339883,1.1684593078144943,0.12097677228050596
A1,RTH_30min,4,2339113406,1.1663075548032376,3.608146047261864,-1.2522671007693464,0.0036799205065384455,1.0629289192693496,1.1663075548032376,0.10337863553388793
A1,GLOBEX_1day,0,3280325159,1.067096879358465,2.929837443444943,-1.0517954408037917,0.00959093126072333,1.0602116295602182,1.067096879358465,0.006885249798246784
A1,GLOBEX_1day,1,10724713,1.0231239019060538,4.317822964179673,-1.2256353299205047,0.017036130515982382,1.013041598231293,1.0231239019060538,0.010082303674760817
A1,GLOBEX_1day,2,3527105160,1.03900306731382,2.8561897552453,-0.9833243534139363,0.01181230558938421,1.0401028569541015,1.03900306731382,-0.0010997896402815677
A1,GLOBEX_1day,3,1168436609,1.0550097751893983,2.8198792300224893,-0.9898169429430762,0.011992446854279476,1.0488552303784604,1.0550097751893983,0.006154544810937912
A1,GLOBEX_1day,4,2339113406,1.0664800841633018,3.7913196865424807,-1.1535320750798848,0.007469234924504815,1.058790222014864,1.0664800841633018,0.007689862148437809
A2,RTH_1day,0,3280325159,0.9278383382803215,3.9162449518798015,-1.2311060077641611,0.007231317713697888,1.059645215461402,0.9278383382803215,-0.13180687718108053
A2,RTH_1day,1,10724713,0.8952382736205267,3.4373451360171976,-1.2193937841123328,0.006529862145955816,1.0141257049863799,0.8952382736205267,-0.11888743136585322
A2,RTH_1day,2,3527105160,0.9104022185453876,2.6006749030527327,-1.0005646347092931,0.007608728053356548,1.0331710189203804,0.9104022185453876,-0.12276880037499283
A2,RTH_1day,3,1168436609,0.8899697151821456,2.812631371728334,-1.1381118462841184,0.012558255555840147,1.0474825355339883,0.8899697151821456,-0.15751282035184266
