arm,grid,b_mean,b_sd,b_min,b_max,c_mean,c_sd,A_mean,rmse_mean,var_log_iv_input_mean,recovery_error_mean,n_seeds
A0,GLOBEX_1day,-1.185001193928075,0.08486691507476385,-1.2896301365772356,-1.0854744109660663,1.0466985920308605,0.018688236422624474,3.3592752878173457,0.007936010974456401,1.0442003074277875,0.0024982846030732198,5
A0,RTH_1day,-1.2451167247326573,0.1444651832719476,-1.3965124134469074,-1.0328509181277163,1.0492296180697394,0.022387458418620814,3.8278568139312235,0.010502083558050029,1.0434706788343,0.00575893923543922,5
A0,RTH_1h,-1.1927630074437532,0.04142695360180253,-1.2304819556636954,-1.1295830360107189,1.05381598027857,0.015791748010345164,3.2633250186786795,0.004858196842790277,1.0434706788343,0.010345301444269905,5
A0,RTH_30min,-1.216782593863161,0.07250118757671374,-1.2673103602097258,-1.091993113970561,1.059453858198951,0.027319394638055574,3.344694251792613,0.002716942091118815,1.0434706788343,0.0159831793646509,5
A1,GLOBEX_1day,-1.0808208284322387,0.10593383332586723,-1.2256353299205047,-0.9833243534139363,1.050142741586208,0.018921876272804946,3.343009815886977,0.011580209828974843,1.0442003074277875,0.005942434158420351,5
A1,RTH_1day,-1.1622365887534063,0.11907555770832459,-1.2747412635226367,-0.9591524205013136,1.047773527203703,0.024094530148434937,3.471477875330413,0.009377018862547184,1.0434706788343,0.0043028483694029784,5
A1,RTH_1h,-1.1937105273684536,0.037940048522331946,-1.2438837044604065,-1.1527130099063483,1.1351251117656207,0.01701620138798516,3.2645741527130645,0.004556395001263779,1.0434706788343,0.09165443293132051,5
A1,RTH_30min,-1.2162571686730153,0.07977556863594194,-1.279257054209546,-1.078486980406674,1.147343785195999,0.028335624953253966,3.3407373576843193,0.0021480301916022284,1.0434706788343,0.10387310636169902,5
A2,GLOBEX_1day,-1.072128988936639,0.08013304186009505,-1.1572305697675473,-0.9938971370563333,0.8810756675721165,0.0237697549861514,3.061279445592102,0.0110745241495955,1.0442003074277875,-0.1631246398556708,5
A2,RTH_1day,-1.1420999294719234,0.09270414182511358,-1.2311060077641611,-1.0005646347092931,0.9089812967895503,0.01630632191301749,3.1743841551093084,0.009943020714757441,1.0434706788343,-0.13448938204474986,5
A2,RTH_1h,-1.1836054096555069,0.02780324385508704,-1.2246656597040437,-1.1533801314524335,1.1376060188497665,0.015327677763786997,3.186787699684234,0.0048266112566531265,1.0434706788343,0.09413534001546661,5
A2,RTH_30min,-1.2149297435583915,0.07768186303996094,-1.2995173464401764,-1.091585739132467,1.182959953169502,0.025032382176170986,3.3315838031760534,0.002383403531352629,1.0434706788343,0.13948927433520208,5
A3,GLOBEX_1day,-1.0712352312535827,0.07981548914514217,-1.1581522681394052,-0.9937806809672295,0.881018248732709,0.02354393598675845,3.05527049915662,0.011192457188539272,1.0442003074277875,-0.16318205869507849,5
A3,RTH_1day,-1.1378764490337665,0.09244278776059689,-1.2295293518284829,-0.9994336464470329,0.9086664564029971,0.01665289386603573,3.150122900141247,0.009829886706123666,1.0434706788343,-0.13480422243130286,5
A3,RTH_1h,-1.1917234996129067,0.029147215863264953,-1.2256237139553785,-1.162684689029329,1.1386041505780962,0.01484180368770593,3.226351605210657,0.0048765249842116585,1.0434706788343,0.0951334717437962,5
A3,RTH_30min,-1.2242938399904872,0.08091285758527353,-1.3146859186128101,-1.0986986084575854,1.1855270626311225,0.02549606923267816,3.3649114408791725,0.002402277569321827,1.0434706788343,0.1420563837968225,5
A4,GLOBEX_1day,-1.0927935015358177,0.10255948006058195,-1.209293206873421,-0.9303587033415416,1.0218417210280548,0.005664113125521162,2.8620573509130076,0.00878099924697503,1.02,0.001841721028054799,5
A4,RTH_1day,-1.1593115794234348,0.09334407894966765,-1.2709960116456718,-1.0531018683730085,1.0223957004079198,0.0072899546446184,3.2058624576578176,0.008409384382430048,1.02,0.0023957004079198096,5
A4,RTH_1h,-1.2522073058240293,0.07382320627685626,-1.3325036789346891,-1.159441330631957,1.0340543589058708,0.009285291466714895,3.585950330132042,0.006227620396532685,1.02,0.014054358905870812,5
A4,RTH_30min,-1.1863065102513422,0.044186090863398975,-1.2449819650634408,-1.143832732165934,1.0281178508717892,0.0032881821639386744,3.2288591916501446,0.0026388474299154246,1.02,0.008117850871789178,5
