root,geom,btag,horizon,n_M,b_RV,c_RV,A_RV,rmse_RV,b_TRV3,c_TRV3,A_TRV3,rmse_TRV3,b_shift_TRV3_minus_RV,b_year_mean,b_year_sd,b_year_min,b_year_max,n_years,b_terc_mean,b_terc_sd,b_terc_min,b_terc_max,b_by_year,b_by_tercile
ES,GLOBEX,B0,1day,9,-0.43929371362519365,1.0178464024985823,2.0816735374402224,0.04983756899877298,-0.7399258749759832,1.1172939613063966,4.690949661041245,0.06897033353126746,-0.3006321613507895,-0.6793188162221435,0.18645727089198888,-1.1243689178883867,-0.4748659397475854,8,-0.5494209870460046,0.06395739956949271,-0.6398226286396143,-0.5016744173568233,"{""2016"": -0.603, ""2017"": -0.6981, ""2018"": -0.4749, ""2019"": -0.5407, ""2020"": -0.5836, ""2021"": -0.6705, ""2022"": -1.1244, ""2023"": -0.7394}","{""1"": -0.5068, ""2"": -0.5017, ""3"": -0.6398}"
ES,GLOBEX,B1,1day,9,-0.4073143673876649,0.9963694234038794,2.026673415316888,0.0484024305264309,-0.9454097635553026,1.1690222995066215,7.191172434491875,0.0809946141278536,-0.5380953961676377,-0.6650126295801169,0.22513133985165623,-1.2256177288536578,-0.4346987037373785,8,-0.5008786043095598,0.052652038862010524,-0.5742188024705113,-0.45306098107462367,"{""2016"": -0.5204, ""2017"": -0.647, ""2018"": -0.4347, ""2019"": -0.5431, ""2020"": -0.6301, ""2021"": -0.6791, ""2022"": -1.2256, ""2023"": -0.6402}","{""1"": -0.4754, ""2"": -0.4531, ""3"": -0.5742}"
ES,RTH,B0,1day,8,-0.6334452980204796,1.084220479320661,2.334427088809502,0.029457974125523218,-1.0893638574624356,1.200512239746028,6.968699477720434,0.0675192320978016,-0.45591855944195603,-0.8978308005429559,0.3644687210115007,-1.4793007835326253,-0.46058005817559616,8,-0.7533778716534166,0.1889244438618492,-1.0000967936850529,-0.5412152667381618,"{""2016"": -0.4606, ""2017"": -0.6312, ""2018"": -0.5095, ""2019"": -0.9556, ""2020"": -1.2871, ""2021"": -0.6517, ""2022"": -1.4793, ""2023"": -1.2077}","{""1"": -0.5412, ""2"": -0.7188, ""3"": -1.0001}"
ES,RTH,B0,1h,9,-0.46457999018825136,1.0511795756165265,2.321468897084188,0.014840273882899211,-0.7981929088770451,1.2644319783469633,4.430077053071811,0.02737525341750506,-0.3336129186887937,-0.6741508274608254,0.20038923164750258,-1.1794090319325883,-0.48320863835753464,8,-0.47846561470048066,0.10908331791092973,-0.6085960088226948,-0.3416486527559691,"{""2016"": -0.4832, ""2017"": -0.5638, ""2018"": -0.6625, ""2019"": -0.671, ""2020"": -0.5845, ""2021"": -0.5786, ""2022"": -1.1794, ""2023"": -0.6702}","{""1"": -0.6086, ""2"": -0.4852, ""3"": -0.3416}"
ES,RTH,B0,30min,5,-0.4108913230994372,0.8157781123425129,2.585718645705014,0.004463390407305198,-0.5751765095341098,0.9595451150426566,3.710760465109183,0.00836203850469364,-0.1642851864346726,-0.5962305641038863,0.13525514000541952,-0.8996197010857762,-0.3903760204015711,8,-0.43724318261865225,0.159427677202734,-0.6482076113111316,-0.2628676902459565,"{""2016"": -0.5942, ""2017"": -0.5568, ""2018"": -0.3904, ""2019"": -0.629, ""2020"": -0.5099, ""2021"": -0.6254, ""2022"": -0.8996, ""2023"": -0.5645}","{""1"": -0.6482, ""2"": -0.2629, ""3"": -0.4007}"
ES,RTH,B1,1day,8,-0.655728493221467,1.0985129942816219,2.4394739395457474,0.030559660451997935,-1.0667717982014266,1.2019183318660267,6.661640612009014,0.06616796596822969,-0.41104330497995967,-0.9370790661279372,0.3820676061892101,-1.5909216783229454,-0.5047530611498872,8,-0.7786432711782503,0.15778083479660926,-0.9759148467138864,-0.5897017147246045,"{""2016"": -0.5048, ""2017"": -0.5949, ""2018"": -0.5988, ""2019"": -1.0642, ""2020"": -1.3205, ""2021"": -0.6307, ""2022"": -1.5909, ""2023"": -1.1918}","{""1"": -0.5897, ""2"": -0.7703, ""3"": -0.9759}"
ES,RTH,B1,1h,9,-0.46705642344793225,1.0491610638482995,2.319694623821313,0.015149479057718483,-0.7748644630647507,1.2439583486086627,4.288677164381697,0.026278168953952803,-0.3078080396168184,-0.6779531174389515,0.19791974767393786,-1.1755216794443815,-0.5132157759150034,8,-0.46493147104320315,0.11559518397450239,-0.6217125686029656,-0.3464393584145671,"{""2016"": -0.5132, ""2017"": -0.5474, ""2018"": -0.6883, ""2019"": -0.6719, ""2020"": -0.5691, ""2021"": -0.5798, ""2022"": -1.1755, ""2023"": -0.6785}","{""1"": -0.6217, ""2"": -0.4266, ""3"": -0.3464}"
ES,RTH,B1,30min,5,-0.415329429442934,0.8203881530555311,2.579886662880454,0.004178887864889527,-0.5698906737102041,0.9442663640993368,3.6946302063104306,0.010237294184643869,-0.15456124426727008,-0.6003291749210723,0.14277154081593224,-0.9284629948749815,-0.3947436635562594,8,-0.44838970525367783,0.14715191494986726,-0.6512902879752125,-0.30688889256589524,"{""2016"": -0.5862, ""2017"": -0.5653, ""2018"": -0.3947, ""2019"": -0.6195, ""2020"": -0.5097, ""2021"": -0.6388, ""2022"": -0.9285, ""2023"": -0.56}","{""1"": -0.6513, ""2"": -0.3069, ""3"": -0.387}"
NQ,GLOBEX,B0,1day,9,-0.6867721718556452,1.0813055251464505,2.58645492392253,0.03797195447190823,-1.080173665172561,1.1778172040671162,7.487378747192203,0.037241928307761546,-0.3934014933169159,-0.8169832961618697,0.12385686219329653,-1.0983146328225795,-0.681972828439404,8,-0.7724035331608284,0.08344141817027799,-0.8875777187244633,-0.6925704152460609,"{""2016"": -0.7311, ""2017"": -0.7241, ""2018"": -0.9025, ""2019"": -0.7976, ""2020"": -0.682, ""2021"": -0.7768, ""2022"": -1.0983, ""2023"": -0.8234}","{""1"": -0.7371, ""2"": -0.6926, ""3"": -0.8876}"
NQ,GLOBEX,B1,1day,9,-0.6435780261396608,1.076519981122983,2.416410949515114,0.03160035761646697,-1.0337516617569218,1.1758573140242456,6.982486274532438,0.03360410508597771,-0.39017363561726104,-0.7769143350615744,0.15875092967125287,-1.1260024965340447,-0.5528539033095311,8,-0.7889444466216894,0.11860041036266969,-0.9323200726985601,-0.6418798573680995,"{""2016"": -0.7185, ""2017"": -0.7355, ""2018"": -0.8923, ""2019"": -0.7823, ""2020"": -0.5529, ""2021"": -0.7183, ""2022"": -1.126, ""2023"": -0.6895}","{""1"": -0.6419, ""2"": -0.7926, ""3"": -0.9323}"
NQ,RTH,B0,1day,8,-0.9765025643138977,1.0573742980216938,3.593129280875144,0.016346738983410932,-1.4265748504294082,1.1666961035651366,10.999508926571282,0.047826904472795286,-0.45007228611551053,-1.0835922359678318,0.2466774259708459,-1.504145513793248,-0.7451000100491619,8,-1.1671997574904853,0.17314898051737962,-1.291284474114292,-0.9223375657178655,"{""2016"": -0.8685, ""2017"": -0.8996, ""2018"": -0.7451, ""2019"": -1.012, ""2020"": -1.5041, ""2021"": -1.1366, ""2022"": -1.4111, ""2023"": -1.0917}","{""1"": -0.9223, ""2"": -1.2913, ""3"": -1.288}"
NQ,RTH,B0,1h,9,-0.8022340843215465,1.4247634096936168,2.437978179485933,0.01184174856083176,-1.4468959915688866,1.5636781147141678,9.786848439142632,0.030239179023608016,-0.6446619072473401,-0.9061259040385592,0.13466430464581156,-1.1049831862964539,-0.6823777740683297,8,-0.9063636593709106,0.21271418362946715,-1.148446573710358,-0.6306681275234861,"{""2016"": -0.7547, ""2017"": -0.6824, ""2018"": -1.0781, ""2019"": -0.9036, ""2020"": -0.9021, ""2021"": -0.9496, ""2022"": -1.105, ""2023"": -0.8734}","{""1"": -0.94, ""2"": -1.1484, ""3"": -0.6307}"
NQ,RTH,B0,30min,5,-0.7004290569807979,1.3682860706514786,2.328984071435842,0.00531883529656158,-1.1675982046898947,1.5103486688397512,6.515782036897225,0.008738538380647531,-0.4671691477090968,-0.8825485890287803,0.12678806977808305,-1.0980803662429248,-0.6819564050359775,8,-0.8030542726300326,0.21631628535565006,-1.0554053439744624,-0.5271179091069094,"{""2016"": -0.8657, ""2017"": -0.682, ""2018"": -0.7827, ""2019"": -1.0981, ""2020"": -0.884, ""2021"": -0.8776, ""2022"": -1.0494, ""2023"": -0.8209}","{""1"": -0.8266, ""2"": -1.0554, ""3"": -0.5271}"
NQ,RTH,B1,1day,8,-1.0031102212069167,1.0660294887293011,3.761712334475876,0.01698598383062187,-1.5394324007638887,1.1798960729889567,13.337266723960479,0.0658971445125385,-0.5363221795569719,-1.1330243162877374,0.258817903165638,-1.5676196417322832,-0.7648836063113049,8,-1.1404087374406584,0.1533483848502038,-1.348831272655505,-0.9842973174711142,"{""2016"": -1.0469, ""2017"": -0.9626, ""2018"": -0.7649, ""2019"": -1.0682, ""2020"": -1.5334, ""2021"": -1.0602, ""2022"": -1.5676, ""2023"": -1.0604}","{""1"": -1.0881, ""2"": -0.9843, ""3"": -1.3488}"
NQ,RTH,B1,1h,9,-0.8052195704954942,1.4143932208386012,2.429983216677725,0.01180395450083237,-1.4282688952568985,1.5507806047280974,9.462971292494151,0.029856717161406397,-0.6230493247614043,-0.9104103224760143,0.13671374266174746,-1.1095281508679689,-0.6906157981873017,8,-0.8943699102951146,0.2536084872627772,-1.1796037553389722,-0.5634523307146035,"{""2016"": -0.7658, ""2017"": -0.6906, ""2018"": -1.1027, ""2019"": -0.8982, ""2020"": -0.8842, ""2021"": -0.9535, ""2022"": -1.1095, ""2023"": -0.8787}","{""1"": -0.9401, ""2"": -1.1796, ""3"": -0.5635}"
NQ,RTH,B1,30min,5,-0.6955073288407269,1.3547099492376675,2.3042413445636907,0.005273989433317504,-1.1586765788358913,1.4941397439806672,6.458523038623702,0.00868046598854965,-0.4631692499951644,-0.8783363181907231,0.12051043504362002,-1.0750585344318317,-0.6978104920258442,8,-0.7950920961504,0.1797606061433795,-0.9976115546784997,-0.5607526352602803,"{""2016"": -0.8499, ""2017"": -0.6978, ""2018"": -0.8036, ""2019"": -1.0751, ""2020"": -0.8993, ""2021"": -0.8527, ""2022"": -1.053, ""2023"": -0.7954}","{""1"": -0.8269, ""2"": -0.9976, ""3"": -0.5608}"
