root,geom,proxy_i,proxy_j,error_corr,n
ES,GLOBEX,RV,BV,0.9185701542182503,1953
ES,GLOBEX,RV,PARK,-0.02011904466269554,1953
ES,GLOBEX,RV,GK,-0.014398684537117292,1953
ES,GLOBEX,RV,PARK_old,-0.03698260616559651,1953
ES,GLOBEX,RV,GK_old,-0.03811933944326105,1953
ES,GLOBEX,BV,PARK,-0.009426549780023177,1953
ES,GLOBEX,BV,GK,-0.00267053145332337,1953
ES,GLOBEX,BV,PARK_old,-0.022908727498104124,1953
ES,GLOBEX,BV,GK_old,-0.023210755426980895,1953
ES,GLOBEX,PARK,GK,0.8584917552198638,1953
ES,GLOBEX,PARK,PARK_old,0.9925853274450755,1953
ES,GLOBEX,PARK,GK_old,0.8404326374836414,1953
ES,GLOBEX,GK,PARK_old,0.8503696531457263,1953
ES,GLOBEX,GK,GK_old,0.9794827196809188,1953
ES,GLOBEX,PARK_old,GK_old,0.8516970912223553,1953
NQ,GLOBEX,RV,BV,0.8494438986034779,1948
NQ,GLOBEX,RV,PARK,0.04584786137534835,1948
NQ,GLOBEX,RV,GK,0.008766345002924072,1948
NQ,GLOBEX,RV,PARK_old,0.03391513149224218,1948
NQ,GLOBEX,RV,GK_old,-0.004110471900313318,1948
NQ,GLOBEX,BV,PARK,0.05353526964082564,1948
NQ,GLOBEX,BV,GK,0.0225175000897328,1948
NQ,GLOBEX,BV,PARK_old,0.044471714124781035,1948
NQ,GLOBEX,BV,GK_old,0.014132688671105467,1948
NQ,GLOBEX,PARK,GK,0.8443647224210837,1948
NQ,GLOBEX,PARK,PARK_old,0.9922818276459939,1948
NQ,GLOBEX,PARK,GK_old,0.8277868813728553,1948
NQ,GLOBEX,GK,PARK_old,0.8333370476819804,1948
NQ,GLOBEX,GK,GK_old,0.9767106199050215,1948
NQ,GLOBEX,PARK_old,GK_old,0.8373060313661062,1948
ES,RTH,RV,BV,0.9313931518066083,1901
ES,RTH,RV,PARK,0.038843766394220984,1901
ES,RTH,RV,GK,0.07508417250837912,1901
ES,RTH,RV,PARK_old,0.011135632238286217,1901
ES,RTH,RV,GK_old,0.044055632279837796,1901
ES,RTH,BV,PARK,0.049965282153357785,1901
ES,RTH,BV,GK,0.08686523650805728,1901
ES,RTH,BV,PARK_old,0.027947407910949424,1901
ES,RTH,BV,GK_old,0.06397608889053905,1901
ES,RTH,PARK,GK,0.8421913791721062,1901
ES,RTH,PARK,PARK_old,0.9894506781369965,1901
ES,RTH,PARK,GK_old,0.7706436851920448,1901
ES,RTH,GK,PARK_old,0.8396361702496848,1901
ES,RTH,GK,GK_old,0.9569416306801609,1901
ES,RTH,PARK_old,GK_old,0.7973707406486202,1901
NQ,RTH,RV,BV,0.9086099424201455,1901
NQ,RTH,RV,PARK,0.05220463926739079,1901
NQ,RTH,RV,GK,0.05920687896745707,1901
NQ,RTH,RV,PARK_old,0.03930037612257685,1901
NQ,RTH,RV,GK_old,0.03795336165050654,1901
NQ,RTH,BV,PARK,0.05701887744973498,1901
NQ,RTH,BV,GK,0.05962137542102519,1901
NQ,RTH,BV,PARK_old,0.04746206127388558,1901
NQ,RTH,BV,GK_old,0.044639042470170566,1901
NQ,RTH,PARK,GK,0.8392942275445939,1901
NQ,RTH,PARK,PARK_old,0.9909758852799038,1901
NQ,RTH,PARK,GK_old,0.7738139842692824,1901
NQ,RTH,GK,PARK_old,0.8420870844044248,1901
NQ,RTH,GK,GK_old,0.9596724532076254,1901
NQ,RTH,PARK_old,GK_old,0.799745276522061,1901
