year,n_bars,n_high_eq_low,share_high_eq_low,root,geom
2016,331627.0,21362.0,0.0644157441945318,ES,GLOBEX
2017,326417.0,41463.0,0.12702463413363888,ES,GLOBEX
2018,329286.0,16212.0,0.04923379676026311,ES,GLOBEX
2019,329735.0,14297.0,0.04335906106418791,ES,GLOBEX
2020,331196.0,3311.0,0.009997101414268288,ES,GLOBEX
2021,335749.0,5758.0,0.017149716008089375,ES,GLOBEX
2022,336410.0,1138.0,0.0033827769685800067,ES,GLOBEX
2023,334355.0,7637.0,0.02284099235842144,ES,GLOBEX
2016,316052.0,28048.0,0.08874489008137901,NQ,GLOBEX
2017,322277.0,32173.0,0.09983027023337067,NQ,GLOBEX
2018,329386.0,4360.0,0.013236749588628539,NQ,GLOBEX
2019,330037.0,1940.0,0.00587812881586004,NQ,GLOBEX
2020,330997.0,960.0,0.002900328401767992,NQ,GLOBEX
2021,335816.0,412.0,0.001226862329370846,NQ,GLOBEX
2022,336404.0,109.0,0.00032401517223338606,NQ,GLOBEX
2023,334536.0,282.0,0.0008429586053518903,NQ,GLOBEX
2016,324879.0,20441.0,0.06291880977225367,ES,RTH
2017,319810.0,39706.0,0.12415496701166318,ES,RTH
2018,321541.0,15453.0,0.048059189963332825,ES,RTH
2019,322926.0,13636.0,0.04222639242427058,ES,RTH
2020,325515.0,3019.0,0.009274534199652858,ES,RTH
2021,328037.0,5051.0,0.015397653313498173,ES,RTH
2022,328431.0,1085.0,0.0033035858369033374,ES,RTH
2023,325511.0,6864.0,0.0210868449914135,ES,RTH
2016,313781.0,28018.0,0.08929157597177649,NQ,RTH
2017,316802.0,31313.0,0.098840916408356,NQ,RTH
2018,321662.0,4117.0,0.01279914941771176,NQ,RTH
2019,323201.0,1873.0,0.005795155336771854,NQ,RTH
2020,325304.0,881.0,0.0027082359884907656,NQ,RTH
2021,328075.0,348.0,0.001060733064085956,NQ,RTH
2022,328426.0,107.0,0.0003257963742212858,NQ,RTH
2023,325649.0,229.0,0.000703211126089747,NQ,RTH
