date,holiday,halt_ny,halt_ny_min,cls
2016-01-18,MLK,13:00,780,EARLY_CLOSE_1300
2016-02-15,Presidents,13:00,780,EARLY_CLOSE_1300
2016-03-25,GoodFriday,09:30,570,FULL_CLOSURE_0930
2016-05-30,Memorial,13:00,780,EARLY_CLOSE_1300
2016-07-04,Independence,13:00,780,EARLY_CLOSE_1300
2016-09-05,Labor,13:00,780,EARLY_CLOSE_1300
2016-11-24,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2017-01-16,MLK,13:00,780,EARLY_CLOSE_1300
2017-02-20,Presidents,13:00,780,EARLY_CLOSE_1300
2017-04-14,GoodFriday,09:30,570,FULL_CLOSURE_0930
2017-05-29,Memorial,13:00,780,EARLY_CLOSE_1300
2017-07-04,Independence,13:00,780,EARLY_CLOSE_1300
2017-09-04,Labor,13:00,780,EARLY_CLOSE_1300
2017-11-23,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2018-01-15,MLK,13:00,780,EARLY_CLOSE_1300
2018-02-19,Presidents,13:00,780,EARLY_CLOSE_1300
2018-03-30,GoodFriday,09:30,570,FULL_CLOSURE_0930
2018-05-28,Memorial,13:00,780,EARLY_CLOSE_1300
2018-07-04,Independence,13:00,780,EARLY_CLOSE_1300
2018-09-03,Labor,13:00,780,EARLY_CLOSE_1300
2018-11-22,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2018-12-05,DayOfMourning,09:30,570,FULL_CLOSURE_0930
2019-01-21,MLK,13:00,780,EARLY_CLOSE_1300
2019-02-18,Presidents,13:00,780,EARLY_CLOSE_1300
2019-04-19,GoodFriday,09:30,570,FULL_CLOSURE_0930
2019-05-27,Memorial,13:00,780,EARLY_CLOSE_1300
2019-07-04,Independence,13:00,780,EARLY_CLOSE_1300
2019-09-02,Labor,13:00,780,EARLY_CLOSE_1300
2019-11-28,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2020-01-20,MLK,13:00,780,EARLY_CLOSE_1300
2020-02-17,Presidents,13:00,780,EARLY_CLOSE_1300
2020-04-10,GoodFriday,09:30,570,FULL_CLOSURE_0930
2020-05-25,Memorial,13:00,780,EARLY_CLOSE_1300
2020-07-03,Independence,13:00,780,EARLY_CLOSE_1300
2020-09-07,Labor,13:00,780,EARLY_CLOSE_1300
2020-11-26,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2021-01-18,MLK,13:00,780,EARLY_CLOSE_1300
2021-02-15,Presidents,13:00,780,EARLY_CLOSE_1300
2021-04-02,GoodFriday,09:30,570,FULL_CLOSURE_0930
2021-05-31,Memorial,13:00,780,EARLY_CLOSE_1300
2021-07-05,Independence,13:00,780,EARLY_CLOSE_1300
2021-09-06,Labor,13:00,780,EARLY_CLOSE_1300
2021-11-25,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2022-01-17,MLK,13:00,780,EARLY_CLOSE_1300
2022-02-21,Presidents,13:00,780,EARLY_CLOSE_1300
2022-04-15,GoodFriday,09:30,570,FULL_CLOSURE_0930
2022-05-30,Memorial,13:00,780,EARLY_CLOSE_1300
2022-06-20,Juneteenth,13:00,780,EARLY_CLOSE_1300
2022-07-04,Independence,13:00,780,EARLY_CLOSE_1300
2022-09-05,Labor,13:00,780,EARLY_CLOSE_1300
2022-11-24,Thanksgiving,13:00,780,EARLY_CLOSE_1300
2023-01-16,MLK,13:00,780,EARLY_CLOSE_1300
2023-02-20,Presidents,13:00,780,EARLY_CLOSE_1300
2023-04-07,GoodFriday,09:30,570,FULL_CLOSURE_0930
2023-05-29,Memorial,13:00,780,EARLY_CLOSE_1300
2023-06-19,Juneteenth,13:00,780,EARLY_CLOSE_1300
2023-07-04,Independence,13:00,780,EARLY_CLOSE_1300
2023-09-04,Labor,13:00,780,EARLY_CLOSE_1300
2023-11-23,Thanksgiving,13:00,780,EARLY_CLOSE_1300
