root,geom,horizon,session,window_in_session
ES,GLOBEX,1h,2019-02-27,2
ES,GLOBEX,1h,2019-02-27,3
ES,GLOBEX,1h,2020-03-09,4
ES,GLOBEX,1h,2020-03-09,6
ES,GLOBEX,1h,2020-03-09,7
ES,GLOBEX,1h,2020-03-09,8
ES,GLOBEX,1h,2020-03-09,9
ES,GLOBEX,1h,2020-03-09,10
ES,GLOBEX,1h,2020-03-09,12
ES,GLOBEX,1h,2020-03-09,13
ES,GLOBEX,1h,2020-03-09,14
ES,GLOBEX,1h,2020-03-18,8
ES,GLOBEX,1h,2020-03-18,9
ES,GLOBEX,1h,2020-03-18,10
ES,GLOBEX,1h,2020-03-18,11
ES,GLOBEX,1h,2020-03-18,12
ES,GLOBEX,1h,2020-03-18,13
ES,GLOBEX,1h,2020-03-18,14
ES,GLOBEX,1h,2020-03-24,12
ES,GLOBEX,1h,2020-07-01,0
ES,GLOBEX,1h,2020-07-01,1
ES,GLOBEX,30min,2017-10-10,12
ES,GLOBEX,30min,2018-04-30,0
ES,GLOBEX,30min,2019-02-27,4
ES,GLOBEX,30min,2019-02-27,5
ES,GLOBEX,30min,2019-02-27,6
ES,GLOBEX,30min,2019-02-27,7
ES,GLOBEX,30min,2019-02-27,8
ES,GLOBEX,30min,2020-03-09,8
ES,GLOBEX,30min,2020-03-09,9
ES,GLOBEX,30min,2020-03-09,12
ES,GLOBEX,30min,2020-03-09,13
ES,GLOBEX,30min,2020-03-09,14
ES,GLOBEX,30min,2020-03-09,15
ES,GLOBEX,30min,2020-03-09,16
ES,GLOBEX,30min,2020-03-09,17
ES,GLOBEX,30min,2020-03-09,18
ES,GLOBEX,30min,2020-03-09,19
ES,GLOBEX,30min,2020-03-09,20
ES,GLOBEX,30min,2020-03-09,21
ES,GLOBEX,30min,2020-03-09,23
ES,GLOBEX,30min,2020-03-09,24
ES,GLOBEX,30min,2020-03-09,25
ES,GLOBEX,30min,2020-03-09,26
ES,GLOBEX,30min,2020-03-09,27
ES,GLOBEX,30min,2020-03-09,28
ES,GLOBEX,30min,2020-03-09,29
ES,GLOBEX,30min,2020-03-12,29
ES,GLOBEX,30min,2020-03-18,15
ES,GLOBEX,30min,2020-03-18,16
ES,GLOBEX,30min,2020-03-18,17
ES,GLOBEX,30min,2020-03-18,18
ES,GLOBEX,30min,2020-03-18,19
ES,GLOBEX,30min,2020-03-18,20
ES,GLOBEX,30min,2020-03-18,21
ES,GLOBEX,30min,2020-03-18,22
ES,GLOBEX,30min,2020-03-18,23
ES,GLOBEX,30min,2020-03-18,24
ES,GLOBEX,30min,2020-03-18,25
ES,GLOBEX,30min,2020-03-18,26
ES,GLOBEX,30min,2020-03-18,27
ES,GLOBEX,30min,2020-03-18,28
ES,GLOBEX,30min,2020-03-18,29
ES,GLOBEX,30min,2020-03-23,1
ES,GLOBEX,30min,2020-03-23,2
ES,GLOBEX,30min,2020-03-24,24
ES,GLOBEX,30min,2020-03-24,25
ES,GLOBEX,30min,2020-07-01,0
ES,GLOBEX,30min,2020-07-01,1
ES,GLOBEX,30min,2020-07-01,2
ES,GLOBEX,30min,2020-07-01,3
NQ,GLOBEX,1h,2019-02-27,2
NQ,GLOBEX,1h,2019-02-27,3
NQ,GLOBEX,1h,2020-03-09,4
NQ,GLOBEX,1h,2020-03-09,6
NQ,GLOBEX,1h,2020-03-09,9
NQ,GLOBEX,1h,2020-03-09,10
NQ,GLOBEX,1h,2020-03-09,12
NQ,GLOBEX,1h,2020-03-09,13
NQ,GLOBEX,1h,2020-03-09,14
NQ,GLOBEX,1h,2020-03-18,8
NQ,GLOBEX,1h,2020-03-18,9
NQ,GLOBEX,1h,2020-03-18,10
NQ,GLOBEX,1h,2020-03-18,11
NQ,GLOBEX,1h,2020-03-18,12
NQ,GLOBEX,1h,2020-03-18,13
NQ,GLOBEX,1h,2020-03-18,14
NQ,GLOBEX,1h,2020-03-24,12
NQ,GLOBEX,1h,2020-07-01,0
NQ,GLOBEX,1h,2020-07-01,1
NQ,GLOBEX,30min,2018-04-30,0
NQ,GLOBEX,30min,2019-02-27,4
NQ,GLOBEX,30min,2019-02-27,5
NQ,GLOBEX,30min,2019-02-27,6
NQ,GLOBEX,30min,2019-02-27,7
NQ,GLOBEX,30min,2019-02-27,8
NQ,GLOBEX,30min,2020-03-09,8
NQ,GLOBEX,30min,2020-03-09,9
NQ,GLOBEX,30min,2020-03-09,12
NQ,GLOBEX,30min,2020-03-09,13
NQ,GLOBEX,30min,2020-03-09,14
NQ,GLOBEX,30min,2020-03-09,17
NQ,GLOBEX,30min,2020-03-09,18
NQ,GLOBEX,30min,2020-03-09,19
NQ,GLOBEX,30min,2020-03-09,20
NQ,GLOBEX,30min,2020-03-09,21
NQ,GLOBEX,30min,2020-03-09,24
NQ,GLOBEX,30min,2020-03-09,25
NQ,GLOBEX,30min,2020-03-09,26
NQ,GLOBEX,30min,2020-03-09,27
NQ,GLOBEX,30min,2020-03-09,28
NQ,GLOBEX,30min,2020-03-09,29
NQ,GLOBEX,30min,2020-03-12,29
NQ,GLOBEX,30min,2020-03-18,15
NQ,GLOBEX,30min,2020-03-18,16
NQ,GLOBEX,30min,2020-03-18,17
NQ,GLOBEX,30min,2020-03-18,18
NQ,GLOBEX,30min,2020-03-18,19
NQ,GLOBEX,30min,2020-03-18,20
NQ,GLOBEX,30min,2020-03-18,21
NQ,GLOBEX,30min,2020-03-18,22
NQ,GLOBEX,30min,2020-03-18,23
NQ,GLOBEX,30min,2020-03-18,24
NQ,GLOBEX,30min,2020-03-18,25
NQ,GLOBEX,30min,2020-03-18,26
NQ,GLOBEX,30min,2020-03-18,27
NQ,GLOBEX,30min,2020-03-18,28
NQ,GLOBEX,30min,2020-03-18,29
NQ,GLOBEX,30min,2020-03-23,1
NQ,GLOBEX,30min,2020-03-23,2
NQ,GLOBEX,30min,2020-03-24,24
NQ,GLOBEX,30min,2020-03-24,25
NQ,GLOBEX,30min,2020-07-01,0
NQ,GLOBEX,30min,2020-07-01,1
NQ,GLOBEX,30min,2020-07-01,2
NQ,GLOBEX,30min,2020-07-01,3
