cell,n_refits,n_converged,persistence_mean,persistence_max,persistence_min,violates_stationarity,beta_last,gamma_last,phi_last,omega_last,xi_last,variance_targeting,n_nonpositive,n_above_100x,n_eval,share_pathological,n_pathological_within_D_of_refit,divergence_at_refit_boundary,verdict
ES/GLOBEX/B0/1day,24,24,0.9195404184686221,0.9326876499057644,0.8984563036898925,False,0.3186852779926646,0.7041759286034888,0.8674965266146393,0.3157828171011289,-1.263316047200691,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1453,0.0,0,False,estimated (stationary)
ES/GLOBEX/B1/1day,24,24,0.9191424622432979,0.9323845222673236,0.8983002616472817,False,0.3162406510384252,0.7059332119439424,0.8684334098945901,0.327978032986794,-1.2765217399285236,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1453,0.0,0,False,estimated (stationary)
ES/RTH/B0/1day,23,23,0.9185967902812522,0.9308196220963016,0.9001952123926007,False,0.3374526003336725,0.6354992136966535,0.929368470010092,-0.2935147426653292,-0.8313792460879176,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1401,0.0,0,False,estimated (stationary)
ES/RTH/B0/1h,29,29,0.889297643975452,0.91843317488607,0.8457900087717471,False,0.1742575780613373,0.6713528229603958,1.0519376984076385,-2.099321758378045,0.4402870282341565,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,10906,0.0,0,False,estimated (stationary)
ES/RTH/B0/30min,30,30,0.9236417968516151,0.9938379467360464,0.8986586501633596,False,0.2611751906615317,0.6332711990119102,1.0440465856026482,-1.7049883484591528,0.4194406255446548,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,22312,0.0,0,False,estimated (stationary)
ES/RTH/B1/1day,23,23,0.9178507429880992,0.9304821922831452,0.8962866312046186,False,0.3373827390833903,0.6318605467927012,0.9344337193726387,-0.3293849499535999,-0.8022992074417281,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1401,0.0,0,False,estimated (stationary)
ES/RTH/B1/1h,29,29,0.8903930422206633,0.9183450720338796,0.8575164845224659,False,0.1677543290551574,0.6777920491648225,1.0531139134446428,-2.07961814250226,0.4507731383530304,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,10906,0.0,0,False,estimated (stationary)
ES/RTH/B1/30min,30,30,0.9194123509001514,0.9385168131939652,0.8377312395647987,False,0.2592718929204217,0.6356132117118211,1.045008692411944,-1.6885846669231956,0.4271101253440897,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,22312,0.0,0,False,estimated (stationary)
NQ/GLOBEX/B0/1day,23,23,0.9176446140731563,0.9316939245563504,0.8857430521308411,False,0.3548468820389078,0.5697418599345208,1.009179708567545,-0.9123826203887564,-0.0700405374967705,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1448,0.0,0,False,estimated (stationary)
NQ/GLOBEX/B1/1day,23,23,0.9217265799586449,0.9894650960633018,0.8993149909405802,False,0.3509988726656553,0.5714753984525107,1.011954811840568,-0.9136330500177116,-0.0702261814202983,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1448,0.0,0,False,estimated (stationary)
NQ/RTH/B0/1day,23,23,0.9164759532409776,0.9333540407358514,0.8665583040444613,False,0.3632851696233959,0.5508935304632411,1.0329537502910957,-1.0702993511222023,0.0825856604516789,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1401,0.0,0,False,estimated (stationary)
NQ/RTH/B0/1h,29,29,0.8576735484198589,0.9287486724042844,0.8085185644056798,False,0.1667735610366178,0.5495928087525308,1.2278254536257465,-3.5996358495632927,2.190501243214137,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,10906,0.0,0,False,estimated (stationary)
NQ/RTH/B0/30min,30,30,0.8897184196352795,0.9049909080577851,0.8378998926193124,False,0.2121510122586747,0.5569787246475871,1.2248816543388232,-3.315278422280868,2.3910806987405495,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,22312,0.0,0,False,estimated (stationary)
NQ/RTH/B1/1day,23,23,0.9161578344951182,0.9327468203479312,0.866979022622258,False,0.36455977702694,0.5478244740607787,1.0362092277638228,-1.081795196622128,0.0920975840070236,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,1401,0.0,0,False,estimated (stationary)
NQ/RTH/B1/1h,29,29,0.8551354324783437,0.9146678167084072,0.8123189493962862,False,0.1533375924987081,0.5599089211210309,1.229546084892116,-3.5769255166398226,2.2056349109361753,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,10906,0.0,0,False,estimated (stationary)
NQ/RTH/B1/30min,30,30,0.8909000391355844,0.906046872252481,0.839037474195459,False,0.2043414976073493,0.564224066287233,1.225260914924591,-3.2850069640646313,2.390966623180014,NOT APPLIED (partde.rgarch_ll has no targeting term),0,0,22312,0.0,0,False,estimated (stationary)
