cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
ES/GLOBEX/B0/1day,500,True,-0.8042885494774022,0.27648315215894714,0.6873602289604468,-0.6463650812076145,0.9095201672535795,-0.11714322075680539,0.04774819807574648,-1.8639331408319806,0.9016511425665115
ES/GLOBEX/B0/1day,563,True,0.10136630918110444,0.23366156506515437,0.7892530357293723,-1.3588090603026308,0.8474026785591768,-0.13486271063248736,0.05368688007742278,-1.795613125104773,0.9024767016031862
ES/GLOBEX/B0/1day,626,True,-0.07101328201707496,0.25239365169962125,0.7583650107048486,-1.2823239892796539,0.8534600480348377,-0.14197786664265322,0.0536480261273113,-1.7963300707233247,0.8996278901637216
ES/GLOBEX/B0/1day,689,True,0.4227011364266,0.24055780333876534,0.8055699371821485,-1.6804661117717004,0.8166870062857979,-0.15457393215343834,0.046221250356171195,-1.7915347391732248,0.8984563036898925
ES/GLOBEX/B0/1day,752,True,0.1401557817965885,0.2672546431221514,0.7554889453606937,-1.3070756443738776,0.853513843582507,-0.14146488969765927,0.0502240757872055,-1.7213889033689052,0.9120749166610517
ES/GLOBEX/B0/1day,815,True,0.1782768545112287,0.26624166686657397,0.759329180784239,-1.3733590898981773,0.8470678605418921,-0.14572245042078147,0.04953514009989526,-1.750371663442058,0.909445011480507
ES/GLOBEX/B0/1day,878,True,0.3345197858445359,0.2608950184709712,0.7748696280363907,-1.5039274917275969,0.8356811551227509,-0.14844640536965928,0.05201096590105342,-1.7291188234896657,0.9084389642979585
ES/GLOBEX/B0/1day,941,True,0.5587690473081837,0.2523817516787581,0.7996753029050652,-1.7260472604876314,0.8147271303182577,-0.1486978890446698,0.05378476757243531,-1.7272518072726006,0.9038989164009853
ES/GLOBEX/B0/1day,1004,True,0.564342388890975,0.2572463349487887,0.7941666628508858,-1.7619874310983779,0.8120991242521236,-0.15188814000148312,0.0549050053380689,-1.7110439816934617,0.9021883863602245
ES/GLOBEX/B0/1day,1067,True,0.5434223195354047,0.25431724997901,0.7947501026601933,-1.3412226848133217,0.853564406794171,-0.15918219975519116,0.0554862206337617,-1.6843473365722343,0.9326876499057644
ES/GLOBEX/B0/1day,1130,True,0.6658009518596791,0.2490073531360582,0.8098182864775927,-1.43566411352762,0.8436762314634776,-0.15709571607619854,0.05456559289326983,-1.694847336289498,0.9322317932416846
ES/GLOBEX/B0/1day,1193,True,0.5258020694651886,0.2648306950583438,0.7807745936079891,-1.3349557856671321,0.8551013151569469,-0.15887760236685775,0.05669115819249679,-1.6644269618132337,0.932472076893666
ES/GLOBEX/B0/1day,1256,True,0.5061039576516614,0.26245831961304633,0.7814530484528606,-1.3573311674887634,0.8530428631185754,-0.16702572653871794,0.0570344206035257,-1.6414503130983142,0.9290712654580133
ES/GLOBEX/B0/1day,1319,True,0.47163568475263595,0.2668418657299745,0.7737016812650239,-1.364009925787812,0.8529998952832702,-0.17255773440150157,0.056787607107601445,-1.6292117488411613,0.92680931882953
ES/GLOBEX/B0/1day,1382,True,0.5989073128346485,0.2577719184487415,0.7926389042193935,-1.4922032307614956,0.8405502499674271,-0.17812147407132928,0.05792256019095911,-1.6189132295210213,0.9240247475242602
ES/GLOBEX/B0/1day,1445,True,0.5811469714179596,0.2689926910105479,0.7790501589611496,-1.5028302055651537,0.8397434758239974,-0.1762171296239683,0.06180630181931731,-1.601089965982848,0.9231949793378214
ES/GLOBEX/B0/1day,1508,True,0.4620253401787255,0.26831304526800703,0.7705048593509998,-1.3880883447003405,0.8515161777421063,-0.17782891382875482,0.060972021587093986,-1.5889588540642414,0.9244103980342896
ES/GLOBEX/B0/1day,1571,True,0.6250578345558927,0.27066348015911346,0.7792772884822474,-1.483241537403178,0.8426012236536793,-0.17700489494105007,0.05933488129007666,-1.5921381264071894,0.9272834769997764
ES/GLOBEX/B0/1day,1634,True,0.587854220560458,0.2820096441591097,0.7639579813291125,-1.4506288967707648,0.8461913557620522,-0.17340223781051922,0.05857742222502821,-1.5727791064227754,0.928464284125232
ES/GLOBEX/B0/1day,1697,True,0.517061979441679,0.29049293032168144,0.7488466659440716,-1.3761635989821408,0.8546273254234344,-0.16657872021275366,0.06471796752708524,-1.5538120570933447,0.9304777535897194
ES/GLOBEX/B0/1day,1760,True,0.43763506264858054,0.30516772824493416,0.7275263643667607,-1.3241171206704716,0.8600454317032492,-0.1635782765473982,0.06412676483054952,-1.53121899249399,0.9308734543622401
ES/GLOBEX/B0/1day,1823,True,0.4254103290625688,0.3073215339444518,0.7245628151599086,-1.3355536466547546,0.8588233625524713,-0.1635176438530943,0.06437327002711507,-1.5211603169794756,0.9295930072405691
ES/GLOBEX/B0/1day,1886,True,0.3989491388339681,0.3133644672421524,0.7161742777696172,-1.3241599295023732,0.8604018689073427,-0.16310827652056445,0.06404347860713444,-1.5178656662886532,0.9295621542984974
ES/GLOBEX/B0/1day,1949,True,0.3157828171011289,0.31868527799266466,0.7041759286034888,-1.263316047200691,0.8674965266146393,-0.15820722967486184,0.06579470579155813,-1.5233467489215415,0.9295554501818294
ES/GLOBEX/B1/1day,500,True,-0.16502398522821143,0.2609537313952253,0.7468066291274273,-1.2428274997947453,0.854737959170342,-0.1180517198522895,0.04908203106970681,-1.8595994292235285,0.899277705470485
