root,geom,btag,horizon,c_new,A_new,b_new,rmse_new,c_s05b,A_s05b,b_s05b,rmse_s05b,b_shift,implied_sd_log_iv,implied_vol_ratio_1sd
ES,GLOBEX,B0,1day,1.0178464024985823,2.0816735374402224,-0.43929371362519365,0.04983756899877298,1.0178463993749072,2.0816735327154197,-0.43929371064532485,0.049837568998776394,-2.97986879616019e-09,1.0088837408237792,2.742537922610226
ES,GLOBEX,B1,1day,0.996403930391418,2.0267632837855056,-0.4073520687806927,0.04840692088497628,0.9963694277411059,2.0266734247730422,-0.40731437207969196,0.04840243052642542,-3.769670100073341e-05,0.9982003458181218,2.713394260484144
NQ,GLOBEX,B0,1day,1.0813010537616186,2.5864333715172934,-0.6867573942150653,0.037970866290274276,1.0813055251464505,2.58645492392253,-0.6867721718556452,0.03797195447190823,1.4777640579888285e-05,1.039856265914486,2.8288103886549676
NQ,GLOBEX,B1,1day,1.0765136956882844,2.4161606455031253,-0.6435211537014299,0.0315993773282209,1.076519975662112,2.416410900478887,-0.6435780114911324,0.03160035761646828,5.6857789702435824e-05,1.0375517797624774,2.8222989399410214
ES,RTH,B0,1day,1.084220479320661,2.334427088809502,-0.6334452980204796,0.029457974125523218,1.084220482922605,2.334427116854207,-0.6334453069567121,0.02945797412551679,8.936232531731036e-09,1.0412590836677782,2.8327814787955194
ES,RTH,B0,1h,1.0511795756165265,2.321468897084188,-0.46457999018825136,0.014840273882899211,1.0511795756165265,2.321468897084188,-0.46457999018825136,0.014840273882899211,0.0,1.0252704890010862,2.7878494412000485
ES,RTH,B0,30min,0.8157781123425129,2.585718645705014,-0.4108913230994372,0.004463390407305198,0.8157781123425129,2.585718645705014,-0.4108913230994372,0.004463390407305198,0.0,0.9032043580178922,2.4674972010975664
ES,RTH,B1,1day,1.0985022699266411,2.439161563077933,-0.6556720774902316,0.030564248192695133,1.0985129920948835,2.4394739165659156,-0.6557284867392879,0.030559660452010813,5.6409249056255106e-05,1.0480945901619,2.852211305690764
ES,RTH,B1,1h,1.049220079533578,2.319881100546404,-0.46711633211649245,0.015155636891543287,1.0491610508945362,2.3196946160306955,-0.46705641435613443,0.015149479057722529,-5.991776035801921e-05,1.02431444368103,2.785185404461612
ES,RTH,B1,30min,0.8204563811337725,2.5799431679694185,-0.4153660034648604,0.004178843134190521,0.8203881556185492,2.579886663475212,-0.4153294307268761,0.004178887864889588,-3.657273798429728e-05,0.9057904730862278,2.4738866912076563
NQ,RTH,B0,1day,1.0573742980216938,3.593129280875144,-0.9765025643138977,0.016346738983410932,1.05737429666362,3.593129225588273,-0.9765025548123991,0.016346738983410377,-9.501498587916046e-09,1.0282870698504838,2.796271911579932
NQ,RTH,B0,1h,1.4247634096936168,2.437978179485933,-0.8022340843215465,0.01184174856083176,1.4247634087312286,2.4379781693266143,-0.8022340811128278,0.011841748560832022,-3.208718735159266e-09,1.1936345377432813,3.2990499653724394
NQ,RTH,B0,30min,1.3682860706514786,2.328984071435842,-0.7004290569807979,0.00531883529656158,1.3682860647656097,2.328984052314804,-0.7004290473731174,0.005318835296561694,-9.607680540035801e-09,1.1697376076075687,3.221147323078702
NQ,RTH,B1,1day,1.066033887656,3.7617348615981485,-1.003130316464643,0.01699483508055955,1.0660294887293011,3.761712334475876,-1.0031102212069167,0.01698598383062187,-2.009525772628251e-05,1.0324891707209332,2.8080468506279304
NQ,RTH,B1,1h,1.4144061015523055,2.4296778024715175,-0.8051918108746663,0.01178746391355226,1.4143932175880751,2.429983198171981,-0.80521956267197,0.011803954500833035,2.775179730374333e-05,1.189288065000362,3.2847418520582052
NQ,RTH,B1,30min,1.3548349633158472,2.304398531329766,-0.6956700003331537,0.005259929325246668,1.3547099492376675,2.3042413445636907,-0.6955073288407269,0.005273989433317504,-0.00016267149242688017,1.1639737811977755,3.202634592403095
