root,geom,btag,horizon,M,estimator,lam,var_log_rv,in_unit,n_windows,mean_eff_M,share_full_M
ES,GLOBEX,B0,1day,5,E2,1.110793976920714,2.023316946343081,False,1953,4.998463901689708,0.9984639016897081
ES,GLOBEX,B0,1day,5,E4,0.9986488297440456,2.023316946343081,True,1953,4.998463901689708,0.9984639016897081
ES,GLOBEX,B0,1day,6,E2,0.6311869932012967,2.050281074184577,True,1953,5.972350230414746,0.9733742959549411
ES,GLOBEX,B0,1day,6,E4,0.9987997196095035,2.050281074184577,True,1953,5.972350230414746,0.9733742959549411
ES,GLOBEX,B0,1day,10,E2,0.7003727401136092,1.708196859425972,True,1953,9.96979006656426,0.9728622631848438
ES,GLOBEX,B0,1day,10,E4,0.8939085584982981,1.708196859425972,True,1953,9.96979006656426,0.9728622631848438
ES,GLOBEX,B0,1day,12,E2,0.7244037469703767,1.6972763586777508,True,1953,11.943164362519202,0.9723502304147466
ES,GLOBEX,B0,1day,12,E4,0.9042704223016581,1.6972763586777508,True,1953,11.943164362519202,0.9723502304147466
ES,GLOBEX,B0,1day,23,E2,0.7858933084173252,1.5134912872944053,True,1953,22.8868407578085,0.9723502304147466
ES,GLOBEX,B0,1day,23,E4,0.9324033050880033,1.5134912872944053,True,1953,22.8868407578085,0.9723502304147466
ES,GLOBEX,B0,1day,46,E2,0.8239594697245847,1.420051359269385,True,1953,45.77009728622632,0.9713261648745519
ES,GLOBEX,B0,1day,46,E4,0.9599945515305308,1.420051359269385,True,1953,45.77009728622632,0.9713261648745519
ES,GLOBEX,B0,1day,138,E2,0.8577785223066002,1.3123452370132864,True,1953,136.63184843830004,0.3061955965181772
ES,GLOBEX,B0,1day,138,E4,0.9851879605000888,1.3123452370132864,True,1953,136.63184843830004,0.3061955965181772
ES,GLOBEX,B0,1day,345,E2,0.8615116775333784,1.2207286028355093,True,1953,341.10240655401947,0.30568356374807987
ES,GLOBEX,B0,1day,345,E4,0.9933335021671628,1.2207286028355093,True,1953,341.10240655401947,0.30568356374807987
ES,GLOBEX,B0,1day,1379,E2,0.8455309763227498,1.0427598409404542,True,1953,1354.31592421915,0.2452636968766001
