cell,estimator,lam,message
ES/GLOBEX/B0/1day/M5,E2,1.110793976920714,"[assert_lambda_in_unit] cell=ES/GLOBEX/B0/1day/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [1.110794]"
ES/GLOBEX/B1/1day/M5,E2,2.0493845617704625,"[assert_lambda_in_unit] cell=ES/GLOBEX/B1/1day/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [2.049385]"
ES/RTH/B0/1h/M4,E2,2.000991535379179,"[assert_lambda_in_unit] cell=ES/RTH/B0/1h/M4 estimator=E2: 1 of 1 outside [0,1]; offending values [2.000992]"
ES/RTH/B0/1h/M5,E2,1.9991876077661606,"[assert_lambda_in_unit] cell=ES/RTH/B0/1h/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [1.999188]"
ES/RTH/B0/1h/M6,E2,1.2884060231509873,"[assert_lambda_in_unit] cell=ES/RTH/B0/1h/M6 estimator=E2: 1 of 1 outside [0,1]; offending values [1.288406]"
ES/RTH/B0/30min/M5,E2,2.8513679344295446,"[assert_lambda_in_unit] cell=ES/RTH/B0/30min/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [2.851368]"
ES/RTH/B0/30min/M6,E2,1.5500971956739886,"[assert_lambda_in_unit] cell=ES/RTH/B0/30min/M6 estimator=E2: 1 of 1 outside [0,1]; offending values [1.550097]"
ES/RTH/B1/1h/M4,E2,2.039931547342415,"[assert_lambda_in_unit] cell=ES/RTH/B1/1h/M4 estimator=E2: 1 of 1 outside [0,1]; offending values [2.039932]"
ES/RTH/B1/1h/M5,E2,1.9847502982656948,"[assert_lambda_in_unit] cell=ES/RTH/B1/1h/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [1.98475]"
ES/RTH/B1/1h/M6,E2,1.352675704541269,"[assert_lambda_in_unit] cell=ES/RTH/B1/1h/M6 estimator=E2: 1 of 1 outside [0,1]; offending values [1.352676]"
ES/RTH/B1/30min/M5,E2,2.873717388748418,"[assert_lambda_in_unit] cell=ES/RTH/B1/30min/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [2.873717]"
ES/RTH/B1/30min/M6,E2,1.5426659104578317,"[assert_lambda_in_unit] cell=ES/RTH/B1/30min/M6 estimator=E2: 1 of 1 outside [0,1]; offending values [1.542666]"
NQ/RTH/B0/30min/M5,E2,1.026990861334638,"[assert_lambda_in_unit] cell=NQ/RTH/B0/30min/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [1.026991]"
NQ/RTH/B1/30min/M5,E2,1.0292576974732404,"[assert_lambda_in_unit] cell=NQ/RTH/B1/30min/M5 estimator=E2: 1 of 1 outside [0,1]; offending values [1.029258]"
