cell,level,s05,s06r,changed,entered,left
ES/GLOBEX/B0/1day/S-A,75,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,False,,
ES/GLOBEX/B0/1day/S-A,90,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,False,,
ES/GLOBEX/B0/1day/S-B_q0.80,75,M4_HARQ|M5_RGARCH,M5_RGARCH,True,,M4_HARQ
ES/GLOBEX/B0/1day/S-B_q0.80,90,M4_HARQ|M5_RGARCH,M3_HARJ|M5_RGARCH,True,M3_HARJ,M4_HARQ
ES/GLOBEX/B0/1day/S-C_q0.80,75,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M5_RGARCH,True,,M3_HARJ|M4_HARQ
ES/GLOBEX/B0/1day/S-C_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M5_RGARCH,True,,M3_HARJ|M4_HARQ
ES/GLOBEX/B0/1day/S-B_q0.90,75,M4_HARQ|M5_RGARCH,M5_RGARCH,True,,M4_HARQ
ES/GLOBEX/B0/1day/S-B_q0.90,90,M4_HARQ|M5_RGARCH,M5_RGARCH,True,,M4_HARQ
ES/GLOBEX/B0/1day/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M5_RGARCH,True,,M3_HARJ|M4_HARQ
ES/GLOBEX/B0/1day/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,True,,M3_HARJ
ES/GLOBEX/B1/1day/S-A,75,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,False,,
ES/GLOBEX/B1/1day/S-A,90,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,False,,
