root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,GLOBEX,B0,1day,S-A,1453,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,3280325159,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.4446, ""M3_HARJ"": 0.4446, ""M5_RGARCH"": 0.5736, ""M2_HAR"": 1.0}"
ES,GLOBEX,B0,1day,S-B_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M3_HARJ|M5_RGARCH,4011620097,"{""M4_HARQ"": 0.0008, ""M6_PARK"": 0.0008, ""M1_EWMA"": 0.0008, ""M6_GK"": 0.0008, ""M2_HAR"": 0.0008, ""M3_HARJ"": 0.1002, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-C_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M5_RGARCH,1932513795,"{""M1_EWMA"": 0.0079, ""M4_HARQ"": 0.0869, ""M3_HARJ"": 0.0869, ""M6_PARK"": 0.0869, ""M6_GK"": 0.0869, ""M2_HAR"": 0.4223, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-B_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M5_RGARCH,490092290,"{""M4_HARQ"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M2_HAR"": 0.0, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-C_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,2782361068,"{""M3_HARJ"": 0.016, ""M1_EWMA"": 0.016, ""M4_HARQ"": 0.1344, ""M6_PARK"": 0.1344, ""M6_GK"": 0.1344, ""M2_HAR"": 0.5313, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-A,1453,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,4040406603,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.3468, ""M3_HARJ"": 0.3468, ""M2_HAR"": 0.4526, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-B_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M5_RGARCH,2357419644,"{""M3_HARJ"": 0.0006, ""M6_PARK"": 0.0006, ""M1_EWMA"": 0.0006, ""M6_GK"": 0.0006, ""M2_HAR"": 0.0006, ""M4_HARQ"": 0.0796, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-C_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M5_RGARCH,795905876,"{""M1_EWMA"": 0.0055, ""M3_HARJ"": 0.0598, ""M4_HARQ"": 0.0598, ""M6_PARK"": 0.0598, ""M6_GK"": 0.0598, ""M2_HAR"": 0.472, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-B_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M5_RGARCH,1194876513,"{""M3_HARJ"": 0.0009, ""M1_EWMA"": 0.0009, ""M4_HARQ"": 0.001, ""M6_PARK"": 0.001, ""M6_GK"": 0.001, ""M2_HAR"": 0.001, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B1,1day,S-C_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,3628868369,"{""M3_HARJ"": 0.0118, ""M1_EWMA"": 0.0118, ""M4_HARQ"": 0.2399, ""M6_PARK"": 0.2399, ""M6_GK"": 0.2399, ""M2_HAR"": 0.8687, ""M5_RGARCH"": 1.0}"
