cell,quantile,level,differs,s_b,s_c,status,is_primary_cell
ES/GLOBEX/B0/1day,0.8,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok,False
ES/GLOBEX/B0/1day,0.8,mcs90,True,M3_HARJ|M5_RGARCH,M2_HAR|M5_RGARCH,ok,False
ES/GLOBEX/B0/1day,0.9,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok,False
ES/GLOBEX/B0/1day,0.9,mcs90,True,M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok,False
ES/GLOBEX/B1/1day,0.8,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok,False
ES/GLOBEX/B1/1day,0.8,mcs90,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok,False
ES/GLOBEX/B1/1day,0.9,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok,False
ES/GLOBEX/B1/1day,0.9,mcs90,True,M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok,False
NQ/GLOBEX/B0/1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B0/1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B0/1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B0/1day,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B1/1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B1/1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B1/1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/GLOBEX/B1/1day,0.9,mcs90,True,M2_HAR,M2_HAR|M6_PARK,ok,False
ES/RTH/B0/1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok,False
ES/RTH/B0/1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/1h,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/1h,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B0/30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok,True
ES/RTH/B0/30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok,True
ES/RTH/B0/30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok,True
ES/RTH/B0/30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok,True
ES/RTH/B1/1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok,False
ES/RTH/B1/1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/1h,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/1h,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
ES/RTH/B1/30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M2_HAR,ok,False
NQ/RTH/B0/1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1h,0.8,mcs90,True,M1_EWMA|M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/1h,0.9,mcs90,True,M1_EWMA|M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B0/30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1day,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1day,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1day,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1day,0.9,mcs90,True,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M2_HAR,ok,False
NQ/RTH/B1/1h,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1h,0.8,mcs90,True,M1_EWMA|M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1h,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/1h,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/30min,0.8,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/30min,0.8,mcs90,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/30min,0.9,mcs75,False,M2_HAR,M2_HAR,ok,False
NQ/RTH/B1/30min,0.9,mcs90,False,M2_HAR,M2_HAR,ok,False
