cell,source,model,n_eval,n_replaced,share_replaced,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter
ES/GLOBEX/B0/1day,S06R,M3_HARJ,1453,14,0.009635237439779766,0.5550262187426538,0.7094618258325819,0.4534241652651385,True
ES/GLOBEX/B0/1day,S06R,M4_HARQ,1453,14,0.009635237439779766,0.577422236938575,0.6993960775765433,0.43583756189913636,True
ES/GLOBEX/B0/1h,S07,M3_HARJ,40833,3303,0.08089045624862244,inf,inf,0.018255031955166683,True
ES/GLOBEX/B0/1h,S07,M4_HARQ,40833,5394,0.13209903754316363,inf,inf,0.017902653677649327,True
ES/GLOBEX/B1/1day,S06R,M3_HARJ,1453,16,0.011011699931176875,0.5729182173749077,0.7075517086737497,0.4256460906281842,True
ES/GLOBEX/B1/1day,S06R,M4_HARQ,1453,26,0.017894012388162423,0.5852951360882828,0.6894046226361946,0.41664518366767217,True
ES/GLOBEX/B1/1h,S07,M3_HARJ,1384,4,0.002890173410404624,0.22849815104618057,0.028472914338248535,0.10433772812484844,False
ES/GLOBEX/B1/1h,S07,M4_HARQ,1384,37,0.026734104046242775,0.26841780223567285,0.1803070772939117,0.10720384795543307,False
ES/GLOBEX/B1/30min,S07,M3_HARJ,79367,642,0.008089004246097244,inf,inf,0.02184537551038928,True
ES/GLOBEX/B1/30min,S07,M4_HARQ,79367,3136,0.03951264379402018,inf,inf,0.026310261007297154,True
NQ/GLOBEX/B0/1day,S06R,M3_HARJ,1448,13,0.008977900552486187,0.4342461180577883,0.6423529317734629,0.4251078155258614,True
NQ/GLOBEX/B0/1day,S06R,M4_HARQ,1448,13,0.008977900552486187,0.4383054267928967,0.619340711214834,0.4211707347519509,True
NQ/GLOBEX/B0/1h,S07,M3_HARJ,22134,2574,0.11629167796150719,inf,inf,0.01909300517186285,True
NQ/GLOBEX/B0/1h,S07,M4_HARQ,22134,3195,0.1443480618053673,inf,0.5789686785374147,0.02297678999487872,True
NQ/GLOBEX/B1/1day,S06R,M3_HARJ,1448,18,0.012430939226519336,0.46186342518348017,0.63465954857844,0.3896833345806455,True
NQ/GLOBEX/B1/1day,S06R,M4_HARQ,1448,17,0.011740331491712707,0.46265709056712795,0.6123317127319199,0.3890148520704953,True
NQ/GLOBEX/B1/1h,S07,M3_HARJ,17982,2529,0.14064064064064064,inf,inf,0.017889064628397715,True
NQ/GLOBEX/B1/1h,S07,M4_HARQ,17982,3016,0.16772327883438995,inf,0.6318838760607933,0.021247696745528892,True
ES/RTH/B0/1day,S06R,M3_HARJ,1401,22,0.015703069236259814,0.6257017326223596,0.7054633137781319,0.3982601993205664,True
ES/RTH/B0/1day,S06R,M4_HARQ,1401,24,0.017130620985010708,0.6434746532755661,0.7131375880703722,0.38726015932548147,True
ES/RTH/B0/1h,S06R,M3_HARJ,10906,287,0.02631578947368421,0.38066826030417683,0.3517833638419036,0.05632448542552968,True
ES/RTH/B0/1h,S06R,M4_HARQ,10906,526,0.048230331927379425,0.4107565521600228,0.41992085458167655,0.054078600238295055,True
ES/RTH/B0/30min,S06R,M3_HARJ,22312,3639,0.16309609178917175,0.536433025904411,0.6477253398909023,0.017430168466947556,True
ES/RTH/B0/30min,S06R,M4_HARQ,22312,4461,0.19993725349587665,0.5783475617181855,0.7025002973211237,0.016097365201486396,True
ES/RTH/B1/1day,S06R,M3_HARJ,1401,22,0.015703069236259814,0.6233995080270816,0.7057428866795992,0.3942561551432546,True
