cell,model,n_eval,n_replaced,share_replaced,qlike_before,qlike_after,n_replaced_alt_100x,share_replaced_alt_100x,dates_replaced,rv_min,rv_max,rv_mean
NQ/GLOBEX/B0/1h,M3_HARJ,22134,2574,0.11629167796150719,0.4055938485045522,inf,2426,0.10960513237553086,2016-06-01;2016-06-03;2016-06-06;2016-06-07;2016-06-08;2016-06-14;2016-06-24;2016-08-08;2016-08-09;2016-08-10;2016-08-11;2016-08-12;2016-08-15;2016-08-16;2016-08-17;2016-08-18;2016-08-19;2016-08-22;2016-08-23;2016-08-24;2016-08-25;2016-08-26;2016-08-29;2016-08-30;2016-08-31;2016-09-01;2016-09-02;2016-09-06;2016-09-07;2016-09-13;2016-09-29;2016-10-07;2016-10-11;2016-10-24;2016-10-25;2016-10-26;2016-10-27;2016-10-28;2016-11-09;2016-12-22,8.539800546714105e-07,0.00012387218248477438,1.695058738869816e-05
NQ/GLOBEX/B0/1h,M4_HARQ,22134,3195,0.1443480618053673,1.7933616364282167e+292,inf,3054,0.13797777175386283,2016-03-16;2016-03-21;2016-03-22;2016-03-23;2016-03-24;2016-03-28;2016-03-29;2016-03-30;2016-03-31;2016-04-01;2016-04-04;2016-04-05;2016-04-06;2016-04-07;2016-04-08;2016-04-15;2016-04-18;2016-04-19;2016-04-20;2016-04-21;2016-04-22;2016-04-25;2016-04-26;2016-05-11;2016-05-12;2016-05-17;2016-05-26;2016-05-27;2016-05-31;2016-06-01;2016-06-02;2016-06-03;2016-06-06;2016-06-07;2016-06-08;2016-06-14;2016-06-15;2016-06-16;2016-06-23;2016-06-24,8.539800546714105e-07,0.00012387218248477438,1.695058738869816e-05
ES/GLOBEX/B1/1h,M3_HARJ,1384,4,0.002890173410404624,0.22377959068977543,0.22849815104618057,4,0.002890173410404624,2016-11-28;2017-01-17;2017-05-30;2017-07-05,7.943096989038168e-07,0.00011516448353177111,1.2991804855763716e-05
ES/GLOBEX/B1/1h,M4_HARQ,1384,37,0.026734104046242775,0.22351936258353405,0.26841780223567285,37,0.026734104046242775,2016-03-16;2016-03-21;2016-03-22;2016-03-24;2016-03-28;2016-03-29;2016-03-30;2016-03-31;2016-04-01;2016-04-18;2016-04-19;2016-04-20;2016-04-21;2016-04-22;2016-04-25;2016-04-26;2016-05-12;2016-11-28;2017-01-17;2017-05-30;2017-07-05,7.943096989038168e-07,0.00011516448353177111,1.2991804855763716e-05
ES/GLOBEX/B1/30min,M3_HARJ,79367,642,0.008089004246097244,0.35668401604748246,inf,483,0.006085652727204001,2016-06-24;2017-02-21;2017-05-30;2017-05-31;2017-06-05;2017-06-14;2017-07-17;2017-07-19;2017-07-20;2017-07-21;2017-07-24;2017-07-25;2017-07-26;2017-07-27;2017-07-31;2017-08-04;2017-08-07;2017-08-08;2017-08-09;2017-09-05;2017-09-18;2017-09-19;2017-09-20;2017-09-21;2017-09-25;2017-09-27;2017-09-28;2017-09-29;2017-10-02;2017-10-03;2017-10-04;2017-10-05;2017-10-06;2017-10-09;2017-10-10;2017-10-11;2017-10-12;2017-10-13;2017-10-16;2017-10-17,2.474673692631768e-07,8.847259391586704e-05,6.421205287952368e-06
ES/GLOBEX/B1/30min,M4_HARQ,79367,3136,0.03951264379402018,4.716071706905477e+291,inf,2991,0.03768568800635025,2016-05-30;2016-05-31;2016-06-01;2016-06-02;2016-06-03;2016-06-06;2016-06-07;2016-06-24;2016-08-09;2016-11-23;2016-11-24;2016-11-28;2016-11-29;2016-11-30;2016-12-07;2016-12-13;2016-12-14;2016-12-21;2016-12-22;2016-12-23;2016-12-27;2016-12-28;2016-12-29;2016-12-30;2017-01-03;2017-01-04;2017-01-05;2017-01-06;2017-01-09;2017-01-10;2017-01-11;2017-01-12;2017-01-13;2017-01-16;2017-01-17;2017-01-18;2017-01-19;2017-01-20;2017-01-24;2017-01-25,2.474673692631768e-07,8.847259391586704e-05,6.421205287952368e-06
ES/GLOBEX/B0/1h,M3_HARJ,40833,3303,0.08089045624862244,0.3370872465865577,inf,3124,0.07650674699385301,2016-05-31;2016-06-03;2016-08-09;2016-08-10;2016-08-11;2016-08-12;2016-11-23;2016-11-24;2016-11-28;2016-11-29;2016-11-30;2016-12-02;2016-12-07;2016-12-13;2016-12-14;2016-12-16;2016-12-19;2016-12-20;2016-12-21;2016-12-22;2016-12-23;2016-12-27;2016-12-28;2016-12-29;2016-12-30;2017-01-03;2017-01-04;2017-01-05;2017-01-06;2017-01-09;2017-01-10;2017-01-11;2017-01-12;2017-01-13;2017-01-16;2017-01-17;2017-01-18;2017-01-19;2017-01-20;2017-01-23,7.943096989038168e-07,0.00011516448353177111,1.3167517473504308e-05
ES/GLOBEX/B0/1h,M4_HARQ,40833,5394,0.13209903754316363,1.0639846870010668e+292,inf,5223,0.1279112482550878,2016-02-11;2016-03-22;2016-03-24;2016-03-28;2016-03-29;2016-03-30;2016-03-31;2016-04-01;2016-04-19;2016-04-20;2016-04-21;2016-04-22;2016-04-26;2016-05-27;2016-05-30;2016-05-31;2016-06-01;2016-06-02;2016-06-03;2016-06-06;2016-06-07;2016-06-08;2016-06-24;2016-08-09;2016-08-10;2016-08-11;2016-08-12;2016-11-23;2016-11-24;2016-11-28;2016-11-29;2016-12-07;2016-12-14;2016-12-16;2016-12-20;2016-12-21;2016-12-22;2016-12-23;2016-12-27;2016-12-28,7.943096989038168e-07,0.00011516448353177111,1.3167517473504308e-05
NQ/GLOBEX/B1/1h,M3_HARJ,17982,2529,0.14064064064064064,0.38770348240926816,inf,2392,0.1330219107996886,2016-11-30;2016-12-22;2016-12-23;2016-12-27;2016-12-28;2016-12-29;2016-12-30;2017-01-03;2017-01-04;2017-01-05;2017-01-06;2017-01-09;2017-01-10;2017-01-11;2017-01-12;2017-01-13;2017-01-16;2017-01-17;2017-01-18;2017-01-19;2017-01-20;2017-01-23;2017-01-24;2017-01-25;2017-01-26;2017-01-27;2017-01-30;2017-01-31;2017-02-01;2017-02-02;2017-02-03;2017-02-06;2017-02-07;2017-02-08;2017-02-09;2017-02-10;2017-02-13;2017-02-14;2017-02-15;2017-02-16,8.539800546714105e-07,0.00012387218248477438,1.668383925502832e-05
NQ/GLOBEX/B1/1h,M4_HARQ,17982,3016,0.16772327883438995,1.501165829540615e+292,inf,2883,0.160326993660327,2016-12-22;2016-12-23;2016-12-27;2016-12-28;2016-12-29;2016-12-30;2017-01-03;2017-01-04;2017-01-05;2017-01-06;2017-01-09;2017-01-10;2017-01-11;2017-01-12;2017-01-13;2017-01-16;2017-01-17;2017-01-18;2017-01-19;2017-01-20;2017-01-23;2017-01-24;2017-01-25;2017-01-26;2017-01-27;2017-01-30;2017-01-31;2017-02-01;2017-02-02;2017-02-03;2017-02-06;2017-02-07;2017-02-08;2017-02-09;2017-02-10;2017-02-13;2017-02-14;2017-02-15;2017-02-16;2017-02-17,8.539800546714105e-07,0.00012387218248477438,1.668383925502832e-05
