cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
ES/GLOBEX/B0/1h,584,True,-0.3596468907811668,0.014728542041770258,0.8770695230474039,-0.35276090403727783,4.348804755034509,-0.15085944659752995,5.3211912841641526e-05,0.6139931563436676,3.8289326543661697
ES/GLOBEX/B0/1h,1970,True,-0.17416298246518,6.351781187271232e-12,0.009657363959084446,2.0499380702694987,69.24452093310218,-0.9130270259680078,-0.0007350437753326742,6.635549874449234,0.6687195408297613
ES/GLOBEX/B0/1h,3356,True,-12.331323308966356,4.654533690803292e-10,0.003247572328602722,-42.531841299280984,-2.1764591463885345,0.43003776175904085,0.1225414967488182,7.410830818519729,-0.007068208032692336
ES/GLOBEX/B0/1h,4742,True,-12.214617507201321,2.5389609211921283e-08,0.009563658956527683,750.0210688289335,61.932631895811326,6.333256098171405,0.4499998629177856,6.730265311798947,0.5923025951213172
ES/GLOBEX/B0/1h,6128,True,-12.502242953629096,1.0336957866770781e-18,0.009040134164303458,847.705359190062,68.28017978662704,-0.6892247491635055,0.4489524386857628,6.757019026282048,0.6172619860338695
ES/GLOBEX/B0/1h,7514,True,-12.706338246185556,2.2404317010562247e-28,0.006462574964015009,1302.1143272441368,102.88692844545835,-0.012118843332614863,0.14079908148964446,6.699267144023044,0.6649144878960228
ES/GLOBEX/B0/1h,8900,True,-12.82937045784616,9.369285427098257e-28,0.006434069738810601,1323.5335233323422,103.57429362452758,0.08219594672985567,0.18869700818457574,6.753050164357573,0.6664042283282566
ES/GLOBEX/B0/1h,10286,True,-12.942008113674294,3.7149867698020414e-27,0.006258804844033745,1372.5141553851308,106.4628323504748,0.2128862494870728,0.18151144147189685,6.790377297243993,0.6663300908247042
ES/GLOBEX/B0/1h,11672,True,-12.785014741588283,1.0315396257659932e-26,0.0065206382223339035,1300.9246809892843,102.17214794395383,0.16079555974720122,0.15060407009887378,6.8183956758504225,0.6662276131412997
ES/GLOBEX/B0/1h,13058,True,-12.709953968311744,1.219673571407337e-35,0.00674251332014573,1251.1870660738073,98.85732336621564,0.08280934019529562,0.16959205041363618,6.775140945521054,0.6665468195906626
