cell,n_eval,source
NQ/GLOBEX/B1/30min,83081,S07
NQ/GLOBEX/B0/30min,80551,S07
ES/GLOBEX/B1/30min,79367,S07
ES/GLOBEX/B0/1h,40833,S07
ES/RTH/B0/30min,22312,S06R
ES/RTH/B1/30min,22312,S06R
NQ/RTH/B0/30min,22312,S06R
NQ/RTH/B1/30min,22312,S06R
NQ/GLOBEX/B0/1h,22134,S07
NQ/GLOBEX/B1/1h,17982,S07
ES/GLOBEX/B0/30min,13019,S07
ES/RTH/B0/1h,10906,S06R
ES/RTH/B1/1h,10906,S06R
NQ/RTH/B0/1h,10906,S06R
NQ/RTH/B1/1h,10906,S06R
ES/GLOBEX/B0/1day,1453,S07
ES/GLOBEX/B1/1day,1453,S07
NQ/GLOBEX/B0/1day,1448,S07
NQ/GLOBEX/B1/1day,1448,S07
ES/RTH/B0/1day,1401,S06R
ES/RTH/B1/1day,1401,S06R
NQ/RTH/B0/1day,1401,S06R
NQ/RTH/B1/1day,1401,S06R
ES/GLOBEX/B1/1h,1384,S07
