cell,scheme,message
ES/GLOBEX/B0/1h,S-A,"[assert_loss_finite] cell=ES/GLOBEX/B0/1h/S-A: 68 non-finite of 163332 entries (shape (40833, 4)); by model: M1_EWMA=17, M2_HAR=17, M3_HARJ=17, M4_HARQ=17"
ES/GLOBEX/B0/1h,S-C_q0.80,"[assert_loss_finite] cell=ES/GLOBEX/B0/1h/S-C_q0.80: 68 non-finite of 32668 entries (shape (8167, 4)); by model: M1_EWMA=17, M2_HAR=17, M3_HARJ=17, M4_HARQ=17"
ES/GLOBEX/B0/1h,S-C_q0.90,"[assert_loss_finite] cell=ES/GLOBEX/B0/1h/S-C_q0.90: 68 non-finite of 16336 entries (shape (4084, 4)); by model: M1_EWMA=17, M2_HAR=17, M3_HARJ=17, M4_HARQ=17"
ES/GLOBEX/B1/30min,S-A,"[assert_loss_finite] cell=ES/GLOBEX/B1/30min/S-A: 168 non-finite of 317468 entries (shape (79367, 4)); by model: M1_EWMA=42, M2_HAR=42, M3_HARJ=42, M4_HARQ=42"
ES/GLOBEX/B1/30min,S-C_q0.80,"[assert_loss_finite] cell=ES/GLOBEX/B1/30min/S-C_q0.80: 160 non-finite of 63496 entries (shape (15874, 4)); by model: M1_EWMA=40, M2_HAR=40, M3_HARJ=40, M4_HARQ=40"
ES/GLOBEX/B1/30min,S-C_q0.90,"[assert_loss_finite] cell=ES/GLOBEX/B1/30min/S-C_q0.90: 160 non-finite of 31748 entries (shape (7937, 4)); by model: M1_EWMA=40, M2_HAR=40, M3_HARJ=40, M4_HARQ=40"
NQ/GLOBEX/B0/1h,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B0/1h/S-A: 60 non-finite of 88536 entries (shape (22134, 4)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15"
NQ/GLOBEX/B0/1h,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B0/1h/S-C_q0.80: 60 non-finite of 17708 entries (shape (4427, 4)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15"
NQ/GLOBEX/B0/1h,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B0/1h/S-C_q0.90: 60 non-finite of 8856 entries (shape (2214, 4)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15"
NQ/GLOBEX/B0/30min,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B0/30min/S-A: 144 non-finite of 322204 entries (shape (80551, 4)); by model: M1_EWMA=36, M2_HAR=36, M3_HARJ=36, M4_HARQ=36"
NQ/GLOBEX/B0/30min,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B0/30min/S-C_q0.80: 140 non-finite of 64440 entries (shape (16110, 4)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35"
NQ/GLOBEX/B0/30min,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B0/30min/S-C_q0.90: 140 non-finite of 32220 entries (shape (8055, 4)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35"
NQ/GLOBEX/B1/1h,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B1/1h/S-A: 60 non-finite of 71928 entries (shape (17982, 4)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15"
NQ/GLOBEX/B1/1h,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B1/1h/S-C_q0.80: 60 non-finite of 14388 entries (shape (3597, 4)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15"
NQ/GLOBEX/B1/1h,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B1/1h/S-C_q0.90: 60 non-finite of 7196 entries (shape (1799, 4)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15"
NQ/GLOBEX/B1/30min,S-A,"[assert_loss_finite] cell=NQ/GLOBEX/B1/30min/S-A: 144 non-finite of 332324 entries (shape (83081, 4)); by model: M1_EWMA=36, M2_HAR=36, M3_HARJ=36, M4_HARQ=36"
NQ/GLOBEX/B1/30min,S-C_q0.80,"[assert_loss_finite] cell=NQ/GLOBEX/B1/30min/S-C_q0.80: 140 non-finite of 66464 entries (shape (16616, 4)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35"
NQ/GLOBEX/B1/30min,S-C_q0.90,"[assert_loss_finite] cell=NQ/GLOBEX/B1/30min/S-C_q0.90: 140 non-finite of 33232 entries (shape (8308, 4)); by model: M1_EWMA=35, M2_HAR=35, M3_HARJ=35, M4_HARQ=35"
