root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,GLOBEX,B0,1day,S-A,1453,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH,3280325159,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.3925, ""M3_HARJ"": 0.3925, ""M5_RGARCH"": 0.6329, ""M2_HAR"": 1.0}"
ES,GLOBEX,B0,1day,S-B_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M5_RGARCH,4011620097,"{""M3_HARJ"": 0.0008, ""M6_PARK"": 0.0008, ""M1_EWMA"": 0.0008, ""M6_GK"": 0.0008, ""M2_HAR"": 0.0008, ""M4_HARQ"": 0.0897, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-C_q0.80,291,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M5_RGARCH,1932513795,"{""M1_EWMA"": 0.0067, ""M3_HARJ"": 0.0568, ""M4_HARQ"": 0.0568, ""M6_PARK"": 0.0568, ""M6_GK"": 0.0568, ""M2_HAR"": 0.4577, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-B_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M5_RGARCH,M5_RGARCH,490092290,"{""M3_HARJ"": 0.0001, ""M1_EWMA"": 0.0001, ""M4_HARQ"": 0.0001, ""M6_PARK"": 0.0001, ""M6_GK"": 0.0001, ""M2_HAR"": 0.0001, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1day,S-C_q0.90,146,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,2782361068,"{""M3_HARJ"": 0.013, ""M1_EWMA"": 0.013, ""M4_HARQ"": 0.1365, ""M6_PARK"": 0.1365, ""M6_GK"": 0.1365, ""M2_HAR"": 0.5173, ""M5_RGARCH"": 1.0}"
ES,GLOBEX,B0,1h,S-A,40833,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
ES,GLOBEX,B0,1h,S-B_q0.80,8167,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,492468961,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0053, ""M3_HARJ"": 0.0055, ""M2_HAR"": 1.0}"
ES,GLOBEX,B0,1h,S-C_q0.80,8167,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
ES,GLOBEX,B0,1h,S-B_q0.90,4084,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,3914642894,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0045, ""M3_HARJ"": 0.0045, ""M2_HAR"": 1.0}"
ES,GLOBEX,B0,1h,S-C_q0.90,4084,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
