cell,root,geom,btag,horizon,quantile,level,differs,s_b,s_c,status
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.8,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.8,mcs90,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.9,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok
ES/GLOBEX/B0/1day,ES,GLOBEX,B0,1day,0.9,mcs90,True,M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.8,mcs75,,,,HALTED
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.8,mcs90,,,,HALTED
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.9,mcs75,,,,HALTED
ES/GLOBEX/B0/1h,ES,GLOBEX,B0,1h,0.9,mcs90,,,,HALTED
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.8,mcs75,True,M2_HAR,M4_HARQ,ok
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.8,mcs90,True,M2_HAR,M4_HARQ,ok
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.9,mcs75,True,M2_HAR,M4_HARQ,ok
ES/GLOBEX/B0/30min,ES,GLOBEX,B0,30min,0.9,mcs90,True,M2_HAR,M4_HARQ,ok
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.8,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.8,mcs90,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.9,mcs75,True,M5_RGARCH,M2_HAR|M5_RGARCH,ok
ES/GLOBEX/B1/1day,ES,GLOBEX,B1,1day,0.9,mcs90,True,M5_RGARCH,M2_HAR|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,ok
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.8,mcs75,True,M2_HAR|M3_HARJ,M4_HARQ,ok
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.8,mcs90,False,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,ok
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.9,mcs75,False,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,ok
ES/GLOBEX/B1/1h,ES,GLOBEX,B1,1h,0.9,mcs90,False,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,ok
