venue,year,n_sessions,median_fill,mean_fill,padded_share,off_penny_close_share,corr_fill_vol
ARCX,2018,166,0.46170940170940167,0.5069318298836372,0.49306817011636284,0.04483338114407134,0.9394413535159855
ARCX,2019,249,0.4238034188034188,0.44324391583427725,0.5567560841657228,0.056073571722438924,0.927692142161034
ARCX,2020,251,0.6105555555555555,0.6402828004222427,0.3597171995777573,0.05588748555177096,0.8319230121477933
ARCX,2021,251,0.5991452991452991,0.6164931726087105,0.3835068273912895,0.06929551568870486,0.900474234613035
ARCX,2022,250,0.7680982905982906,0.7719678632478633,0.22803213675213674,0.03235080634925378,0.7822410925403224
ARCX,2023,248,0.698482905982906,0.7005164392059553,0.2994835607940447,0.05007792976950656,0.8373740907868987
XNAS,2018,166,0.49403846153846154,0.5550450520028835,0.44495494799711655,0.04072583538070622,0.9370883761331035
XNAS,2019,249,0.5083760683760684,0.5291569697593794,0.4708430302406206,0.07765992365177322,0.9070702694994649
XNAS,2020,251,0.6324786324786325,0.6609643477372561,0.3390356522627439,0.06457378397396696,0.8237235448168801
XNAS,2021,251,0.5988888888888889,0.6200124289168114,0.3799875710831886,0.06449040429970172,0.9060512354166785
XNAS,2022,250,0.7760897435897436,0.7817030769230768,0.21829692307692317,0.03767990208741549,0.7565528136177229
XNAS,2023,248,0.7113888888888888,0.7153480838158257,0.2846519161841743,0.08900780724303986,0.7276477667574821
