half_hour,fill,ny_clock,venue
0,0.8108574793875147,09:30,ARCX
1,0.7371813898704358,10:00,ARCX
2,0.6756756968983118,10:30,ARCX
3,0.6336415390655673,11:00,ARCX
4,0.589124067530428,11:30,ARCX
5,0.5454939144091088,12:00,ARCX
6,0.5145088339222614,12:30,ARCX
7,0.5124927365528072,13:00,ARCX
8,0.5111468394189242,13:30,ARCX
9,0.5605728307813114,14:00,ARCX
10,0.5682041617589321,14:30,ARCX
11,0.6229952885747938,15:00,ARCX
12,0.7724939144091088,15:30,ARCX
0,0.835427954456223,09:30,XNAS
1,0.7642182960345504,10:00,XNAS
2,0.7076760895170789,10:30,XNAS
3,0.6654295249312917,11:00,XNAS
4,0.6252014134275619,11:30,XNAS
5,0.5797577542206518,12:00,XNAS
6,0.548986650961916,12:30,XNAS
7,0.5414385551629368,13:00,XNAS
8,0.5392940714566157,13:30,XNAS
9,0.5910789163722026,14:00,XNAS
10,0.5996690223792698,14:30,XNAS
11,0.6522163329407146,15:00,XNAS
12,0.7858688653317628,15:30,XNAS
