venue,year,vol_tercile,n,mean_fill
ARCX,2018,1,56,0.3598855311355312
ARCX,2018,2,55,0.4655190365190366
ARCX,2018,3,55,0.6980644910644909
ARCX,2019,1,83,0.3414565956132221
ARCX,2019,2,83,0.4236263000720833
ARCX,2019,3,83,0.5646488518175264
ARCX,2020,1,84,0.480934065934066
ARCX,2020,2,83,0.6176814952116156
ARCX,2020,3,84,0.8219637769637768
ARCX,2021,1,84,0.49357041107041105
ARCX,2021,2,83,0.6045767686129132
ARCX,2021,3,84,0.7511904761904761
ARCX,2022,1,84,0.6934386446886446
ARCX,2022,2,83,0.7749938214396046
ARCX,2022,3,83,0.8484172587787047
ARCX,2023,1,83,0.6227602718566574
ARCX,2023,2,82,0.694961434229727
ARCX,2023,3,83,0.7837606837606836
XNAS,2018,1,56,0.3804639804639804
XNAS,2018,2,55,0.5105019425019425
XNAS,2018,3,55,0.7773434343434346
XNAS,2019,1,83,0.4008547008547009
XNAS,2019,2,83,0.5137560498403873
XNAS,2019,3,83,0.6728601585830503
XNAS,2020,1,84,0.5024068986568987
XNAS,2020,2,83,0.6395772834929461
XNAS,2020,3,84,0.840654253154253
XNAS,2021,1,84,0.5002655677655676
XNAS,2021,2,83,0.6099768303985171
XNAS,2021,3,84,0.7496754171754172
XNAS,2022,1,84,0.7060322547822547
XNAS,2022,2,83,0.7736844815158068
XNAS,2022,3,83,0.8663041911234683
XNAS,2023,1,83,0.65540984450623
XNAS,2023,2,82,0.7160428392745466
XNAS,2023,3,83,0.774599938214396
