venue,fit,c,A,b,rmse,n,M_min,M_max
ARCX,CAL_full,1.5572763092570525,1.9537153007117098,-0.8410030054294009,0.02140132201854431,16,5.0,23399.0
ARCX,CAL_primary,1.5572763092570525,1.9537153007117098,-0.8410030054294009,0.02140132201854431,16,5.0,23399.0
ARCX,TICK_full,1.034294237766469,1.4569098703007268,-0.5332573287789749,0.055764911037538584,15,5.0,23399.0
ARCX,TICK_primary,1.034294237766469,1.4569098703007268,-0.5332573287789749,0.055764911037538584,15,5.0,23399.0
ARCX,CAL_noisecorr_full,1.556270964656974,1.936551328506633,-0.8348896001893725,0.021611069647032476,16,5.0,23399.0
ARCX,TRV3_full,2.1761792537720512,18807.167629223914,-6.25973421887827,0.5442574762179788,16,5.0,23399.0
ARCX,trigamma_reference,0.0014712254922788833,2.97031728646108,-1.124766100301548,0.001869781478805486,16,5.0,23399.0
ARCX,trigamma_reference_primary,0.0014712254922788833,2.97031728646108,-1.124766100301548,0.001869781478805486,16,5.0,23399.0
XNAS,CAL_full,1.4936106911850446,2.62049465061478,-0.839369443632266,0.027335228342079805,16,5.0,23399.0
XNAS,CAL_primary,1.4936106911850446,2.62049465061478,-0.839369443632266,0.027335228342079805,16,5.0,23399.0
XNAS,TICK_full,1.0438873159534647,1.6770886062626031,-0.5985384739875643,0.05900168505030116,15,5.0,23399.0
XNAS,TICK_primary,1.0438873159534647,1.6770886062626031,-0.5985384739875643,0.05900168505030116,15,5.0,23399.0
XNAS,CAL_noisecorr_full,1.4924278812330207,2.6006981720025455,-0.8340931865125466,0.027645917055755455,16,5.0,23399.0
XNAS,TRV3_full,22.456290295006042,-26.05722008015936,-32.58600432810846,79.21454814311825,16,5.0,23399.0
XNAS,trigamma_reference,0.0014712254922788833,2.97031728646108,-1.124766100301548,0.001869781478805486,16,5.0,23399.0
XNAS,trigamma_reference_primary,0.0014712254922788833,2.97031728646108,-1.124766100301548,0.001869781478805486,16,5.0,23399.0
