venue,M,M_used,stub,n_windows,var_log_rv_CAL,var_log_rv_TICK,n_tick,var_log_trv3_CAL,trv3_share_removed,mean_eff_M,share_full_M,mean_rv,trigamma,implied_bias,bias_below_1pct,var_log_rv_CAL_noisecorr
ARCX,5,5,False,1415,2.0843920943622845,1.6842160496184644,1415,2.965836925425539,0.11897090573403102,5.0,1.0,8.429899401131935e-05,0.4903577561002349,-1.3896496321480124e-05,True,2.084392094169169
ARCX,6,6,False,1415,1.9888558925591864,1.5987555853242235,1415,2.4404640496804064,0.11798814079294506,6.0,1.0,8.157676275277803e-05,0.39493406684822646,-1.6675795585776148e-05,True,1.9888558922810995
ARCX,10,10,False,1415,1.8103297562416394,1.4450569091939152,1415,2.1503607171089394,0.11636613047010302,10.0,1.0,8.076320682593187e-05,0.22132295573711533,-2.7792992642960248e-05,True,1.8103297554691675
ARCX,13,13,False,1415,1.752263315519563,1.367579771421796,1415,2.0511630113801527,0.13311851591027946,13.0,1.0,8.00074588052615e-05,0.16628453574995827,-3.613089043584833e-05,True,1.7522633142140747
ARCX,26,26,False,1415,1.6739303441814148,1.2598886116512897,1415,1.896072638790874,0.16161346675098165,26.0,1.0,8.064316436049709e-05,0.07995742842732394,-7.226178087169665e-05,True,1.6739303389592726
ARCX,39,39,False,1415,1.67290469896067,1.2259939388669534,1415,1.914355555228186,0.19291144073583588,38.998586572438164,0.9985865724381625,8.236812827158809e-05,0.05261944121365593,-0.00010839267130754498,True,1.6729046872104252
ARCX,78,78,False,1415,1.6435307325252668,1.1774981281999537,1415,1.8958245956343196,0.21940441389724996,77.99363957597173,0.9964664310954063,8.287586263821642e-05,0.025972566037214765,-0.00021678534261508996,True,1.643530685519192
ARCX,130,130,False,1415,1.6141001988951933,1.1642115132778827,1415,1.8557095239544092,0.242870228642171,129.98021201413428,0.9915194346289753,8.050128128961532e-05,0.01550356543933893,-0.00036130890435848325,True,1.6141000683038866
ARCX,195,195,False,1415,1.604314005375551,1.152673432002005,1415,1.8396433964865946,0.2556657010265283,194.89893992932863,0.9498233215547703,8.037013740490709e-05,0.01030918704702152,-0.0005419633565377249,True,1.604313711492004
ARCX,390,390,False,1415,1.5862218395406409,1.1264301828851406,1415,1.847513794670348,0.27764413227148943,387.9660777385159,0.7045936395759718,7.958843820275376e-05,0.005141376849345412,-0.0010839267130754498,True,1.5862206633687526
ARCX,780,780,False,1415,1.5667258382674192,1.112221417721896,1415,1.8685340222091533,0.3078678195494964,760.6247349823321,0.3773851590106007,7.871663827280708e-05,0.002567392684745992,-0.0021678534261508997,True,1.5667211284706373
ARCX,1560,1560,False,1415,1.5524354610477324,1.1040468421966296,1415,1.9327837970430128,0.3429355139804642,1441.5427561837455,0.08409893992932863,7.80907408234881e-05,0.001282873461004509,-0.004335706852301799,True,1.5524165808644597
ARCX,2340,2340,False,1415,1.5413362239523771,1.097336651670796,1415,1.9919212182536554,0.3663838309071352,2045.747703180212,0.02120141342756184,7.707405278981801e-05,0.0008550662155381121,-0.006503560278452699,True,1.5412936509299202
ARCX,4680,4680,False,1415,1.5304433627563534,1.0959273393002607,1415,2.198182734787625,0.4274810695674338,3523.5067137809187,0.0014134275618374558,7.6480623294802e-05,0.00042744175455202506,-0.013007120556905397,True,1.5302719504067572
ARCX,11700,11700,False,1415,1.5430669045513319,0.8605811346286643,1033,3.0651235218094546,0.5446756397014418,6338.7957597173145,0.0,7.697945951139037e-05,0.00017095478204368555,-0.03251780139226349,True,1.5419740564189726
ARCX,23400,23399,True,1415,1.5483895516154669,,0,3.9632823562229014,0.6014586850900324,10248.281272084805,0.0,7.669836968698002e-05,8.547739117797544e-05,-0.0650328234852627,True,1.5438678154939336
